allometry_ID,Group,subgroup,Median specific gravity,b0,b1,Diameter,minDiameter,maxDiameter,Diameter range (cm),"R2-
statistic"
C1,conifer,Abies < 0.35 spg*,0.33,-2.3123,2.3482,dbh,3,69,3– 69,0.75
C2,conifer,Abies ? 0.35 spg,0.37,-3.1774,2.6426,dbh,3,36,3– 236,0.75
C3,conifer,Cupressaceae > 0.30 spg,0.29,-1.9615,2.1063,dbh,3,66,3–66,0.76
C4,conifer,Cupressaceae ? 0.40 spg,0.34,-2.7765,2.4195,dbh,3,14,3–614,0.76
C5,conifer,Cupressaceae 0.30 – 0.39 spg,0.43,-2.6327,2.4757,dbh,3,9,3–109,0.76
C6,conifer,Larix,0.49,-2.3012,2.3853,dbh,3,98,3–98,0.85
C7,conifer,Picea < 0.35 spg,0.33,-3.03,2.5567,dbh,3,83,3–283,0.81
C8,conifer,Picea ? 0.35 spg,0.37,-2.1364,2.3233,dbh,3,72,3–72,0.81
C9,conifer,Pinus < 0.45 spg,0.39,-2.6177,2.4638,dbh,3,80,3–180,0.83
C10,conifer,Pinus ? 0.45 spg,0.47,-3.0506,2.6465,dbh,3,54,3–54,0.83
C11,conifer,Pseudotsuga,0.45,-2.4623,2.4852,dbh,3,15,3–215,0.86
C12,conifer,Tsuga < 0.40 spg,0.38,-2.348,2.3876,dbh,3,85,3–85,0.85
C13,conifer,Tsuga ? 0.40 spg,0.42,-2.9208,2.5697,dbh,3,72,3–172,0.85
H1,hardwood,Aceraceae < 0.50 spg*,0.44,-2.047,2.3852,dbh,3,66,3–66,0.84
H2,hardwood,Aceraceae ? 0.50 spg,0.56,-1.8011,2.3852,dbh,3,70,3–70,0.84
H3,hardwood,Betulaceae  < 0.40 spg,0.37,-2.5932,2.5349,dbh,3,64,3–64,0.81
H4,hardwood,Betulaceae ? 0.60 spg,0.47,-2.2271,2.4513,dbh,3,51,3–51,0.81
H5,hardwood,Betulaceae 0.40 – 0.49 spg,0.55,-1.8096,2.348,dbh,3,70,3–70,0.81
H6,hardwood,Betulaceae 0.50 – 0.59 spg,0.62,-2.2652,2.5349,dbh,3,47,3–47,0.81
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,0.47,-2.2118,2.4133,dbh,3,64,3– 64,0.79
H8,hardwood,Fabaceae/Juglandaceae/Carya,0.62,-2.5095,2.6175,dbh,3,70,3– 70,0.81
H9,hardwood,Fabaceae/Juglandaceae/other,0.66,-2.5095,2.5437,dbh,4,42,4– 42,0.81
H10,hardwood,"Fagaceae, deciduous",0.57,-2.0705,2.441,dbh,3,89,3– 89,0.84
H11,hardwood,"Fagaceae, evergreen",0.58,-2.2198,2.441,dbh,3,66,3– 66,0.84
H12,hardwood,Hamamelidaceae,0.46,-2.639,2.5466,dbh,3,53,3– 53,0.79
H13,hardwood,Hippocastanaceae/Tiliaceae,0.32,-2.4108,2.4177,dbh,3,56,3– 56,0.83
H14,hardwood,Magnoliaceae,0.4,-2.5497,2.5011,dbh,3,65,3– 65,0.83
H15,hardwood,Oleaceae < 0.55 spg,0.51,-2.0314,2.3524,dbh,3,43,3– 43,0.84
H16,hardwood,Oleaceae ? 0.55 spg,0.55,-1.8384,2.3524,dbh,3,55,3– 55,0.84
H17,hardwood,Salicaceae < 0.35 spg,0.31,-2.6863,2.4561,dbh,3,53,3–53,0.81
H18,hardwood,Salicaceae ? 0.35 spg,0.36,-2.4441,2.4561,dbh,3,70,3–70,0.81
W1,woodland,Cupressaceae,0.5,-2.7096,2.1942,drc,4,87,4–87,0.91
W2,woodland,Fabaceae/Rosaceae,0.8,-2.9255,2.4109,drc,3,60,3–60,0.89
W3,woodland,Fagaceae,0.59,-3.0304,2.4982,drc,3,74,3–74,0.84
W4,woodland,Pinaceae,0.51,-3.2007,2.5339,drc,3,75,3–75,0.86
