allometry_ID,group,subgroup,Family,taxonID,Genus and species,Common name,FIA Species Code,Wood specific gravity,minDiameter,maxDiameter,dbh range (cm),Taxon ID Notes,"Reference Number
 (Global Wood Density DB)",Initials and References Used/Other Notes,Excluding Factor
C1,conifer,Abies < 0.35 spg*,Pinaceae,ABBA,Abies balsamea,"Fir, balsam",12,0.33,3,51,3 – 51,,,,
C1,conifer,Abies < 0.35 spg*,Pinaceae,ABFR,A. fraseri,"Fir, Fraser",16,0.33,7,25,7 – 25,,,,
C1,conifer,Abies < 0.35 spg*,Pinaceae,ABLA,A. lasiocarpa,"Fir, subalpine",19,0.31,3,69,3 – 69,,,,
C1,conifer,Abies < 0.35 spg*,Pinaceae,ABLAL,A. lasiocarpa var.lasiocarpa,"Fir, subalpine",19,0.31,3,69,3 – 69,,,,
C10,conifer,Pinus ≥ 0.45 spg,Pinaceae,PIEC2,P. echinata,"Pine, shortleaf",110,0.47,4,50,4 – 50,,,,
C10,conifer,Pinus ≥ 0.45 spg,Pinaceae,PIEL,P. elliottii,"Pine, slash",111,0.54,3,53,3 – 53,,,,
C10,conifer,Pinus ≥ 0.45 spg,Pinaceae,PIPA2,P. palustris,"Pine, longleaf",121,0.54,15,48,15– 48,,,,
C10,conifer,Pinus ≥ 0.45 spg,Pinaceae,PIPU5,Pinus pungens,Table Mountain pine,,0.49,,,,,7,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",
C10,conifer,Pinus ≥ 0.45 spg,Pinaceae,PIRI,P. rigida,"Pine, pitch",126,0.47,3,31,3 – 31,,,,
C10,conifer,Pinus ≥ 0.45 spg,Pinaceae,PITA,P. taeda,"Pine, loblolly",131,0.47,3,56,3 – 56,,,,
C10,conifer,Pinus ≥ 0.45 spg,Pinaceae,PIVI2,Pinus virginiana ,Virginia pine,,0.45,,,,,7,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",
C11,conifer,Pseudotsuga,Pinaceae,PSME,Pseudotsuga menziesii,Douglas-fir,202,0.45,3,15,3 – 215,,,,
C11,conifer,Pseudotsuga,Pinaceae,PSMEM,Pseudotsuga menziesii,Douglas-fir,202,0.45,3,15,3 – 215,,,,
