allometry_ID,group,subgroup,Family,taxonID,Genus and species,Common name,FIA Species Code,Wood specific gravity,minDiameter,maxDiameter,dbh range (cm),notes
C1,conifer,Abies < 0.35 spg*,Pinaceae,ABBA,Abies balsamea,"Fir, balsam",12,0.33,3,51,3 – 51,
C1,conifer,Abies < 0.35 spg*,Pinaceae,,A. fraseri,"Fir, Fraser",16,0.33,7,25,7 – 25,
C1,conifer,Abies < 0.35 spg*,Pinaceae,ABLA,A. lasiocarpa,"Fir, subalpine",19,0.31,3,69,3 – 69,
C1,conifer,Abies < 0.35 spg*,Pinaceae,ABLAL,A. lasiocarpa var.lasiocarpa,"Fir, subalpine",19,0.31,3,69,3 – 69,
C2,conifer,Abies ? 0.35 spg,Pinaceae,ABAM,A. amabilis,"Fir, Pacific silver",11,0.4,4,9,4 – 109,
C2,conifer,Abies ? 0.35 spg,Pinaceae,ABCO,A. concolor,"Fir, white",15,0.37,7,8,7–158,
C2,conifer,Abies ? 0.35 spg,Pinaceae,ABCOL,,,,,,,,added by kj - A. concolor var lowania syn
C2,conifer,Abies ? 0.35 spg,Pinaceae,ABGR,A. grandis,,,0.35,,,,Added by kj - based on worldagroforstr.org
C2,conifer,Abies ? 0.35 spg,Pinaceae,ABIES,Abies spp. ,"Fir, Pacific silver - noble - other",10,0.39,9,11,9 – 111,
C2,conifer,Abies ? 0.35 spg,Pinaceae,ABMA,Abies spp. ,,,,,,,added by kj
C3,conifer,Cupressaceae < 0.30 spg,Cupressaceae,,Thuja occidentalis,"Cedar, northern white",241,0.29,3,66,3 – 66,
C4,conifer,Cupressaceae 0.30 – 0.39 spg,Cupressaceae,CADE27,Calocedrus decurrens,incense-cedar,81,0.35,25,44,25– 144,
C4,conifer,Cupressaceae 0.30 – 0.39 spg,Cupressaceae,,Sequoiadendron giganteum,"Sequoia, giant",212,0.34,,,97-614,
C4,conifer,Cupressaceae 0.30 – 0.39 spg,Cupressaceae,THPL,T. plicata,"Cedar, western red",242,0.31,3,69,3 – 169,
C5,conifer,Cupressaceae ? 0.40 spg,Cupressaceae,,Chamaecyparis nootkatensis,"Cedar, Alaska",42,0.42,8,9,8 – 109,
C6,conifer,Larix,Cupressaceae,JUVI,Juniperus virginiana,"Juniper, eastern redcedar",68,0.44,3,43,3 – 43,
C6,conifer,Larix,Pinaceae,,Larix larcina,Tamarack,71,0.49,3,51,3 – 51,
C6,conifer,Larix,Pinaceae,,L. occidentalis,"Tamarack, western larch",73,0.48,3,98,3 – 98,
C7,conifer,Picea < 0.35 spg,Pinaceae,,L. spp.,"Tamarack, larch (introduced)",70,0.49,6,35,6 – 35,
C7,conifer,Picea < 0.35 spg,Pinaceae,PIEN,Picea engelmannii,"Spruce, Engelmann",93,0.33,3,90,3 – 90,
C7,conifer,Picea < 0.35 spg,Pinaceae,,P. sitchensis,"Spruce, Sitka",98,0.33,5,83,5 – 283,
C8,conifer,Picea ? 0.35 spg,Pinaceae,,P.abies,"Spruce, Norway",91,0.36,6,44,6 – 44,
