compiled_by,allometry_ID,group,subgroup,Family,taxonID,acceptedTaxonID,Genus and species,Common name,genus,specificEpithet,FIA Species Code,spg_gcm3,minDiameter,maxDiameter,dbh range (cm),Taxon ID Notes,Zanne et al Reference Number,Initials and References Used and Other Notes,Excluding Factor,density_source,need_density,decid_vs_ever,decid_vs_ever_source,woodland_vs_forest,woodland_vs_forest_source
SMS,H7,,,Acanthaceae,ANTH2,ANTH2,,,Anisacanthus,thurberi,,,,,,,,,,,,,,,
SMS,,,,Aceraceae,ACGL,ACGL,,,Acer,glabrum,,0.468,,,,,,,,average of 8 NA species in Zanne et al 2009,yes,,,,
SMS,,,,Aceraceae,ACGLD4,ACGLD4,,,Acer,glabrum,,0.468,,,,,,,,average of 8 NA species in Zanne et al 2009,yes,,,,
SMS,H7,,,Agavaceae,YUEL,YUEL,,,Yucca,elata,,,,,,,,,,,,,,,
SMS,H7,,,Amaranthaceae,CENI,CENI,,,Celosia,nitida,,,,,,,,,,,,,,,
SMS,H7,,,Anacardiaceae,RHAR4,RHAR4,,,Rhus,aromatica,,,,,,,,,,,,,,,
SMS,H7,,,Anacardiaceae,RHUS,RHUS,,,Rhus,sp.,,,,,,,,,,,,,,,
SMS,H7,,,Anacardiaceae,RHTY,RHTY,,,Rhus,typhina,,,,,,,,,,,,,,,
SMS,H7,,,Annonaceae,ASAN6,ASAN6,,,Asimina,angustifolia,,,,,,,,,,,,,,,
SMS,H7,,,Annonaceae,ASIN12,ASIN12,,,Asimina,incana,,,,,,,,,,,,,,,
SMS,H7,,,Annonaceae,ASPA18,ASPA18,,,Asimina,parviflora,,,,,,,,,,,,,,,
SMS,H7,,,Apocynaceae,ALST11,ALST11,,,Alyxia,stellata,,,,,,,,,,,,,,,
SMS,H7,,,Apocynaceae,PLAL,PLAL,,,Plumeria,alba,,,,,,,,,,,,,,,
SMS,H7,,,Apocynaceae,APOCYN,APOCYN,,,,sp.,,,,,,,,,,,,,,,
SMS,H7,,,Aquifoliaceae,ILAQ80,ILAQ80,,,Ilex,aquifolium,,,,,,,,,,,,,,,
SMS,H7,,,Aquifoliaceae,ILCO,ILCO,,,Ilex,coriacea,,,,,,,,,,,,,,,
SMS,H7,,,Aquifoliaceae,ILGL,ILGL,,,Ilex,glabra,,,,,,,,,,,,,,,
SMS,H7,,,Aquifoliaceae,ILMU,ILMU,,,Ilex,mucronata,,,,,,,,,,,,,,,
SMS,H7,,,Aquifoliaceae,ILEX,ILEX,,,Ilex,sp.,,,,,,,,,,,,,,,
SMS,H7,,,Aquifoliaceae,ILVE,ILVE,,,Ilex,verticillata,,,,,,,,,,,,,,,
SMS,H7,,,Aquifoliaceae,ILVO,ILVO,,,Ilex,vomitoria,,,,,,,,,,,,,,,
SMS,H7,,,Aquifoliaceae,AQUIFO,AQUIFO,,,,sp.,,,,,,,,,,,,,,,
SMS,H7,,,Aquifoliaceae,AQUIFOSPP,AQUIFOSPP,,,,spp.,,,,,,,,,,,,,,,
SMS,H7,,,Araliaceae,ARSP2,ARSP2,,,Aralia,spinosa,,,,,,,,,,,,,,,
SMS,H7,,,Araliaceae,HEHE,HEHE,,,Hedera,helix,,,,,,,,,,,,,,,
SMS,H7,,,Asclepiadaceae,ASIN,ASIN,,,Asclepias,incarnata,,,,,,,,,,,,,,,
SMS,H7,,,Asteraceae,ARFI2,ARFI2,,,Artemisia,filifolia,,,,,,,,,,,,,,,
SMS,H7,,,Asteraceae,ARNO4,ARNO4,,,Artemisia,nova,,,,,,,,,,,,,,,
SMS,H7,,,Asteraceae,ARTR2,ARTR2,,,Artemisia,tridentata,,,,,,,,,,,,,,,
SMS,H7,,,Asteraceae,ARTRT2,ARTRT2,,,Artemisia,tripartita,,,,,,,,,,,,,,,
SMS,H7,,,Asteraceae,BABR,BABR,,,Baccharis,brachyphylla,,,,,,,,,,,,,,,
SMS,H7,,,Asteraceae,CAOD3,CAOD3,,,Carphephorus,odoratissimus,,,,,,,,,,,,,,,
SMS,H7,,,Asteraceae,CHSI,CHSI,,,Chromolaena,sinuata,,,,,,,,,,,,,,,
SMS,H7,,,Asteraceae,CHVI8,CHVI8,,,Chrysothamnus,viscidiflorus,,,,,,,,,,,,,,,
SMS,H7,,,Asteraceae,DUSC,DUSC,,,Dubautia,scabra,,,,,,,,,,,,,,,
SMS,H7,,,Asteraceae,ENFR,ENFR,,,Encelia,frutescens,,,,,,,,,,,,,,,
SMS,H7,,,Asteraceae,ERLA12,ERLA12,,,Ericameria,laricifolia,,,,,,,,,,,,,,,
SMS,H7,,,Asteraceae,ERNAN5,ERNAN5,,,Ericameria,nauseosa,,,,,,,,,,,,,,,
SMS,H7,,,Asteraceae,GUMI,GUMI,,,Gutierrezia,microcephala,,,,,,,,,,,,,,,
SMS,H7,,,Asteraceae,GUSA2,GUSA2,,,Gutierrezia,sarothrae,,,,,,,,,,,,,,,
SMS,H7,,,Asteraceae,ISTE2,ISTE2,,,Isocoma,tenuisecta,,,,,,,,,,,,,,,
