compiled_by,allometry_ID_manual,group,subgroup,Family,taxonID,acceptedTaxonID,Genus and species,Common name,genus,specificEpithet,FIA Species Code,spg_gcm3,minDiameter,maxDiameter,dbh range (cm),Taxon ID Notes,Zanne et al Reference Number,Initials and References Used and Other Notes,Excluding Factor,density_source,need_density,decid_vs_ever,decid_vs_ever_source,woodland_vs_forest,woodland_vs_forest_source
WG_75,,,,Dicksoniaceae,CIME8,,Cibotium menziesii,,,,,0.21,,,,,,"SR - spg from Asner, G. P. et al (2011); Hawaii",Hawaii,Asner et al 2011 FEE field data,,,,,
SMS,H7,,,Hydrangeaceae,BRAR6,BRAR6,,,Broussaisia,arguta,,0.21,,,,,,,,Asner et al 2011 FEE field data,,,,,
SMS,H7,,,Dicksoniaceae,CIBOT,CIBOT,,,Cibotium,sp.,,0.21,,,,,,,,Asner et al 2011 FEE field data,,,,,
WG_75,,,,Dicksoniaceae,CIGL,,Cibotium glaucum,,,,,0.22,,,,,,"SR - spg from Asner, G. P. et al (2011); Hawaii",Hawaii,Asner et al 2011 FEE field data,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Scrophulariaceae,PATO2,,Paulownia tomentosa,Princesstree,,,,0.28,,,,,32,"AQ, spg added from Zanne et al. Global wood density database. ",Introduced,,,,,,
WG_75,C3,conifer,Cupressaceae < 0.30 spg,Cupressaceae,THOC2,,Thuja occidentalis,"Cedar, northern white",,,241,0.29,3,66,3 – 66,,,,,,,,,forest,WG_75
SMS,,,,Cupressaceae,THUJA,THUJA,,,Thuja,sp.,,0.3,,,,,,,,average of 2 NA species in Zanne et al 2009,yes,,,forest,http://usnvc.org/explore-classification/
WG_75,C1,conifer,Abies < 0.35 spg*,Pinaceae,ABLA,,A. lasiocarpa,"Fir, subalpine",,,19,0.31,3,69,3 – 69,,,,,,,,,forest,WG_75
WG_75,C1,conifer,Abies < 0.35 spg*,Pinaceae,ABLAL,,A. lasiocarpa var.lasiocarpa,"Fir, subalpine",,,19,0.31,3,69,3 – 69,,,,,,,,,forest,WG_75
WG_75,C4,conifer,Cupressaceae 0.30 – 0.39 spg,Cupressaceae,THPL,,T. plicata,"Cedar, western red",,,242,0.31,3,69,3 – 169,,,,,,,,,forest,WG_75
WG_75,,,,Burseraceae,BUSI,,Bursera simaruba,Gumbo limbo,,,,0.31,,,,,141,"AQ, spg added from Zanne et al. Global wood density database. 6 spg values, value closest to average assigned.","Tropical, Florida/Puerto Rico only",,,,,,
WG_75,H17,hardwood,Salicaceae < 0.35 spg,Salicaceae,POBA2,,Populus balsamifera,"Populus, balasm poplar",,,741,0.31,3,53,3 – 53,,,,,,,,,,
WG_75,H17,hardwood,Salicaceae < 0.35 spg,Salicaceae,POBAT,,P.balsamifera. ssp. trichocarpa,"Populus, black Cottonwood",,,747,0.31,5,32,5 – 32,,,,,,,,,,
WG_75,H13,hardwood,Hippocastanaceae/Tiliaceae,Tiliaceae,TIAM,,Tilia americana,"buckeye
Basswood",,,951,0.32,3,55,3 – 55,,,,,,,,,,
WG_75,H13,hardwood,Hippocastanaceae/Tiliaceae,Tiliaceae,TIAMH,,T. americana. var. heterophylla,"Basswood, white",,,952,0.32,8,33,8 – 33,,,,,,,,,,
WG_75,C1,conifer,Abies < 0.35 spg*,Pinaceae,ABBA,,Abies balsamea,"Fir, balsam",,,12,0.33,3,51,3 – 51,,,,,,,,,forest,WG_75
WG_75,C1,conifer,Abies < 0.35 spg*,Pinaceae,ABFR,,A. fraseri,"Fir, Fraser",,,16,0.33,7,25,7 – 25,,,,,,,,,forest,WG_75
WG_75,C7,conifer,Picea < 0.35 spg,Pinaceae,PIEN,,Picea engelmannii,"Spruce, Engelmann",,,93,0.33,3,90,3 – 90,,,,,,,,,forest,WG_75
WG_75,C7,conifer,Picea < 0.35 spg,Pinaceae,PISI,,P. sitchensis,"Spruce, Sitka",,,98,0.33,5,83,5 – 283,,,,,,,,,forest,WG_75
WG_75,H13,hardwood,Hippocastanaceae/Tiliaceae,Hippocastanaceae,AECA,,Aesculus californica,,,,,0.33,,,,,,"SR-SPG from Jenkins, Chojnacky, et all 2004; H13 used based on family",,,,,,,
WG_75,H13,hardwood,Hippocastanaceae/Tiliaceae,Hippocastanaceae,AEFL,,Aesculus flava,"Aesculus, yellow",,,332,0.33,8,56,8 – 56,,,,,,,,,,
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PILA,,P. lambertiana,"Pine, sugar",,,117,0.34,3,80,3 – 180,,,,,,,,,forest,WG_75
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PIST,,P. strobus,"Pine, eastern white",,,129,0.34,3,69,3 – 69,,,,,,,,,forest,WG_75
WG_75,C4,conifer,Cupressaceae 0.30 – 0.39 spg,Cupressaceae,SEGI2,,Sequoiadendron giganteum,"Sequoia, giant",,,212,0.34,,,97-614,,,,,,,,,forest,WG_75
WG_75,H17,hardwood,Salicaceae < 0.35 spg,Salicaceae,POPUL,,Populus spp.,"Populus, cottonwood",,,740,0.34,3,40,3 – 40,,,,,,,,,,
WG_75,,,,Nyctaginaceae,PIAL3,,Pisonia albida,,,,,0.344,,,,,,SR - SPG not known; Puerto Rico,Puerto Rico,Zanne et al – average of 9 other Pisonia species,,,,,
SMS,,,,Rosaceae,RUHA,RUHA,,,Rubus,hawaiensis,,0.35,,,,,13668,,,Used value for Rubus alceifolius which is only species in Zanne et al 2009,,,,forest,http://usnvc.org/explore-classification/
WG_75,C2,conifer,Abies ≥ 0.35 spg,Pinaceae,ABGR,,A. grandis,"Fir, grand",,,,0.35,,,,,,Added by kj - based on worldagroforstr.org,,,,,,forest,WG_75
WG_75,C4,conifer,Cupressaceae 0.30 – 0.39 spg,Cupressaceae,CADE27,,Calocedrus decurrens,incense-cedar,,,81,0.35,25,44,25– 144,,,,,,,,,forest,WG_75
WG_75,H18,hardwood,Salicaceae ≥ 0.35 spg,Salicaceae,POTR5,,P. tremuloides,"Populus, aspen quaking",,,746,0.35,3,0,3–70,,,,,,,,,,
