"taxonID","genus","species","growthForm","gf","protocolLabel","D01_BART","D01_HARV","D02_BLAN","D02_SCBI","D02_SERC","D03_DSNY","D03_JERC","D03_OSBS","D04_GUAN","D04_LAJA","D05_TREE","D05_UNDE","D06_KONZ","D06_UKFS","D07_GRSM","D07_MLBS","D07_ORNL","D08_DELA","D08_LENO","D08_TALL","D09_DCFS","D09_WOOD","D10_CPER","D10_RMNP","D11_CLBJ","D11_OAES","D12_YELL","D13_MOAB","D13_NIWO","D14_JORN","D14_SRER","D15_ONAQ","D16_ABBY","D16_WREF","D17_SJER","D17_SOAP","D17_TEAK","D18_BARR","D18_TOOL","D19_BONA","D19_DEJU","D19_HEAL","D20_PUUM"
"CECA4","Cercis","canadensis","DBL","Deciduous broadleaf","Cercis canadensis - Deciduous broadleaf","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CHFO","Chamaebatia","foliolosa","EB","Evergreen broadleaf","Chamaebatia foliolosa - Evergreen broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","",""
"CHANC","Chamerion","angustifolium","Forb","Forb","Chamerion angustifolium - Forb","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","",""
"CHAN9","Chamerion","angustifolium","Forb","Forb","Chamerion angustifolium - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","X","","","","","","","","","",""
"CHFL2","Chapmannia","floridana","Forb","Forb","Chapmannia floridana - Forb","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CHSE2","Chasmanthium","sessiliflorum","GRS","Graminoid","Chasmanthium sessiliflorum - Graminoid","","","","","","","","","","","","","","","","","","","X","X","","","","","","","","","","","","","","","","","","","","","","",""
"CHTR2","Cheirodendron","trigynum","EBL-NLB","Evergreen broadleaf - no leaf buds","Cheirodendron trigynum - Evergreen broadleaf - no leaf buds","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X"
"CHUM","Chimaphila","umbellata","EF","Evergreen forb","Chimaphila umbellata - Evergreen forb","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","",""
"CHPO3","Chlorogalum","pomeridianum","Forb","Forb","Chlorogalum pomeridianum - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","",""
"CIAR2","Cinna","arundinacea","GRS","Graminoid","Cinna arundinacea - Graminoid","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIAR4","Cirsium","arvense","Forb","Forb","Cirsium arvense - Forb","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","",""
"CIHO2","Cirsium","horridulum","Forb","Forb","Cirsium horridulum - Forb","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIUN","Cirsium","undulatum","Forb","Forb","Cirsium undulatum - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","",""
"CLPA5","Claytonia","parviflora","Forb","Forb","Claytonia parviflora - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","",""
NA,"Claytonia","parviflora",NA,NA,"Claytonia parviflora - NA","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","",""
"CLVI3","Claytonia","virginica","Forb","Forb","Claytonia virginica - Forb","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLLU2","Cleome","lutea","Forb","Forb","Cleome lutea - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","",""
"CLUN2","Clintonia","uniflora","Forb","Forb","Clintonia uniflora - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","",""
"CODI8","Coccoloba","diversifolia","EB","Evergreen broadleaf","Coccoloba diversifolia - Evergreen broadleaf","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COOC3","Coprosma","ochracea","EBL-NLB","Evergreen broadleaf - no leaf buds","Coprosma ochracea - Evergreen broadleaf - no leaf buds","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X"
"COTR2","Coptis","trifolia","EF","Evergreen forb","Coptis trifolia - Evergreen forb","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COMA6","Coreopsis","major","Forb","Forb","Coreopsis major - Forb","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","",""
"COCA13","Cornus","canadensis","SEF","Semi-evergreen forb","Cornus canadensis - Semi-evergreen forb","","","","","","","","","","","X","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CODR","Cornus","drummondii","DBL","Deciduous broadleaf","Cornus drummondii - Deciduous broadleaf","","","","","","","","","","","","","X","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COFL2","Cornus","florida","DBL","Deciduous broadleaf","Cornus florida - Deciduous broadleaf","","","","X","X","","","","","","","","","","X","","X","","","X","","","","","","","","","","","","","","","","","","","","","","",""
"COUN","Cornus","unalaschkensis","SEF","Semi-evergreen forb","Cornus unalaschkensis - Semi-evergreen forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","X","",""
"COCO6","Corylus","cornuta","DBL","Deciduous broadleaf","Corylus cornuta - Deciduous broadleaf","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COCOC","Corylus","cornuta","DBL","Deciduous broadleaf","Corylus cornuta - Deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","",""
"CRCOC","Crassula","connata","Forb","Forb","Crassula connata - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","",""
"CRCO28","Crocanthemum","corymbosum","SEF","Semi-evergreen forb","Crocanthemum corymbosum - Semi-evergreen forb","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CRAR2","Croton","argyranthemus","Forb","Forb","Croton argyranthemus - Forb","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CRLU2","Croton","lucidus","EB","Evergreen broadleaf","Croton lucidus - Evergreen broadleaf","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CRPO5","Croton","pottsii","Forb","Forb","Croton pottsii - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","",""
"CRSE11","Croton","setigerus","Forb","Forb","Croton setigerus - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","",""
"CYCI4","Cyanthillium","cinereum","Forb","Forb","Cyanthillium cinereum - Forb","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CYLE8","Cylindropuntia","leptocaulis","Cactus","Cactus","Cylindropuntia leptocaulis - Cactus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","",""
"CYSP8","Cylindropuntia","spinosior","Cactus","Cactus","Cylindropuntia spinosior - Cactus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","",""
"CYDA","Cynodon","dactylon","GRS","Graminoid","Cynodon dactylon - Graminoid","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CYNL80","Cynodon","nlemfuensis","GRS","Graminoid","Cynodon nlemfuensis - Graminoid","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DAPU5","Dalea","purpurea","Forb","Forb","Dalea purpurea - Forb","","","","","","","","","","","","","","","","","","","","","","X","","","","X","","","","","","","","","","","","","","","","",""
"DECO2","Desmanthus","cooleyi","Forb","Forb","Desmanthus cooleyi - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","",""
"DECI","Desmodium","ciliare","Forb","Forb","Desmodium ciliare - Forb","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","",""
"DEGL5","Desmodium","glutinosum","Forb","Forb","Desmodium glutinosum - Forb","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DEPA7","Desmodium","pauciflorum","Forb","Forb","Desmodium pauciflorum - Forb","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","",""
"DILA","Diapensia","lapponica","EB","Evergreen broadleaf","Diapensia lapponica - Evergreen broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","",""
"DIOB3","Diarrhena","obovata","GRS","Graminoid","Diarrhena obovata - Graminoid","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DIOL","Dichanthelium","oligosanthes","GRS","Graminoid","Dichanthelium oligosanthes - Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","",""
"DIPO3","Dichanthelium","portoricense","GRS","Graminoid","Dichanthelium portoricense - Graminoid","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DICAC5","Dichelostemma","capitatum","Forb","Forb","Dichelostemma capitatum - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","X","","","","","","",""
"DIMU","Dioclea","multiflora","Forb","Forb","Dioclea multiflora - Forb","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","",""
"DIVI5","Diospyros","virginiana","DBL","Deciduous broadleaf","Diospyros virginiana - Deciduous broadleaf","","","","","","","X","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DIPA9","Dirca","palustris","DBL","Deciduous broadleaf","Dirca palustris - Deciduous broadleaf","","","","","","","","","","","X","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DIFR6","Ditrysinia","fruticosa","SEBR","Semi-evergreen broadleaf","Ditrysinia fruticosa - Semi-evergreen broadleaf","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","",""
"DOJE","Dodecatheon","jeffreyi","Forb","Forb","Dodecatheon jeffreyi - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","",""
"DUFI","Dupontia","fisheri","GRS","Graminoid","Dupontia fisheri - Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","",""
"DYOB","Dyschoriste","oblongifolia","Forb","Forb","Dyschoriste oblongifolia - Forb","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECVI2","Echinocereus","viridiflorus","Cactus","Cactus","Echinocereus viridiflorus - Cactus","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","",""
"ELCO","Elaeagnus","commutata","DBL","Deciduous broadleaf","Elaeagnus commutata - Deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","",""
"ELUM","Elaeagnus","umbellata","DBL","Deciduous broadleaf","Elaeagnus umbellata - Deciduous broadleaf","","","X","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ELCA3","Elephantopus","carolinianus","Forb","Forb","Elephantopus carolinianus - Forb","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","",""
"ELEL5","Elymus","elymoides","GRS","Graminoid","Elymus elymoides - Graminoid","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","X","","","","","","","","","","",""
"ELRE4","Elymus","repens","GRS","Graminoid","Elymus repens - Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","",""
"ELVI","Elymus","villosus","GRS","Graminoid","Elymus villosus - Graminoid","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EMNI","Empetrum","nigrum","EB","Evergreen broadleaf","Empetrum nigrum - Evergreen broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","X","X",""
"EPTR","Ephedra","trifurca","EBL-NL","Evergreen broadleaf - no leaves","Ephedra trifurca - Evergreen broadleaf - no leaves","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","",""
"EPVI","Ephedra","viridis","EBL-NL","Evergreen broadleaf - no leaves","Ephedra viridis - Evergreen broadleaf - no leaves","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","",""
"EPVI2","Epifagus","virginiana","Forb","Forb","Epifagus virginiana - Forb","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EPRE2","Epigaea","repens","EB","Evergreen broadleaf","Epigaea repens - Evergreen broadleaf","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","",""
"ERSI3","Erigeron","simplex","Forb","Forb","Erigeron simplex - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","",""
"EREF","Eriogonum","effusum","DDB","Drought deciduous broadleaf","Eriogonum effusum - Drought deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","",""
"ERTO2","Eriogonum","tomentosum","Forb","Forb","Eriogonum tomentosum - Forb","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ERUM","Eriogonum","umbellatum","DDB","Drought deciduous broadleaf","Eriogonum umbellatum - Drought deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","",""
"ERPI5","Erioneuron","pilosum","GRS","Graminoid","Erioneuron pilosum - Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","",""
"ERRU2","Eriophorum","russeolum","GRS","Graminoid","Eriophorum russeolum - Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","",""
"ERVA4","Eriophorum","vaginatum","GRS","Graminoid","Eriophorum vaginatum - Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","X","","X",""
"ERBO","Erodium","botrys","Forb","Forb","Erodium botrys - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","",""
"ERCI6","Erodium","cicutarium","Forb","Forb","Erodium cicutarium - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","",""
"ERAR17","Erythroxylum","areolatum","DDB","Drought deciduous broadleaf","Erythroxylum areolatum - Drought deciduous broadleaf","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ESVI2","Escobaria","vivipara","Cactus","Cactus","Escobaria vivipara - Cactus","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","",""
"EUFO3","Eugenia","foetida","EB","Evergreen broadleaf","Eugenia foetida - Evergreen broadleaf","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EURH","Eugenia","rhombea","EB","Evergreen broadleaf","Eugenia rhombea - Evergreen broadleaf","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EUCA26","Euthamia","caroliniana","Forb","Forb","Euthamia caroliniana - Forb","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EVNU","Evolvulus","nuttallianus","Forb","Forb","Evolvulus nuttallianus - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","",""
"EXCA","Exostema","caribaeum","EB","Evergreen broadleaf","Exostema caribaeum - Evergreen broadleaf","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FAGR","Fagus","grandifolia","DBL","Deciduous broadleaf","Fagus grandifolia - Deciduous broadleaf","X","X","","","X","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FEWI","Ferocactus","wislizeni","Cactus","Cactus","Ferocactus wislizeni - Cactus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","",""
"FEAL","Festuca","altaica","GRS","Graminoid","Festuca altaica - Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","",""
"FEID","Festuca","idahoensis","GRS","Graminoid","Festuca idahoensis - Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","",""
"FESU3","Festuca","subverticillata","GRS","Graminoid","Festuca subverticillata - Graminoid","","","X","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FOSP2","Fouquieria","splendens","DDB","Drought deciduous broadleaf","Fouquieria splendens - Drought deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","",""
"FRVI","Fragaria","virginiana","SEF","Semi-evergreen forb","Fragaria virginiana - Semi-evergreen forb","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","",""
"FRPU7","Frangula","purshiana","DBL","Deciduous broadleaf","Frangula purshiana - Deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","",""
"FRAM2","Fraxinus","americana","DBL","Deciduous broadleaf","Fraxinus americana - Deciduous broadleaf","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FRNI","Fraxinus","nigra","DBL","Deciduous broadleaf","Fraxinus nigra - Deciduous broadleaf","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GARE2","Galactia","regularis","Forb","Forb","Galactia regularis - Forb","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GAUR2","Galax","urceolata","EF","Evergreen forb","Galax urceolata - Evergreen forb","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GAAP2","Galium","aparine","Forb","Forb","Galium aparine - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","",""
"GATR3","Galium","triflorum","Forb","Forb","Galium triflorum - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","",""
"GASH","Gaultheria","shallon","EB","Evergreen broadleaf","Gaultheria shallon - Evergreen broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","X","","","","","","","","",""
"GESE","Gelsemium","sempervirens","EB","Evergreen broadleaf","Gelsemium sempervirens - Evergreen broadleaf","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","",""
"GELI2","Geocaulon","lividum","Forb","Forb","Geocaulon lividum - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","X","",""
"GEVI2","Geranium","viscosissimum","Forb","Forb","Geranium viscosissimum - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","",""
"GEROT","Geum","rossii","Forb","Forb","Geum rossii - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","",""
"GETR","Geum","triflorum","SEF","Semi-evergreen forb","Geum triflorum - Semi-evergreen forb","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","",""
"GLTR","Gleditsia","triacanthos","DBL","Deciduous broadleaf","Gleditsia triacanthos - Deciduous broadleaf","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GUOF","Guaiacum","officinale","EB","Evergreen broadleaf","Guaiacum officinale - Evergreen broadleaf","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GUSA","Guaiacum","sanctum","EB","Evergreen broadleaf","Guaiacum sanctum - Evergreen broadleaf","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GUKR","Guettarda","krugii","EB","Evergreen broadleaf","Guettarda krugii - Evergreen broadleaf","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GUSA2","Gutierrezia","sarothrae","DDB","Drought deciduous broadleaf","Gutierrezia sarothrae - Drought deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","","","X","","","X","","X","","X","","","","","","","","","","","","",""
"GYLU","Gymnanthes","lucida","EB","Evergreen broadleaf","Gymnanthes lucida - Evergreen broadleaf","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HADI3","Halesia","diptera","DBL","Deciduous broadleaf","Halesia diptera - Deciduous broadleaf","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","",""
"HATE3","Halesia","tetraptera","DBL","Deciduous broadleaf","Halesia tetraptera - Deciduous broadleaf","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HAVI4","Hamamelis","virginiana","DBL","Deciduous broadleaf","Hamamelis virginiana - Deciduous broadleaf","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEAM","Helenium","amarum","Forb","Forb","Helenium amarum - Forb","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","",""
"HEAN2","Helianthus","angustifolius","Forb","Forb","Helianthus angustifolius - Forb","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HECO26","Hesperostipa","comata","GRS","Graminoid","Hesperostipa comata - Graminoid","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","",""
"HECA8","Heterotheca","canescens","Forb","Forb","Heterotheca canescens - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","",""
"HEVI4","Heterotheca","villosa","Forb","Forb","Heterotheca villosa - Forb","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","",""
"HIAL2","Hieracium","albiflorum","Forb","Forb","Hieracium albiflorum - Forb","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","",""
"HIAU","Hieracium","aurantiacum","Forb","Forb","Hieracium aurantiacum - Forb","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HISC2","Hieracium","scouleri","Forb","Forb","Hieracium scouleri - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","",""
"HODI","Holodiscus","discolor","DBL","Deciduous broadleaf","Holodiscus discolor - Deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","",""
"HYOC2","Hymenocallis","occidentalis","Forb","Forb","Hymenocallis occidentalis - Forb","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","",""
"HYGL2","Hypochaeris","glabra","Forb","Forb","Hypochaeris glabra - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","",""
"ILAN","Ilex","anomala","EB","Evergreen broadleaf","Ilex anomala - Evergreen broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X"
"ILDE","Ilex","decidua","DBL","Deciduous broadleaf","Ilex decidua - Deciduous broadleaf","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","",""
"ILMO","Ilex","montana","DBL","Deciduous broadleaf","Ilex montana - Deciduous broadleaf","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ILOP","Ilex","opaca","EB","Evergreen broadleaf","Ilex opaca - Evergreen broadleaf","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","",""
"ILVE","Ilex","verticillata","DBL","Deciduous broadleaf","Ilex verticillata - Deciduous broadleaf","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ILVO","Ilex","vomitoria","EB","Evergreen broadleaf","Ilex vomitoria - Evergreen broadleaf","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","",""
"IOLI2","Ionactis","linariifolius","Forb","Forb","Ionactis linariifolius - Forb","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JAAM","Jamesia","americana","DBL","Deciduous broadleaf","Jamesia americana - Deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","",""
"JUNI","Juglans","nigra","DBL","Deciduous broadleaf","Juglans nigra - Deciduous broadleaf","","","X","X","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JUCOD","Juniperus","communis","EC","Evergreen conifer","Juniperus communis - Evergreen conifer","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","",""
"JUCO6","Juniperus","communis","EC","Evergreen conifer","Juniperus communis - Evergreen conifer","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","",""
"JUVIV","Juniperus","virginiana","EC-NN","Evergreen conifer - no needles","Juniperus virginiana - Evergreen conifer - no needles","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JUVI","Juniperus","virginiana","EC-NN","Evergreen conifer - no needles","Juniperus virginiana - Evergreen conifer - no needles","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","",""
"JUOV","Justicia","ovata","Forb","Forb","Justicia ovata - Forb","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","",""
"KALA","Kalmia","latifolia","EB","Evergreen broadleaf","Kalmia latifolia - Evergreen broadleaf","","","","","","","","","","","","","","","X","X","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KRLA2","Krascheninnikovia","lanata","DDB","Drought deciduous broadleaf","Krascheninnikovia lanata - Drought deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","",""
"KRFE","Krugiodendron","ferreum","EB","Evergreen broadleaf","Krugiodendron ferreum - Evergreen broadleaf","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LASE","Lactuca","serriola","Forb","Forb","Lactuca serriola - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","",""
"LACA3","Laportea","canadensis","Forb","Forb","Laportea canadensis - Forb","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LALA","Larix","laricina","DC","Deciduous conifer","Larix laricina - Deciduous conifer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","",""
"LATR2","Larrea","tridentata","EBL-NLB","Evergreen broadleaf - no leaf buds","Larrea tridentata - Evergreen broadleaf - no leaf buds","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","",""
"LEGR","Ledum","groenlandicum","EB","Evergreen broadleaf","Ledum groenlandicum - Evergreen broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","X","",""
"LEPA11","Ledum","palustre","EB","Evergreen broadleaf","Ledum palustre - Evergreen broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","X","X","X",""
