"domainid","siteid","plotid","subplotid","pointid","stemazimuth","stemdistance","taxonid","individualid","growthform","stemdiameter","templateSize","springLength"
"D17","TEAK","TEAK_043",NA,39,156.6,14.4,"PICO","NEON.PLA.D17.TEAK.02193","single bole tree",51.6,"lg","long_0.31"
"D17","TEAK","TEAK_043",NA,39,134.4,10.9,"ABCOL","NEON.PLA.D17.TEAK.02215","single bole tree",40.8,"md","long_0.26"
"D17","TEAK","TEAK_043",NA,33,224.4,9.4,"PICO","NEON.PLA.D17.TEAK.02248","single bole tree",29.8,"md","long_0.26"
"D17","TEAK","TEAK_043",NA,23,323.3,5.8,"PICO","NEON.PLA.D17.TEAK.02218","single bole tree",26.5,"md","long_0.26"
"D17","TEAK","TEAK_044",NA,23,333.3,3.6,"PICO","NEON.PLA.D17.TEAK.01525","multi-bole tree",84.8,"lg","long_0.31"
"D17","TEAK","TEAK_044",NA,21,68.5,5.4,"ABMA","NEON.PLA.D17.TEAK.01588","single bole tree",66.9,"lg","long_0.31"
"D17","TEAK","TEAK_044",NA,39,107.1,15,"PICO","NEON.PLA.D17.TEAK.01516","single bole tree",56.8,"lg","long_0.31"
"D17","TEAK","TEAK_044",NA,59,258.1,7.6,"PICO","NEON.PLA.D17.TEAK.01430","single bole tree",56.5,"lg","long_0.31"
"D17","TEAK","TEAK_044",NA,57,171.9,6.7,"PICO","NEON.PLA.D17.TEAK.01500","single bole tree",54,"lg","long_0.31"
"D17","TEAK","TEAK_044",NA,39,124,9.8,"PICO","NEON.PLA.D17.TEAK.01566","single bole tree",53.1,"lg","long_0.31"
"D17","TEAK","TEAK_044",NA,49,312.6,6.2,"PICO","NEON.PLA.D17.TEAK.01469","multi-bole tree",52.1,"lg","long_0.31"
"D17","TEAK","TEAK_044",NA,57,126.9,5.3,"PICO","NEON.PLA.D17.TEAK.01461","single bole tree",50.6,"lg","long_0.31"
"D17","TEAK","TEAK_044",NA,39,155.5,6,"PICO","NEON.PLA.D17.TEAK.01573","single bole tree",50.4,"lg","long_0.31"
"D17","TEAK","TEAK_044",NA,51,236.5,16.3,"PICO","NEON.PLA.D17.TEAK.01424","single bole tree",49.2,"md","long_0.26"
"D17","TEAK","TEAK_044",NA,49,225.1,5.5,"PICO","NEON.PLA.D17.TEAK.01485","single bole tree",48.5,"md","long_0.26"
"D17","TEAK","TEAK_044",NA,39,164.5,8,"PICO","NEON.PLA.D17.TEAK.01575","single bole tree",46.3,"md","long_0.26"
"D17","TEAK","TEAK_044",NA,49,290.9,3.4,"ABMA","NEON.PLA.D17.TEAK.01470","multi-bole tree",44.6,"md","long_0.26"
"D17","TEAK","TEAK_044",NA,57,111.4,4.8,"PICO","NEON.PLA.D17.TEAK.01449","single bole tree",43.5,"md","long_0.26"
"D17","TEAK","TEAK_044",NA,39,64,11.7,"PICO","NEON.PLA.D17.TEAK.01434","single bole tree",41.7,"md","long_0.26"
"D17","TEAK","TEAK_044",NA,39,150.7,11.2,"PICO","NEON.PLA.D17.TEAK.01568","single bole tree",41.5,"md","long_0.26"
"D17","TEAK","TEAK_044",NA,23,297.1,8.3,"PICO","NEON.PLA.D17.TEAK.01531","single bole tree",40.4,"md","long_0.26"
"D17","TEAK","TEAK_044",NA,23,297.4,5.4,"ABMA","NEON.PLA.D17.TEAK.01528","single bole tree",39.7,"md","long_0.26"
"D17","TEAK","TEAK_044",NA,23,305.2,4.2,"ABMA","NEON.PLA.D17.TEAK.01527","single bole tree",39,"md","long_0.26"
"D17","TEAK","TEAK_044",NA,21,25.4,10.9,"ABMA","NEON.PLA.D17.TEAK.01569","single bole tree",37.3,"md","long_0.26"
"D17","TEAK","TEAK_044",NA,49,184.8,0.6,"ABMA","NEON.PLA.D17.TEAK.01432","single bole tree",32.7,"md","long_0.26"
"D17","TEAK","TEAK_044",NA,57,108.1,5.2,"PICO","NEON.PLA.D17.TEAK.01450","single bole tree",31.5,"md","long_0.26"
"D17","TEAK","TEAK_044",NA,39,120.8,10,"PICO","NEON.PLA.D17.TEAK.01564","single bole tree",30.7,"md","long_0.26"
"D17","TEAK","TEAK_044",NA,23,289.8,8.2,"ABMA","NEON.PLA.D17.TEAK.01530","single bole tree",30.3,"md","long_0.26"
"D17","TEAK","TEAK_044",NA,23,346.7,6.9,"ABMA","NEON.PLA.D17.TEAK.01523","multi-bole tree",29.2,"md","long_0.26"
"D17","TEAK","TEAK_044",NA,39,111.6,15.3,"ABMA","NEON.PLA.D17.TEAK.01517","single bole tree",28.5,"md","long_0.26"
"D17","TEAK","TEAK_044",NA,39,126.7,10.7,"ABMA","NEON.PLA.D17.TEAK.01565","single bole tree",28.4,"md","long_0.26"
"D17","TEAK","TEAK_044",NA,23,288.8,12.5,"ABMA","NEON.PLA.D17.TEAK.01590","single bole tree",26.8,"md","long_0.26"
"D17","TEAK","TEAK_045",NA,43,222.8,12.2,"PIJE","NEON.PLA.D17.TEAK.00417","single bole tree",130.7,"lg","long_0.31"
"D17","TEAK","TEAK_045",NA,43,244.5,13.1,"PIJE","NEON.PLA.D17.TEAK.00424","single bole tree",104.3,"lg","long_0.31"
"D17","TEAK","TEAK_045",NA,25,334.6,6.3,"ABCOL","NEON.PLA.D17.TEAK.00410","single bole tree",74.8,"lg","long_0.31"
"D17","TEAK","TEAK_045",NA,25,306,2.8,"ABCOL","NEON.PLA.D17.TEAK.00414","single bole tree",73.7,"lg","long_0.31"
"D17","TEAK","TEAK_045",NA,25,346.2,16.5,"ABCOL","NEON.PLA.D17.TEAK.00406","single bole tree",54,"lg","long_0.31"
"D17","TEAK","TEAK_045",NA,43,252.8,11.8,"ABCOL","NEON.PLA.D17.TEAK.00423","single bole tree",46.8,"md","long_0.26"
"D17","TEAK","TEAK_045",NA,43,230.1,2.1,"ABCOL","NEON.PLA.D17.TEAK.00405","single bole tree",42.4,"md","long_0.26"
"D17","TEAK","TEAK_045",NA,43,251.3,6.4,"ABCOL","NEON.PLA.D17.TEAK.00420","single bole tree",40.1,"md","long_0.26"
"D17","TEAK","TEAK_045",NA,49,96.5,4.5,"ABCOL","NEON.PLA.D17.TEAK.00361","single bole tree",37.5,"md","long_0.26"
