"domainid","siteid","plotid","subplotid","pointid","stemazimuth","stemdistance","taxonid","individualid","growthform","stemdiameter","templateSize","springLength"
"D12","YELL","YELL_043",21,39,147.5,20.2,"POTR5","NEON.PLA.D12.YELL.01899","sbt",52.3,"lg","long_0.31"
"D12","YELL","YELL_043",21,41,198.5,7.2,"POTR5","NEON.PLA.D12.YELL.01897","sbt",51.9,"lg","long_0.31"
"D12","YELL","YELL_043",21,39,146.5,20.2,"POTR5","NEON.PLA.D12.YELL.01896","sbt",45.6,"md","long_0.26"
"D12","YELL","YELL_043",21,39,145.2,19.6,"POTR5","NEON.PLA.D12.YELL.01994","sbt",44,"md","long_0.26"
"D12","YELL","YELL_043",41,43,282.1,4.1,"POTR5","NEON.PLA.D12.YELL.01987","sbt",47.8,"md","long_0.26"
"D12","YELL","YELL_043",41,41,77.2,9.6,"POTR5","NEON.PLA.D12.YELL.01988","sbt",44.3,"md","long_0.26"
"D12","YELL","YELL_043",41,41,56.3,3,"POTR5","NEON.PLA.D12.YELL.01898","sbt",42.8,"md","long_0.26"
"D12","YELL","YELL_043",41,41,10.7,7.3,"POTR5","NEON.PLA.D12.YELL.01996","sbt",31.9,"md","long_0.26"
"D12","YELL","YELL_044",23,25,297.5,13.5,"PSME","NEON.PLA.D12.YELL.01495","sbt",36,"md","long_0.26"
"D12","YELL","YELL_044",39,57,163.1,16.7,"PSME","NEON.PLA.D12.YELL.01254","sbt",46.4,"md","long_0.26"
"D12","YELL","YELL_044",39,39,19,2.4,"PSME","NEON.PLA.D12.YELL.01259","sbt",44.3,"md","long_0.26"
"D12","YELL","YELL_044",39,57,179.5,12.3,"PSME","NEON.PLA.D12.YELL.01258","sbt",40.8,"md","long_0.26"
"D12","YELL","YELL_044",39,59,211.3,19.8,"PSME","NEON.PLA.D12.YELL.01252","sbt",34.8,"md","long_0.26"
"D12","YELL","YELL_045",21,41,267.3,12,"PSME","NEON.PLA.D12.YELL.01538","sbt",50,"lg","long_0.31"
"D12","YELL","YELL_045",23,43,267.3,9,"PSME","NEON.PLA.D12.YELL.01603","sbt",71.7,"lg","long_0.31"
"D12","YELL","YELL_045",23,43,213.7,10.1,"PSME","NEON.PLA.D12.YELL.01530","sbt",42.5,"md","long_0.26"
"D12","YELL","YELL_045",23,43,264.4,7.5,"PSME","NEON.PLA.D12.YELL.01604","sbt",33.7,"md","long_0.26"
"D12","YELL","YELL_046",39,39,43.3,17.2,"PSME","NEON.PLA.D12.YELL.02757","sbt",60,"lg","long_0.31"
"D12","YELL","YELL_046",39,41,345,17.5,"PSME","NEON.PLA.D12.YELL.02758","sbt",47.8,"md","long_0.26"
"D12","YELL","YELL_046",39,39,6.3,16.2,"PSME","NEON.PLA.D12.YELL.02769","sbt",47.4,"md","long_0.26"
"D12","YELL","YELL_046",39,41,1.4,9.1,"PSME","NEON.PLA.D12.YELL.02756","sbt",32.3,"md","long_0.26"
"D12","YELL","YELL_047",23,23,73.7,5,"PICO","NEON.PLA.D12.YELL.00836","sbt",44.4,"md","long_0.26"
"D12","YELL","YELL_047",23,23,50,10.2,"PICO","NEON.PLA.D12.YELL.00837","sbt",38.4,"md","long_0.26"
"D12","YELL","YELL_048",23,23,62.9,7.9,"PSME","NEON.PLA.D12.YELL.01077","sbt",56.1,"lg","long_0.31"
"D12","YELL","YELL_048",23,39,167,11.7,"PSME","NEON.PLA.D12.YELL.01040","sbt",51.1,"lg","long_0.31"
"D12","YELL","YELL_048",23,41,100.5,7.5,"PSME","NEON.PLA.D12.YELL.01182","sbt",50.1,"lg","long_0.31"
"D12","YELL","YELL_050",23,41,97,17.3,"PSME","NEON.PLA.D12.YELL.01959","sbt",58.5,"lg","long_0.31"
"D12","YELL","YELL_052",21,41,265.6,13.8,"PSME","NEON.PLA.D12.YELL.01205","sbt",64,"lg","long_0.31"
"D12","YELL","YELL_053",23,25,345.5,8.7,"PSME","NEON.PLA.D12.YELL.03000","sbt",56,"lg","long_0.31"
"D12","YELL","YELL_057",21,41,193.7,2.2,"PSME","NEON.PLA.D12.YELL.03023","sbt",84.6,"lg","long_0.31"
"D12","YELL","YELL_057",21,41,236.9,13.3,"PSME","NEON.PLA.D12.YELL.03021","sbt",57.2,"lg","long_0.31"
"D12","YELL","YELL_059",21,23,339.3,7.5,"PSME","NEON.PLA.D12.YELL.01839","sbt",51,"lg","long_0.31"
"D12","YELL","YELL_059",23,25,333.9,7.3,"PSME","NEON.PLA.D12.YELL.01850","sbt",93.7,"lg","long_0.31"
"D12","YELL","YELL_059",23,23,78.9,16.4,"PSME","NEON.PLA.D12.YELL.01852","sbt",56.2,"lg","long_0.31"
"D12","YELL","YELL_059",23,25,347.2,9,"PSME","NEON.PLA.D12.YELL.01849","sbt",55.6,"lg","long_0.31"
"D12","YELL","YELL_059",23,23,31,13.1,"PSME","NEON.PLA.D12.YELL.01844","sbt",51.6,"lg","long_0.31"
"D12","YELL","YELL_061",41,43,328.2,6.7,"PSME","NEON.PLA.D12.YELL.01780","sbt",67.2,"lg","long_0.31"
"D12","YELL","YELL_061",41,43,5.2,9.3,"PSME","NEON.PLA.D12.YELL.01782","sbt",55,"lg","long_0.31"
