"domainid","siteid","plotid","subplotid","pointid","stemazimuth","stemdistance","taxonid","individualid","growthform","stemdiameter","templateSize","springLength"
"D16","WREF","WREF_070",21,39,120.3,14.4,"TSHE","NEON.PLA.D16.WREF.04104","sbt",79.9,"lg","long_0.31"
"D16","WREF","WREF_070",21,23,278.6,9.6,"TSHE","NEON.PLA.D16.WREF.04126","sbt",71.9,"lg","long_0.31"
"D16","WREF","WREF_070",21,39,96.9,12,"TSHE","NEON.PLA.D16.WREF.04901","sbt",59.8,"lg","long_0.31"
"D16","WREF","WREF_070",21,23,337.9,6.6,"PSMEM","NEON.PLA.D16.WREF.04087","sbt",56.5,"lg","long_0.31"
"D16","WREF","WREF_071",21,41,184.6,5.6,"PSMEM","NEON.PLA.D16.WREF.02352","sbt",54.6,"lg","long_0.31"
"D16","WREF","WREF_071",23,33,221,12.3,"PSMEM","NEON.PLA.D16.WREF.02044","sbt",58.5,"lg","long_0.31"
"D16","WREF","WREF_072",39,57,114.7,3,"TSHE","NEON.PLA.D16.WREF.02178","sbt",78.4,"lg","long_0.31"
"D16","WREF","WREF_072",41,61,203.9,10.3,"TSHE","NEON.PLA.D16.WREF.04601","sbt",66.9,"lg","long_0.31"
"D16","WREF","WREF_072",41,61,202.3,7.6,"TSHE","NEON.PLA.D16.WREF.04603","sbt",61.5,"lg","long_0.31"
"D16","WREF","WREF_073",23,25,326.1,3.7,"PSMEM","NEON.PLA.D16.WREF.05774","sbt",55.4,"lg","long_0.31"
"D16","WREF","WREF_073",23,41,165.1,2.1,"TSHE","NEON.PLA.D16.WREF.04411","sbt",55.2,"lg","long_0.31"
"D16","WREF","WREF_073",23,23,36.2,14.1,"TSHE","NEON.PLA.D16.WREF.04402","sbt",52.6,"lg","long_0.31"
"D16","WREF","WREF_073",23,43,181.7,10.1,"PSMEM","NEON.PLA.D16.WREF.05763","sbt",46.6,"md","long_0.26"
"D16","WREF","WREF_073",23,25,303.8,7.8,"PSMEM","NEON.PLA.D16.WREF.05720","sbt",41.8,"md","long_0.26"
"D16","WREF","WREF_073",23,23,68.7,5.1,"TSHE","NEON.PLA.D16.WREF.04418","sbt",40.8,"md","long_0.26"
"D16","WREF","WREF_073",23,23,4.6,9.9,"PSMEM","NEON.PLA.D16.WREF.04413","sbt",40.7,"md","long_0.26"
"D16","WREF","WREF_073",23,25,274.3,9.7,"PSMEM","NEON.PLA.D16.WREF.05778","sbt",39.4,"md","long_0.26"
"D16","WREF","WREF_073",23,41,121.3,4.2,"PSMEM","NEON.PLA.D16.WREF.04409","sbt",38,"md","long_0.26"
"D16","WREF","WREF_073",23,43,221.6,6.7,"PSMEM","NEON.PLA.D16.WREF.05737","sbt",37.5,"md","long_0.26"
"D16","WREF","WREF_073",23,43,256.6,5.9,"PSMEM","NEON.PLA.D16.WREF.05748","sbt",36.5,"md","long_0.26"
"D16","WREF","WREF_073",23,23,17.7,18.5,"PSMEM","NEON.PLA.D16.WREF.04408","sbt",35.6,"md","long_0.26"
"D16","WREF","WREF_073",23,23,29.2,15.9,"PSMEM","NEON.PLA.D16.WREF.04405","sbt",33.8,"md","long_0.26"
"D16","WREF","WREF_073",23,23,51.3,10.9,"PSMEM","NEON.PLA.D16.WREF.05718","sbt",33.8,"md","long_0.26"
"D16","WREF","WREF_073",23,23,24.5,6.5,"TSHE","NEON.PLA.D16.WREF.04414","sbt",32.5,"md","long_0.26"
"D16","WREF","WREF_073",23,25,328.4,6,"TSHE","NEON.PLA.D16.WREF.05771","sbt",32.2,"md","long_0.26"
"D16","WREF","WREF_073",23,41,94.5,9.2,"TSHE","NEON.PLA.D16.WREF.04406","sbt",31.8,"md","long_0.26"
