"domainid","siteid","plotid","subplotid","pointid","stemazimuth","stemdistance","taxonid","individualid","growthform","stemdiameter","addDBH","bandLength","springSize"
"D19","DEJU","DEJU_047",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00330","sbt",20.7,4,78,"76mm"
"D19","DEJU","DEJU_047",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00241","sbt",19.5,4,74,"76mm"
"D19","DEJU","DEJU_047",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00240","sbt",19,4,73,"76mm"
"D19","DEJU","DEJU_047",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00210","sbt",18.7,4,72,"76mm"
"D19","DEJU","DEJU_047",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00229","sbt",17.4,4,68,"76mm"
"D19","DEJU","DEJU_047",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00249","sbt",17.1,4,67,"76mm"
"D19","DEJU","DEJU_047",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00226","sbt",17,4,66,"76mm"
"D19","DEJU","DEJU_047",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00204","sbt",16.7,4,65,"76mm"
"D19","DEJU","DEJU_047",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00216","sbt",16.7,4,65,"76mm"
"D19","DEJU","DEJU_047",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00377","sbt",16,4,63,"76mm"
"D19","DEJU","DEJU_047",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00214","sbt",15.7,4,62,"76mm"
"D19","DEJU","DEJU_047",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00228","sbt",15.5,4,62,"76mm"
"D19","DEJU","DEJU_047",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00223","sbt",15,4,60,"76mm"
"D19","DEJU","DEJU_047",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00212","sbt",14.9,4,60,"76mm"
"D19","DEJU","DEJU_047",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00205","sbt",14.4,4,58,"76mm"
"D19","DEJU","DEJU_047",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00253","sbt",14.4,4,58,"76mm"
"D19","DEJU","DEJU_047",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00231","sbt",14.3,4,58,"76mm"
"D19","DEJU","DEJU_047",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00254","mbt",14.2,4,58,"76mm"
"D19","DEJU","DEJU_047",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00225","sbt",14.1,4,57,"76mm"
"D19","DEJU","DEJU_047",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00221","sbt",14,4,57,"76mm"
"D19","DEJU","DEJU_047",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00230","sbt",13.5,4,55,"76mm"
"D19","DEJU","DEJU_047",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00211","sbt",13.3,4,55,"76mm"
"D19","DEJU","DEJU_047",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00209","sbt",13.1,4,54,"76mm"
"D19","DEJU","DEJU_047",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00250","sbt",13.1,4,54,"76mm"
"D19","DEJU","DEJU_047",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00224","sbt",12.8,4,53,"76mm"
"D19","DEJU","DEJU_047",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00244","smt",12.8,4,53,"76mm"
"D19","DEJU","DEJU_047",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00236","sbt",12.7,4,53,"76mm"
"D19","DEJU","DEJU_047",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00326","sbt",12.3,4,52,"76mm"
"D19","DEJU","DEJU_047",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00213","sbt",12.2,4,51,"76mm"
"D19","DEJU","DEJU_047",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00239","sbt",12.2,4,51,"76mm"
"D19","DEJU","DEJU_047",23,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00339","sbt",17.5,4,68,"76mm"
"D19","DEJU","DEJU_047",23,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00338","sbt",15.9,4,63,"76mm"
"D19","DEJU","DEJU_047",23,NA,NA,NA,"POTR5","NEON.PLA.D19.DEJU.00351","sbt",15.2,4,61,"76mm"
"D19","DEJU","DEJU_047",23,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00357","sbt",15,4,60,"76mm"
"D19","DEJU","DEJU_047",23,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00336","sbt",14.4,4,58,"76mm"
"D19","DEJU","DEJU_047",23,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00333","sbt",14.2,4,58,"76mm"
"D19","DEJU","DEJU_047",23,NA,NA,NA,"POTR5","NEON.PLA.D19.DEJU.00346","sbt",13.9,4,57,"76mm"
"D19","DEJU","DEJU_047",23,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00355","sbt",13.8,4,56,"76mm"
"D19","DEJU","DEJU_047",23,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00341","sbt",13.5,4,55,"76mm"
"D19","DEJU","DEJU_047",23,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00337","sbt",13.4,4,55,"76mm"
"D19","DEJU","DEJU_047",23,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00349","sbt",13.2,4,55,"76mm"
"D19","DEJU","DEJU_047",23,NA,NA,NA,"POTR5","NEON.PLA.D19.DEJU.00350","sbt",13,4,54,"76mm"
"D19","DEJU","DEJU_047",23,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00354","sbt",12.5,4,52,"76mm"
"D19","DEJU","DEJU_049",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.04718","sbt",14.7,4,59,"76mm"
"D19","DEJU","DEJU_058",21,21,21.5,8,"PIGL","NEON.PLA.D19.DEJU.01551","sbt",17.2,4,67,"76mm"
"D19","DEJU","DEJU_058",21,41,187.7,5.8,"PIGL","NEON.PLA.D19.DEJU.01565","sbt",16.9,4,66,"76mm"
"D19","DEJU","DEJU_058",21,41,227.3,2.7,"PIGL","NEON.PLA.D19.DEJU.01566","sbt",16.9,4,66,"76mm"
"D19","DEJU","DEJU_058",41,43,311,6.2,"PIGL","NEON.PLA.D19.DEJU.01589","sbt",20.8,4,78,"76mm"
"D19","DEJU","DEJU_058",41,59,120.9,4.1,"PIGL","NEON.PLA.D19.DEJU.01594","sbt",18.5,4,71,"76mm"
"D19","DEJU","DEJU_062",23,39,3,2.9,"PIGL","NEON.PLA.D19.DEJU.02194","sbt",18.5,4,71,"76mm"
"D19","DEJU","DEJU_064",21,41,184.4,4.4,"PIGL","NEON.PLA.D19.DEJU.02488","sbt",18.6,4,71,"76mm"
NA,"DEJU","DEJU_046",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.02960","sbt",17.2,4,67,"76mm"
NA,"DEJU","DEJU_046",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.02958","sbt",17,4,66,"76mm"
NA,"DEJU","DEJU_046",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.02956","sbt",16,4,63,"76mm"
NA,"DEJU","DEJU_046",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.02955","sbt",15.8,4,63,"76mm"
NA,"DEJU","DEJU_046",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.02948","sbt",15.7,4,62,"76mm"
NA,"DEJU","DEJU_046",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.02952","sbt",13.8,4,56,"76mm"
NA,"DEJU","DEJU_046",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.02959","sbt",13.6,4,56,"76mm"
NA,"DEJU","DEJU_046",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.02944","sbt",13.4,4,55,"76mm"
NA,"DEJU","DEJU_046",23,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.02925","sbt",19.8,4,75,"76mm"
NA,"DEJU","DEJU_046",23,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.02926","sbt",16.2,4,64,"76mm"
NA,"DEJU","DEJU_046",23,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.02924","sbt",14.8,4,60,"76mm"
NA,"DEJU","DEJU_046",23,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.02927","sbt",12.2,4,51,"76mm"
NA,"DEJU","DEJU_047",23,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00342","sbt",19.9,4,76,"76mm"
NA,"DEJU","DEJU_047",23,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00343","sbt",13.7,4,56,"76mm"
NA,"DEJU","DEJU_048",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00764","sbt",16.7,4,65,"76mm"
NA,"DEJU","DEJU_048",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00763","sbt",14.6,4,59,"76mm"
NA,"DEJU","DEJU_048",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00771","sbt",13.3,4,55,"76mm"
NA,"DEJU","DEJU_048",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00757","sbt",12.9,4,54,"76mm"
NA,"DEJU","DEJU_048",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00768","sbt",12.4,4,52,"76mm"
NA,"DEJU","DEJU_048",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00770","sbt",12.3,4,52,"76mm"
NA,"DEJU","DEJU_048",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00784","sbt",12.3,4,52,"76mm"
NA,"DEJU","DEJU_048",39,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00832","sbt",16.2,4,64,"76mm"
NA,"DEJU","DEJU_048",39,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00855","sbt",15.5,4,62,"76mm"
NA,"DEJU","DEJU_048",39,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00816","sbt",13.4,4,55,"76mm"
NA,"DEJU","DEJU_048",39,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00830","sbt",12.3,4,52,"76mm"
NA,"DEJU","DEJU_049",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00169","sbt",25.6,4,93,"76mm"
NA,"DEJU","DEJU_049",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00299","sbt",22.9,4,85,"76mm"
NA,"DEJU","DEJU_049",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00187","sbt",22.8,4,85,"76mm"
NA,"DEJU","DEJU_049",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00181","sbt",21.5,4,81,"76mm"
NA,"DEJU","DEJU_049",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00199","sbt",16.9,4,66,"76mm"
NA,"DEJU","DEJU_049",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00197","sbt",14.4,4,58,"76mm"
NA,"DEJU","DEJU_049",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00300","sbt",13,4,54,"76mm"
NA,"DEJU","DEJU_049",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00200","sbt",12.6,4,53,"76mm"
NA,"DEJU","DEJU_049",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00198","sbt",12.3,4,52,"76mm"
NA,"DEJU","DEJU_049",23,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00394","sbt",14.1,4,57,"76mm"
NA,"DEJU","DEJU_049",23,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00392","sbt",12.3,4,52,"76mm"
NA,"DEJU","DEJU_050",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00133","sbt",14,4,57,"76mm"
NA,"DEJU","DEJU_050",23,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00028","sbt",13,4,54,"76mm"
NA,"DEJU","DEJU_050",23,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00023","sbt",12.2,4,51,"76mm"
