"domainid","siteid","plotid","subplotid","pointid","stemazimuth","stemdistance","taxonid","individualid","growthform","stemdiameter","templateSize","springLength"
"D10/13","NIWO","NIWO_040",31,NA,NA,NA,"PIEN","NEON.PLA.D13.NIWO.00460","sbt",66.2,"lg","long_0.31"
"D10/13","NIWO","NIWO_040",31,NA,NA,NA,"ABLAL","NEON.PLA.D13.NIWO.00458","sbt",31.1,"md","long_0.26"
"D10/13","NIWO","NIWO_040",31,NA,NA,NA,"PIEN","NEON.PLA.D13.NIWO.00456","sbt",29.5,"md","long_0.26"
"D10/13","NIWO","NIWO_040",31,NA,NA,NA,"PIEN","NEON.PLA.D13.NIWO.00466","sbt",28.7,"md","long_0.26"
"D10/13","NIWO","NIWO_040",31,NA,NA,NA,"PIEN","NEON.PLA.D13.NIWO.00469","sbt",26.9,"md","long_0.26"
"D10/13","NIWO","NIWO_040",31,NA,NA,NA,"PIEN","NEON.PLA.D13.NIWO.00451","sbt",18.5,"md","long_0.26"
"D10/13","NIWO","NIWO_040",31,NA,NA,NA,"PIEN","NEON.PLA.D13.NIWO.00468","sbt",18.3,"md","long_0.26"
"D10/13","NIWO","NIWO_040",31,NA,NA,NA,"PIEN","NEON.PLA.D13.NIWO.00464","sbt",17.6,"md","long_0.26"
"D10/13","NIWO","NIWO_040",31,NA,NA,NA,"PIEN","NEON.PLA.D13.NIWO.00463","sbt",16.7,"md","long_0.26"
"D10/13","NIWO","NIWO_040",31,NA,NA,NA,"ABLAL","NEON.PLA.D13.NIWO.00459","sbt",16.4,"md","long_0.26"
"D10/13","NIWO","NIWO_040",31,NA,NA,NA,"PIEN","NEON.PLA.D13.NIWO.00467","sbt",15.4,"md","long_0.26"
"D10/13","NIWO","NIWO_040",32,NA,NA,NA,"PIEN","NEON.PLA.D13.NIWO.00484","sbt",45.3,"md","long_0.26"
"D10/13","NIWO","NIWO_040",32,NA,NA,NA,"PIEN","NEON.PLA.D13.NIWO.00481","sbt",32.6,"md","long_0.26"
"D10/13","NIWO","NIWO_040",32,NA,NA,NA,"ABLAL","NEON.PLA.D13.NIWO.00485","sbt",32.2,"md","long_0.26"
"D10/13","NIWO","NIWO_040",32,NA,NA,NA,"PIEN","NEON.PLA.D13.NIWO.00480","sbt",22,"md","long_0.26"
"D10/13","NIWO","NIWO_040",32,NA,NA,NA,"PIEN","NEON.PLA.D13.NIWO.00477","sbt",19.2,"md","long_0.26"
"D10/13","NIWO","NIWO_040",32,NA,NA,NA,"ABLAL","NEON.PLA.D13.NIWO.00478","sbt",16.1,"md","long_0.26"
"D10/13","NIWO","NIWO_040",32,NA,NA,NA,"ABLAL","NEON.PLA.D13.NIWO.00483","sbt",15.2,"md","long_0.26"
"D10/13","NIWO","NIWO_040",40,NA,NA,NA,"PIEN","NEON.PLA.D13.NIWO.00498","sbt",56.1,"lg","long_0.31"
"D10/13","NIWO","NIWO_040",40,NA,NA,NA,"PIEN","NEON.PLA.D13.NIWO.00490","sbt",42.4,"md","long_0.26"
"D10/13","NIWO","NIWO_040",40,NA,NA,NA,"PIEN","NEON.PLA.D13.NIWO.00487","sbt",24,"md","long_0.26"
"D10/13","NIWO","NIWO_040",40,NA,NA,NA,"PIEN","NEON.PLA.D13.NIWO.00488","sbt",19.2,"md","long_0.26"
"D10/13","NIWO","NIWO_040",40,NA,NA,NA,"ABLAL","NEON.PLA.D13.NIWO.00486","sbt",19,"md","long_0.26"
