"siteid","75th","95th"
"BONA",15.1,23.6
"DEJU",12.2,16.2
"HEAL",12.8,14
"NIWO",14.1,25.1
"RMNP",26.1,38.9
"SJER",29.3,47.7
"SOAP",25,50.7
"TEAK",26.3,57.5
"WREF",23.1,54.6
