"domainid","siteid","plotid","subplotid","pointid","stemazimuth","stemdistance","taxonid","individualid","growthform","stemdiameter","templateSize","springLength"
"D18/19","DEJU","DEJU_045",23,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00301","sbt",13.7,"md","long_0.26"
"D18/19","DEJU","DEJU_045",23,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00500","sbt",12.8,"md","long_0.26"
"D18/19","DEJU","DEJU_045",39,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00681","sbt",12.8,"md","long_0.26"
"D18/19","DEJU","DEJU_046",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.02960","sbt",17.2,"md","long_0.26"
"D18/19","DEJU","DEJU_046",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.02958","sbt",17,"md","long_0.26"
"D18/19","DEJU","DEJU_046",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.02956","sbt",16,"md","long_0.26"
"D18/19","DEJU","DEJU_046",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.02955","sbt",15.8,"md","long_0.26"
"D18/19","DEJU","DEJU_046",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.02948","sbt",15.7,"md","long_0.26"
"D18/19","DEJU","DEJU_046",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.02952","sbt",13.8,"md","long_0.26"
"D18/19","DEJU","DEJU_046",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.02959","sbt",13.6,"md","long_0.26"
"D18/19","DEJU","DEJU_046",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.02944","sbt",13.4,"md","long_0.26"
"D18/19","DEJU","DEJU_046",23,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.02925","sbt",19.8,"md","long_0.26"
"D18/19","DEJU","DEJU_046",23,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.02926","sbt",16.2,"md","long_0.26"
"D18/19","DEJU","DEJU_046",23,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.02924","sbt",14.8,"md","long_0.26"
"D18/19","DEJU","DEJU_047",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00330","sbt",20.7,"md","long_0.26"
"D18/19","DEJU","DEJU_047",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00241","sbt",19.5,"md","long_0.26"
"D18/19","DEJU","DEJU_047",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00240","sbt",19,"md","long_0.26"
"D18/19","DEJU","DEJU_047",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00210","sbt",18.7,"md","long_0.26"
"D18/19","DEJU","DEJU_047",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00229","sbt",17.4,"md","long_0.26"
"D18/19","DEJU","DEJU_047",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00249","sbt",17.1,"md","long_0.26"
"D18/19","DEJU","DEJU_047",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00226","sbt",17,"md","long_0.26"
"D18/19","DEJU","DEJU_047",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00204","sbt",16.7,"md","long_0.26"
"D18/19","DEJU","DEJU_047",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00216","sbt",16.7,"md","long_0.26"
"D18/19","DEJU","DEJU_047",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00377","sbt",16,"md","long_0.26"
"D18/19","DEJU","DEJU_047",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00214","sbt",15.7,"md","long_0.26"
"D18/19","DEJU","DEJU_047",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00228","sbt",15.5,"md","long_0.26"
"D18/19","DEJU","DEJU_047",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00223","sbt",15,"md","long_0.26"
"D18/19","DEJU","DEJU_047",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00212","sbt",14.9,"md","long_0.26"
"D18/19","DEJU","DEJU_047",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00253","sbt",14.4,"md","long_0.26"
"D18/19","DEJU","DEJU_047",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00205","sbt",14.4,"md","long_0.26"
"D18/19","DEJU","DEJU_047",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00231","sbt",14.3,"md","long_0.26"
"D18/19","DEJU","DEJU_047",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00254","mbt",14.2,"md","long_0.26"
"D18/19","DEJU","DEJU_047",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00225","sbt",14.1,"md","long_0.26"
"D18/19","DEJU","DEJU_047",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00221","sbt",14,"md","long_0.26"
"D18/19","DEJU","DEJU_047",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00230","sbt",13.5,"md","long_0.26"
"D18/19","DEJU","DEJU_047",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00211","sbt",13.3,"md","long_0.26"
"D18/19","DEJU","DEJU_047",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00209","sbt",13.1,"md","long_0.26"
"D18/19","DEJU","DEJU_047",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00250","sbt",13.1,"md","long_0.26"
"D18/19","DEJU","DEJU_047",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00224","sbt",12.8,"md","long_0.26"
"D18/19","DEJU","DEJU_047",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00244","smt",12.8,"md","long_0.26"
"D18/19","DEJU","DEJU_047",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00236","sbt",12.7,"md","long_0.26"
"D18/19","DEJU","DEJU_047",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00326","sbt",12.3,"md","long_0.26"
"D18/19","DEJU","DEJU_047",23,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00342","sbt",19.9,"md","long_0.26"
"D18/19","DEJU","DEJU_047",23,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00339","sbt",17.5,"md","long_0.26"
"D18/19","DEJU","DEJU_047",23,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00338","sbt",15.9,"md","long_0.26"
"D18/19","DEJU","DEJU_047",23,NA,NA,NA,"POTR5","NEON.PLA.D19.DEJU.00351","sbt",15.2,"md","long_0.26"
"D18/19","DEJU","DEJU_047",23,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00357","sbt",15,"md","long_0.26"
"D18/19","DEJU","DEJU_047",23,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00336","sbt",14.4,"md","long_0.26"
"D18/19","DEJU","DEJU_047",23,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00333","sbt",14.2,"md","long_0.26"
"D18/19","DEJU","DEJU_047",23,NA,NA,NA,"POTR5","NEON.PLA.D19.DEJU.00346","sbt",13.9,"md","long_0.26"
"D18/19","DEJU","DEJU_047",23,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00355","sbt",13.8,"md","long_0.26"
"D18/19","DEJU","DEJU_047",23,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00343","sbt",13.7,"md","long_0.26"
"D18/19","DEJU","DEJU_047",23,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00341","sbt",13.5,"md","long_0.26"
"D18/19","DEJU","DEJU_047",23,NA,NA,NA,"POTR5","NEON.PLA.D19.DEJU.00335","sbt",13.4,"md","long_0.26"
"D18/19","DEJU","DEJU_047",23,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00337","sbt",13.4,"md","long_0.26"
"D18/19","DEJU","DEJU_047",23,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00349","sbt",13.2,"md","long_0.26"
"D18/19","DEJU","DEJU_047",23,NA,NA,NA,"POTR5","NEON.PLA.D19.DEJU.00350","sbt",13,"md","long_0.26"
"D18/19","DEJU","DEJU_047",23,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.00354","sbt",12.5,"md","long_0.26"
"D18/19","DEJU","DEJU_048",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00764","sbt",16.7,"md","long_0.26"
"D18/19","DEJU","DEJU_048",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00763","sbt",14.6,"md","long_0.26"
"D18/19","DEJU","DEJU_048",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00771","sbt",13.3,"md","long_0.26"
"D18/19","DEJU","DEJU_048",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00757","sbt",12.9,"md","long_0.26"
"D18/19","DEJU","DEJU_048",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00768","sbt",12.4,"md","long_0.26"
"D18/19","DEJU","DEJU_048",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00784","sbt",12.3,"md","long_0.26"
"D18/19","DEJU","DEJU_048",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00770","sbt",12.3,"md","long_0.26"
"D18/19","DEJU","DEJU_048",39,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00832","sbt",16.2,"md","long_0.26"
"D18/19","DEJU","DEJU_048",39,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00855","sbt",15.5,"md","long_0.26"
"D18/19","DEJU","DEJU_048",39,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00816","sbt",13.4,"md","long_0.26"
"D18/19","DEJU","DEJU_048",39,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00830","sbt",12.3,"md","long_0.26"
"D18/19","DEJU","DEJU_049",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00169","sbt",25.6,"md","long_0.26"
"D18/19","DEJU","DEJU_049",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00299","sbt",22.9,"md","long_0.26"
"D18/19","DEJU","DEJU_049",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00187","sbt",22.8,"md","long_0.26"
"D18/19","DEJU","DEJU_049",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00181","sbt",21.5,"md","long_0.26"
"D18/19","DEJU","DEJU_049",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00199","sbt",16.9,"md","long_0.26"
"D18/19","DEJU","DEJU_049",21,NA,NA,NA,"PIGL","NEON.PLA.D19.DEJU.04718","sbt",14.7,"md","long_0.26"
"D18/19","DEJU","DEJU_049",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00197","sbt",14.4,"md","long_0.26"
"D18/19","DEJU","DEJU_049",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00300","sbt",13,"md","long_0.26"
"D18/19","DEJU","DEJU_049",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00200","sbt",12.6,"md","long_0.26"
"D18/19","DEJU","DEJU_049",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00198","sbt",12.3,"md","long_0.26"
"D18/19","DEJU","DEJU_049",23,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00394","sbt",14.1,"md","long_0.26"
"D18/19","DEJU","DEJU_049",23,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00392","sbt",12.3,"md","long_0.26"
"D18/19","DEJU","DEJU_051",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00013","sbt",16.2,"md","long_0.26"
"D18/19","DEJU","DEJU_051",39,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00126","sbt",16.9,"md","long_0.26"
"D18/19","DEJU","DEJU_053",21,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.01531","sbt",18.4,"md","long_0.26"
"D18/19","DEJU","DEJU_053",41,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00713","sbt",17.7,"md","long_0.26"
"D18/19","DEJU","DEJU_053",41,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.00717","sbt",17.7,"md","long_0.26"
"D18/19","DEJU","DEJU_054",41,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.02740","sbt",21.7,"md","long_0.26"
"D18/19","DEJU","DEJU_055",23,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.02810","sbt",19.9,"md","long_0.26"
"D18/19","DEJU","DEJU_055",23,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.02815","sbt",18.9,"md","long_0.26"
"D18/19","DEJU","DEJU_055",41,NA,NA,NA,"PIMA","NEON.PLA.D19.DEJU.02777","sbt",17.7,"md","long_0.26"
