domainid,siteid,plotid,subplotid,pointid,stemazimuth,stemdistance,taxonid,individualid,growthform,stemdiameter,templateSize,springLength
D18/19,BONA,BONA_072,NA,NA,NA,NA,NA,NEON.PLA.D19.BONA.00041,single bole tree,17.4,md,long_0.26
D18/19,BONA,BONA_072,NA,NA,NA,NA,NA,NEON.PLA.D19.BONA.00042,single bole tree,19.5,md,long_0.26
D18/19,BONA,BONA_072,NA,NA,NA,NA,NA,NEON.PLA.D19.BONA.00044,single bole tree,18.8,md,long_0.26
D18/19,BONA,BONA_072,NA,NA,NA,NA,NA,NEON.PLA.D19.BONA.00046,single bole tree,17.6,md,long_0.26
D18/19,BONA,BONA_072,NA,NA,NA,NA,NA,NEON.PLA.D19.BONA.00047,single bole tree,23.4,md,long_0.26
D18/19,BONA,BONA_072,NA,NA,NA,NA,NA,NEON.PLA.D19.BONA.00050,single bole tree,17.8,md,long_0.26
D18/19,BONA,BONA_072,NA,NA,NA,NA,NA,NEON.PLA.D19.BONA.00059,multi-bole tree,17.9,md,long_0.26
D18/19,BONA,BONA_072,NA,NA,NA,NA,NA,NEON.PLA.D19.BONA.00080,single bole tree,20.4,md,long_0.26
D18/19,BONA,BONA_072,NA,NA,NA,NA,NA,NEON.PLA.D19.BONA.00081,single bole tree,16.8,md,long_0.26
D18/19,BONA,BONA_072,NA,NA,NA,NA,NA,NEON.PLA.D19.BONA.00082,multi-bole tree,17.1,md,long_0.26
D18/19,BONA,BONA_072,NA,NA,NA,NA,NA,NEON.PLA.D19.BONA.00092,single bole tree,16.4,md,long_0.26
D18/19,BONA,BONA_072,NA,NA,NA,NA,NA,NEON.PLA.D19.BONA.00097,single bole tree,16.4,md,long_0.26
D18/19,BONA,BONA_072,NA,NA,NA,NA,NA,NEON.PLA.D19.BONA.00105,single bole tree,21.8,md,long_0.26
D18/19,BONA,BONA_072,NA,NA,NA,NA,NA,NEON.PLA.D19.BONA.00106,single bole tree,24,md,long_0.26
D18/19,BONA,BONA_072,NA,NA,NA,NA,NA,NEON.PLA.D19.BONA.00109,single bole tree,17.5,md,long_0.26
D18/19,BONA,BONA_072,NA,NA,NA,NA,NA,NEON.PLA.D19.BONA.00116,multi-bole tree,17.2,md,long_0.26
D18/19,BONA,BONA_072,NA,NA,NA,NA,NA,NEON.PLA.D19.BONA.00116A,NA,16.6,md,long_0.26
D18/19,BONA,BONA_072,NA,NA,NA,NA,NA,NEON.PLA.D19.BONA.00124,single bole tree,19,md,long_0.26
D18/19,BONA,BONA_072,NA,NA,NA,NA,NA,NEON.PLA.D19.BONA.00127,single bole tree,18.2,md,long_0.26
D18/19,BONA,BONA_072,NA,NA,NA,NA,NA,NEON.PLA.D19.BONA.00130,single bole tree,17.4,md,long_0.26
D18/19,BONA,BONA_072,NA,NA,NA,NA,NA,NEON.PLA.D19.BONA.00132,single bole tree,23,md,long_0.26
D18/19,BONA,BONA_072,NA,NA,NA,NA,NA,NEON.PLA.D19.BONA.00133,multi-bole tree,18.9,md,long_0.26
D18/19,BONA,BONA_072,NA,NA,NA,NA,NA,NEON.PLA.D19.BONA.00134,single bole tree,18.3,md,long_0.26
D18/19,BONA,BONA_072,NA,NA,NA,NA,NA,NEON.PLA.D19.BONA.00135,single bole tree,29.3,md,long_0.26
D18/19,BONA,BONA_072,NA,NA,NA,NA,NA,NEON.PLA.D19.BONA.00139,single bole tree,18,md,long_0.26
D18/19,BONA,BONA_072,NA,NA,NA,NA,NA,NEON.PLA.D19.BONA.00141,single bole tree,21.4,md,long_0.26
D18/19,BONA,BONA_072,NA,NA,NA,NA,NA,NEON.PLA.D19.BONA.00146,single bole tree,16.5,md,long_0.26
D18/19,BONA,BONA_072,NA,NA,NA,NA,NA,NEON.PLA.D19.BONA.00148,single bole tree,17.7,md,long_0.26
D18/19,BONA,BONA_072,NA,NA,NA,NA,NA,NEON.PLA.D19.BONA.00149,single bole tree,20.6,md,long_0.26
D18/19,BONA,BONA_079,NA,NA,NA,NA,NA,NEON.PLA.D19.BONA.00172,single bole tree,26.2,md,long_0.26
