"","domainid","siteid","plotid_parent","tallydate","yearboutbegan","eventid","volumefactor","samplingprotocolversion","lidsazimuth","targettaxapresent","logdistance","logmaxdiameter","minorlogdiameter","logid","loglength","taxonid","scientificname","decayclass","diameterClass","decayClassNum"
"1","D19","DEJU","DEJU_064","2016-08-30T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",290,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","D19","DEJU","DEJU_064","2016-08-30T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",50,"Y",1.9,5.5,NA,"L01",1.3,"POTR5","Populus tremuloides Michx.","2 - Sound round","5-10cm","2"
"3","D19","DEJU","DEJU_064","2016-08-30T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",170,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","D19","DEJU","DEJU_005","2016-08-29T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",300,"Y",0.7,4.6,NA,"L01",2.9,"PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","2 - Sound round","2-5cm","2"
"5","D19","DEJU","DEJU_005","2016-08-29T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",300,"Y",1.5,7.2,NA,"L02",2,"PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","2 - Sound round","5-10cm","2"
"6","D19","DEJU","DEJU_005","2016-08-29T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",300,"Y",2.8,6,NA,"L03",2.3,"PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","2 - Sound round","5-10cm","2"
"7","D19","DEJU","DEJU_005","2016-08-29T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",180,"Y",1,6.8,NA,"L04",1.5,"PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","2 - Sound round","5-10cm","2"
"8","D19","DEJU","DEJU_005","2016-08-29T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",60,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","D19","DEJU","DEJU_015","2016-08-30T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",90,"Y",0.9,4.1,NA,"L01",2.5,"POTR5","Populus tremuloides Michx.","2 - Sound round","2-5cm","2"
"10","D19","DEJU","DEJU_015","2016-08-30T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",210,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","D19","DEJU","DEJU_015","2016-08-30T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",330,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","D19","DEJU","DEJU_003","2016-08-29T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",100,"Y",2.2,9.3,NA,"L01",2.7,"PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","2 - Sound round","5-10cm","2"
"13","D19","DEJU","DEJU_003","2016-08-29T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",220,"Y",0.3,6.1,NA,"L02",4.8,"PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","3 - Heartwood sound","5-10cm","3"
"14","D19","DEJU","DEJU_003","2016-08-29T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",220,"Y",1,5.3,NA,"L03",1.8,"PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","2 - Sound round","5-10cm","2"
"15","D19","DEJU","DEJU_003","2016-08-29T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",340,"Y",1.3,5,NA,"L05",2.5,"PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","3 - Heartwood sound","5-10cm","3"
"16","D19","DEJU","DEJU_057","2016-08-30T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",70,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","D19","DEJU","DEJU_057","2016-08-30T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",190,"Y",2.6,5.4,NA,"L01",1,"POTR5","Populus tremuloides Michx.","2 - Sound round","5-10cm","2"
"18","D19","DEJU","DEJU_057","2016-08-30T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",310,"Y",1.8,7.2,NA,"L02",1.5,"POTR5","Populus tremuloides Michx.","2 - Sound round","5-10cm","2"
"19","D19","DEJU","DEJU_007","2016-08-30T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",30,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","D19","DEJU","DEJU_007","2016-08-30T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",270,"Y",0.1,4.2,NA,"L01",2.4,"PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","2 - Sound round","2-5cm","2"
"21","D19","DEJU","DEJU_007","2016-08-30T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",270,"Y",0.3,5.8,NA,"L02",1.7,"PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","2 - Sound round","5-10cm","2"
"22","D19","DEJU","DEJU_007","2016-08-30T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",150,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","D19","DEJU","DEJU_010","2016-08-29T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",150,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","D19","DEJU","DEJU_010","2016-08-29T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",270,"Y",1.9,9.9,NA,"L01",3.7,"PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","2 - Sound round","5-10cm","2"
"25","D19","DEJU","DEJU_010","2016-08-29T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",20,"Y",7.1,9.3,NA,"L02",2.8,"PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","2 - Sound round","5-10cm","2"
"26","D19","DEJU","DEJU_060","2016-08-30T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",190,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","D19","DEJU","DEJU_060","2016-08-30T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",70,"Y",0.2,3,NA,"L01",1.1,"PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","2 - Sound round","2-5cm","2"
"28","D19","DEJU","DEJU_060","2016-08-30T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",70,"Y",0.3,2.1,NA,"L02",1.8,"PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","3 - Heartwood sound","2-5cm","3"
"29","D19","DEJU","DEJU_060","2016-08-30T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",310,"Y",11.8,11.6,NA,"4499",2.9,"PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","2 - Sound round",">=10cm","2"
"30","D19","DEJU","DEJU_014","2016-08-30T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",80,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","D19","DEJU","DEJU_014","2016-08-30T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",320,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","D19","DEJU","DEJU_014","2016-08-30T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",200,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","D19","DEJU","DEJU_054","2016-08-31T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",70,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","D19","DEJU","DEJU_054","2016-08-31T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",190,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","D19","DEJU","DEJU_054","2016-08-31T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",310,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","D19","DEJU","DEJU_017","2016-08-29T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",180,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","D19","DEJU","DEJU_017","2016-08-29T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",300,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","D19","DEJU","DEJU_017","2016-08-29T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",60,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","D19","DEJU","DEJU_024","2016-08-29T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",0,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
