"","domainid","siteid","plotid_parent","tallydate","yearboutbegan","eventid","volumefactor","samplingprotocolversion","lidsazimuth","targettaxapresent","logdistance","logmaxdiameter","minorlogdiameter","logid","loglength","taxonid","scientificname","decayclass","diameterClass","decayClassNum"
"1","D19","BONA","BONA_005","2017-08-22T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",20,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","D19","BONA","BONA_005","2017-08-22T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",140,"Y",0.6,5.7,NA,"L01",2.55,"POTR5","Populus tremuloides Michx.","3 - Heartwood sound","5-10cm","3"
"3","D19","BONA","BONA_005","2017-08-22T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",260,"Y",3.2,9.4,NA,"L02",5.8,"POTR5","Populus tremuloides Michx.","3 - Heartwood sound","5-10cm","3"
"4","D19","BONA","BONA_007","2017-08-24T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",40,"Y",1.7,4.8,NA,"L01",2.5,"BENE4","Betula neoalaskana Sarg.","4 - Rotten throughout","2-5cm","4"
"5","D19","BONA","BONA_007","2017-08-24T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",160,"Y",0.9,4.6,NA,"L02",1.9,"ALVI5","Alnus viridis (Chaix) DC.","3 - Heartwood sound","2-5cm","3"
"6","D19","BONA","BONA_007","2017-08-24T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",280,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","D19","BONA","BONA_011","2017-08-17T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",260,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","D19","BONA","BONA_011","2017-08-17T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",20,"Y",2.6,18.9,NA,"04300",4.1,"PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","2 - Sound round",">=10cm","2"
"9","D19","BONA","BONA_011","2017-08-17T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",140,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","D19","BONA","BONA_026","2017-08-24T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",70,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","D19","BONA","BONA_026","2017-08-24T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",190,"Y",9.5,21.2,NA,"04188",7,"PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","2 - Sound round",">=10cm","2"
"12","D19","BONA","BONA_026","2017-08-24T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",310,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","D19","BONA","BONA_018","2017-08-17T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",240,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","D19","BONA","BONA_018","2017-08-17T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",120,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
