"","domainid","siteid","plotid_parent","tallydate","volumefactor_ingest","particle_count","lidsazimuth","logmaxdiameter","taxonid","decayclass","logid_ingest","logdistance","loglength","acceptedtaxonid","targettaxapresent","diameterClass","decayClassNum"
"1","D08","LENO","LENO_067","2017-05-08T00:00:00.000Z",8,NA,50,17.1,"NYSY","3 - Heartwood sound","400",13.3,12.2,"NYSY","Y",">=10cm","3"
"2","D08","LENO","LENO_067","2017-05-08T00:00:00.000Z",8,NA,50,21.7,"QUNI","2 - Sound round","399",20.8,17.3,"QUNI","Y",">=10cm","2"
"3","D08","LENO","LENO_067","2017-05-08T00:00:00.000Z",8,NA,170,82.6,"CATO5","2 - Sound round","470",112,18.8,"CATO5","Y",">=10cm","2"
"4","D08","LENO","LENO_067","2017-05-08T00:00:00.000Z",8,NA,170,182.6,"CATO5","2 - Sound round","470",132,18.8,"CATO5","Y",">=10cm","2"
"5","D08","LENO","LENO_067","2017-05-08T00:00:00.000Z",8,NA,170,76.5,"QUERC","3 - Heartwood sound","496",103,9.8,"QUERC","Y",">=10cm","3"
"6","D08","LENO","LENO_067","2017-05-08T00:00:00.000Z",8,NA,170,76.5,"QUERC","3 - Heartwood sound","496",141,9.8,"QUERC","Y",">=10cm","3"
"7","D08","LENO","LENO_067","2017-05-08T00:00:00.000Z",NA,NA,290,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"8","D08","LENO","LENO_001","2017-05-17T00:00:00.000Z",NA,NA,350,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"9","D08","LENO","LENO_005","2017-05-08T00:00:00.000Z",NA,NA,350,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"10","D08","LENO","LENO_016","2017-05-09T00:00:00.000Z",NA,NA,310,45.5,"QUERC","4 - Rotten throughout","286",13.6,8.6,"QUERC","Y",">=10cm","4"
"11","D08","LENO","LENO_016","2017-05-09T00:00:00.000Z",NA,NA,310,45.5,"QUERC","4 - Rotten throughout","286",40.8,8.6,"QUERC","Y",">=10cm","4"
"12","D08","LENO","LENO_016","2017-05-09T00:00:00.000Z",NA,NA,310,47.1,"LIST2","4 - Rotten throughout","285",84.2,11.1,"LIST2","Y",">=10cm","4"
"13","D08","LENO","LENO_016","2017-05-09T00:00:00.000Z",NA,NA,310,73.1,"QUPA5","4 - Rotten throughout","284",155.3,27.6,"QUPA5","Y",">=10cm","4"
