"domainid","siteid","plotid_parent","tallydate","yearboutbegan","eventid","volumefactor","samplingprotocolversion","lidsazimuth","targettaxapresent","logdistance","logmaxdiameter","minorlogdiameter","logid","loglength","taxonid","scientificname","decayclass","mortonOrder","siteID","nlcdClass","plotType","subtype","applicableModules","plotSize","subtypeSpecification"
"D08","DELA","DELA_001","2016-07-08T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",160,"Y",82,38,28,"149",2.8,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",12,"DELA","woodyWetlands","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",1600,""
"D08","DELA","DELA_001","2016-07-08T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",280,"Y",49.8,26,25,"148",5.8,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",12,"DELA","woodyWetlands","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",1600,""
"D08","DELA","DELA_001","2016-07-08T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",40,"Y",69.3,43,38,"146",9.2,"2PLANT-H","Unknown Hardwood","4 - Rotten throughout",12,"DELA","woodyWetlands","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",1600,""
"D08","DELA","DELA_001","2016-07-08T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",280,"Y",79.8,98,NA,"147",9,"QUVE","Quercus velutina Lam.","1 - Fresh fallen",12,"DELA","woodyWetlands","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",1600,""
"D08","DELA","DELA_002","2016-07-13T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",330,"N",NA,NA,NA,NA,NA,NA,NA,NA,40,"DELA","woodyWetlands","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",1600,""
"D08","DELA","DELA_002","2016-07-13T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",210,"Y",13.4,13.8,10.3,"344",2.9,"2PLANT-H","Unknown Hardwood","4 - Rotten throughout",40,"DELA","woodyWetlands","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",1600,""
"D08","DELA","DELA_002","2016-07-13T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",90,"N",NA,NA,NA,NA,NA,NA,NA,NA,40,"DELA","woodyWetlands","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",1600,""
"D08","DELA","DELA_003","2016-07-20T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",310,"N",NA,NA,NA,NA,NA,NA,NA,NA,59,"DELA","woodyWetlands","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",1600,""
"D08","DELA","DELA_003","2016-07-20T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",190,"N",NA,NA,NA,NA,NA,NA,NA,NA,59,"DELA","woodyWetlands","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",1600,""
"D08","DELA","DELA_003","2016-07-20T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",70,"Y",7.1,11.6,11.1,"145",4.8,"2PLANT-H","Unknown Hardwood","2 - Sound round",59,"DELA","woodyWetlands","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",1600,""
"D08","DELA","DELA_004","2016-07-06T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",290,"N",NA,NA,NA,NA,NA,NA,NA,NA,60,"DELA","woodyWetlands","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",1600,""
"D08","DELA","DELA_004","2016-07-06T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",50,"Y",15,16.7,16,"211",3.2,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",60,"DELA","woodyWetlands","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",1600,""
"D08","DELA","DELA_004","2016-07-06T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",50,"Y",18.1,21,9.1,"212",2,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",60,"DELA","woodyWetlands","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",1600,""
"D08","DELA","DELA_004","2016-07-06T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",50,"Y",19.5,20.5,17.9,"213",8.1,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",60,"DELA","woodyWetlands","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",1600,""
"D08","DELA","DELA_004","2016-07-06T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",170,"Y",18.2,24.2,15,"214",1.6,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",60,"DELA","woodyWetlands","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",1600,""
"D08","DELA","DELA_004","2016-07-06T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",170,"Y",22,29,21,"215",3.2,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",60,"DELA","woodyWetlands","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",1600,""
"D08","DELA","DELA_004","2016-07-06T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",170,"Y",44,29.9,28.5,"216",13.4,"PITA","Pinus taeda L.","2 - Sound round",60,"DELA","woodyWetlands","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",1600,""
"D08","DELA","DELA_005","2016-07-07T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",90,"Y",54.5,25.3,20.4,"222",15.1,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",64,"DELA","woodyWetlands","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",1600,""
"D08","DELA","DELA_005","2016-07-07T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",210,"N",NA,NA,NA,NA,NA,NA,NA,NA,64,"DELA","woodyWetlands","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",1600,""
"D08","DELA","DELA_005","2016-07-07T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",330,"N",NA,NA,NA,NA,NA,NA,NA,NA,64,"DELA","woodyWetlands","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",1600,""
"D08","DELA","DELA_005","2016-07-07T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",90,"Y",3.9,8.9,8.1,"L01",1.8,"2PLANT-H","Unknown Hardwood",NA,64,"DELA","woodyWetlands","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",1600,""
"D08","DELA","DELA_005","2016-07-07T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",90,"Y",18.3,25.3,20.4,"222",13.1,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",64,"DELA","woodyWetlands","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",1600,""
"D08","DELA","DELA_006","2016-07-07T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",260,"Y",48.4,65.3,NA,"155",16.6,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",69,"DELA","woodyWetlands","distributed","basePlot","all|bet|brd|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_006","2016-07-07T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",20,"Y",124.6,106.2,NA,"154",24.3,"QUNI","Quercus nigra L.","1 - Fresh fallen",69,"DELA","woodyWetlands","distributed","basePlot","all|bet|brd|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_006","2016-07-07T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",140,"Y",143.7,58.4,48.2,"153",14,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",69,"DELA","woodyWetlands","distributed","basePlot","all|bet|brd|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_008","2016-07-11T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",330,"Y",7,25.2,NA,"139",16.3,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",91,"DELA","woodyWetlands","distributed","basePlot","all|brd|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_008","2016-07-11T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",210,"Y",11.2,14.6,14.2,"141",4.1,"2PLANT-H","Unknown Hardwood","2 - Sound round",91,"DELA","woodyWetlands","distributed","basePlot","all|brd|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_008","2016-07-11T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",210,"Y",35.6,23.7,18.2,"140",7.6,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",91,"DELA","woodyWetlands","distributed","basePlot","all|brd|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_008","2016-07-11T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",330,"Y",6.8,24.7,21.1,"139",16.3,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",91,"DELA","woodyWetlands","distributed","basePlot","all|brd|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_008","2016-07-11T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",90,"Y",8.2,24.7,18.8,"138",5.6,"2PLANT-H","Unknown Hardwood","4 - Rotten throughout",91,"DELA","woodyWetlands","distributed","basePlot","all|brd|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_008","2016-07-11T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",90,"Y",40.9,34.1,34.1,"137",16.1,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",91,"DELA","woodyWetlands","distributed","basePlot","all|brd|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_008","2016-07-11T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",90,"Y",44.9,39.9,33.6,"136",18.7,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",91,"DELA","woodyWetlands","distributed","basePlot","all|brd|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_008","2016-07-11T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",90,"Y",114.7,38.4,28.3,"135",13.5,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",91,"DELA","woodyWetlands","distributed","basePlot","all|brd|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_009","2016-07-13T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",160,"N",NA,NA,NA,NA,NA,NA,NA,NA,119,"DELA","woodyWetlands","distributed","basePlot","all|bet|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_009","2016-07-13T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",40,"Y",27.2,41.2,33.1,"343",9.1,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",119,"DELA","woodyWetlands","distributed","basePlot","all|bet|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_009","2016-07-13T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",40,"Y",8.2,12.2,12,"342",3.6,"2PLANT-H","Unknown Hardwood","2 - Sound round",119,"DELA","woodyWetlands","distributed","basePlot","all|bet|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_009","2016-07-13T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",40,"Y",0.3,13.8,11.2,"341",2.5,"2PLANT-H","Unknown Hardwood","4 - Rotten throughout",119,"DELA","woodyWetlands","distributed","basePlot","all|bet|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_009","2016-07-13T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",280,"Y",20.5,27.1,24.4,"340",19.7,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",119,"DELA","woodyWetlands","distributed","basePlot","all|bet|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_011","2016-07-07T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",90,"N",NA,NA,NA,NA,NA,NA,NA,NA,164,"DELA","woodyWetlands","distributed","basePlot","all|bet|brd|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_011","2016-07-07T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",270,"N",NA,NA,NA,NA,NA,NA,NA,NA,164,"DELA","woodyWetlands","distributed","basePlot","all|bet|brd|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_011","2016-07-07T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",330,"N",NA,NA,NA,NA,NA,NA,NA,NA,164,"DELA","woodyWetlands","distributed","basePlot","all|bet|brd|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_012","2016-07-07T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",280,"N",NA,NA,NA,NA,NA,NA,NA,NA,168,"DELA","woodyWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_012","2016-07-07T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",40,"N",NA,NA,NA,NA,NA,NA,NA,NA,168,"DELA","woodyWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_012","2016-07-07T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",160,"Y",26.4,35.2,33.2,"320",12.4,"LIST2","Liquidambar styraciflua L.","1 - Fresh fallen",168,"DELA","woodyWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_013","2016-07-11T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",230,"N",NA,NA,NA,NA,NA,NA,NA,NA,215,"DELA","woodyWetlands","distributed","basePlot","all|bet|brd|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_013","2016-07-11T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",110,"Y",199.9,48,46.3,"142",11,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",215,"DELA","woodyWetlands","distributed","basePlot","all|bet|brd|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_013","2016-07-11T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",350,"Y",10.6,28.5,23.2,"144",4.4,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",215,"DELA","woodyWetlands","distributed","basePlot","all|bet|brd|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_013","2016-07-11T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",350,"Y",32,24.8,12.7,"143",1.2,"2PLANT-H","Unknown Hardwood","5 - No structural integrity",215,"DELA","woodyWetlands","distributed","basePlot","all|bet|brd|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_014","2016-07-06T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",0,"N",NA,NA,NA,NA,NA,NA,NA,NA,232,"DELA","evergreenForest","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",1600,""
"D08","DELA","DELA_014","2016-07-06T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",240,"Y",1,20.2,19.5,"217",2.3,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",232,"DELA","evergreenForest","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",1600,""
"D08","DELA","DELA_014","2016-07-06T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",240,"Y",24.6,22,21.6,"218",1.4,"PITA","Pinus taeda L.","4 - Rotten throughout",232,"DELA","evergreenForest","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",1600,""
"D08","DELA","DELA_014","2016-07-06T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",120,"Y",24.9,30,12.9,"219",1.8,"PITA","Pinus taeda L.","5 - No structural integrity",232,"DELA","evergreenForest","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",1600,""
"D08","DELA","DELA_014","2016-07-06T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",120,"Y",49.7,29.8,28.3,"220",9,"PITA","Pinus taeda L.","4 - Rotten throughout",232,"DELA","evergreenForest","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",1600,""
"D08","DELA","DELA_015","2016-07-08T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",300,"Y",24,19.1,17.6,"224",5.5,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",236,"DELA","woodyWetlands","distributed","basePlot","all|brd|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_015","2016-07-08T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",60,"Y",92.4,38.8,34.7,"225",1.7,"2PLANT-H","Unknown Hardwood","2 - Sound round",236,"DELA","woodyWetlands","distributed","basePlot","all|brd|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_015","2016-07-08T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",180,"N",NA,NA,NA,NA,NA,NA,NA,NA,236,"DELA","woodyWetlands","distributed","basePlot","all|brd|cdw|cfc|dhp|div|hbp|vst",1600,""
