"","domainID","siteID","plotID","date","eventID","volumeFactor","samplingProtocolVersion","lidsAzimuth","targetTaxaPresent","logDistance","logMaxDiameter","logMinorDiameter","logID","logLength","taxonID","scientificName","decayClass","plotType","diameterClass","decayClassNum"
"1","D08","LENO","LENO_002",2021-06-02,"CDW.2021.LENO",8,"NEON.DOC.001711vF",70,"Y",0.8,13.2,13.2,"00267",9.8,"QUPH","Quercus phellos L.","1 - Fresh fallen","distributed",">=10cm","1"
"2","D08","LENO","LENO_019",2021-08-16,"CDW.2021.LENO",8,"NEON.DOC.001711vF",170,"Y",107.1,68,41,"00854",6.3,"LIST2","Liquidambar styraciflua L.","2 - Sound round","distributed",">=10cm","2"
"3","D08","LENO","LENO_014",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",190,"N",NA,NA,NA,NA,NA,NA,NA,NA,"distributed",NA,NA
"4","D08","LENO","LENO_002",2021-06-02,"CDW.2021.LENO",8,"NEON.DOC.001711vF",310,"Y",4,12.6,12.6,"00985",3.2,"QUPH","Quercus phellos L.","1 - Fresh fallen","distributed",">=10cm","1"
"5","D08","LENO","LENO_013",2021-08-16,"CDW.2021.LENO",8,"NEON.DOC.001711vF",160,"Y",118.3,47.2,47.2,"00853",29.6,"QUPH","Quercus phellos L.","1 - Fresh fallen","distributed",">=10cm","1"
"6","D08","LENO","LENO_021",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",30,"N",NA,NA,NA,NA,NA,NA,NA,NA,"distributed",NA,NA
"7","D08","LENO","LENO_011",2021-05-26,"CDW.2021.LENO",8,"NEON.DOC.001711vF",310,"Y",14.2,37.2,31.6,"00984",15.6,"QUPA5","Quercus pagoda Raf.","3 - Heartwood sound","distributed",">=10cm","3"
"8","D08","LENO","LENO_006",2021-08-16,"CDW.2021.LENO",8,"NEON.DOC.001711vF",250,"Y",9.5,25.8,25.8,"00847",7.4,"QUERC","Quercus sp.","3 - Heartwood sound","distributed",">=10cm","3"
"9","D08","LENO","LENO_003",2021-08-16,"CDW.2021.LENO",8,"NEON.DOC.001711vF",340,"Y",101.4,94.1,94.1,"00846",30.8,"QUPA5","Quercus pagoda Raf.","1 - Fresh fallen","distributed",">=10cm","1"
"10","D08","LENO","LENO_012",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",90,"Y",32.8,35.3,26.9,"00835",14.3,"QUERC","Quercus sp.","4 - Rotten throughout","distributed",">=10cm","4"
"11","D08","LENO","LENO_012",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",90,"Y",20.9,52,40.6,"00438",24.1,"QUPA5","Quercus pagoda Raf.","4 - Rotten throughout","distributed",">=10cm","4"
"12","D08","LENO","LENO_018",2021-08-16,"CDW.2021.LENO",8,"NEON.DOC.001711vF",30,"Y",32.6,28.8,28.8,"00843",6.6,"CELA","Celtis laevigata Willd.","3 - Heartwood sound","distributed",">=10cm","3"
"13","D08","LENO","LENO_018",2021-08-16,"CDW.2021.LENO",8,"NEON.DOC.001711vF",150,"N",NA,NA,NA,NA,NA,NA,NA,NA,"distributed",NA,NA
"14","D08","LENO","LENO_009",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",90,"Y",22.5,45.5,15.2,"00841",20,"QUERC","Quercus sp.","4 - Rotten throughout","distributed",">=10cm","4"
"15","D08","LENO","LENO_011",2021-05-26,"CDW.2021.LENO",8,"NEON.DOC.001711vF",190,"Y",32.8,32.4,32.4,"00963",10.2,"QUNI","Quercus nigra L.","3 - Heartwood sound","distributed",">=10cm","3"
"16","D08","LENO","LENO_004",2021-06-03,"CDW.2021.LENO",8,"NEON.DOC.001711vF",290,"N",NA,NA,NA,NA,NA,NA,NA,NA,"distributed",NA,NA
"17","D08","LENO","LENO_011",2021-05-26,"CDW.2021.LENO",8,"NEON.DOC.001711vF",70,"N",NA,NA,NA,NA,NA,NA,NA,NA,"distributed",NA,NA
"18","D08","LENO","LENO_009",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",330,"Y",11.6,36.8,36.8,"00838",18.2,"QUPH","Quercus phellos L.","1 - Fresh fallen","distributed",">=10cm","1"
"19","D08","LENO","LENO_003",2021-06-03,"CDW.2021.LENO",8,"NEON.DOC.001711vF",220,"Y",2.5,10.4,10.4,"00869",1.2,"QUPA5","Quercus pagoda Raf.","3 - Heartwood sound","distributed",">=10cm","3"
"20","D08","LENO","LENO_016",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",70,"N",NA,NA,NA,NA,NA,NA,NA,NA,"distributed",NA,NA
"21","D08","LENO","LENO_004",2021-06-03,"CDW.2021.LENO",8,"NEON.DOC.001711vF",170,"Y",111.6,45.7,45.7,"00873",29.8,"QUPA5","Quercus pagoda Raf.","1 - Fresh fallen","distributed",">=10cm","1"
"22","D08","LENO","LENO_018",2021-08-16,"CDW.2021.LENO",8,"NEON.DOC.001711vF",270,"Y",0.2,12.3,9.1,"00845",2.9,"QUERC","Quercus sp.","4 - Rotten throughout","distributed",">=10cm","4"
"23","D08","LENO","LENO_016",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",190,"Y",3.7,40.5,40.5,"00861",25.3,"LIST2","Liquidambar styraciflua L.","2 - Sound round","distributed",">=10cm","2"
"24","D08","LENO","LENO_002",2021-06-02,"CDW.2021.LENO",8,"NEON.DOC.001711vF",310,"Y",12.3,9.5,9.5,"00463",5.9,"QUPH","Quercus phellos L.","1 - Fresh fallen","distributed","5-10cm","1"
"25","D08","LENO","LENO_017",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",140,"Y",0.3,13,13,"00828",13.3,"QUNI","Quercus nigra L.","3 - Heartwood sound","distributed",">=10cm","3"
"26","D08","LENO","LENO_009",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",90,"Y",72.2,64.9,64.9,"00840",31,"QUNI","Quercus nigra L.","1 - Fresh fallen","distributed",">=10cm","1"
"27","D08","LENO","LENO_003",2021-06-03,"CDW.2021.LENO",8,"NEON.DOC.001711vF",220,"Y",34.7,34.1,34.1,"00867",4.7,"QUERC","Quercus sp.","3 - Heartwood sound","distributed",">=10cm","3"
"28","D08","LENO","LENO_015",2021-08-16,"CDW.2021.LENO",8,"NEON.DOC.001711vF",290,"Y",55,35.8,34.2,"00571",14.8,"QUERC","Quercus sp.","4 - Rotten throughout","distributed",">=10cm","4"
"29","D08","LENO","LENO_008",2021-06-03,"CDW.2021.LENO",8,"NEON.DOC.001711vF",310,"Y",9,22.5,22.5,"00872",6,"CELA","Celtis laevigata Willd.","2 - Sound round","distributed",">=10cm","2"
"30","D08","LENO","LENO_004",2021-06-03,"CDW.2021.LENO",8,"NEON.DOC.001711vF",50,"Y",57.2,25.9,25.9,"00352",6.5,"QUNI","Quercus nigra L.","3 - Heartwood sound","distributed",">=10cm","3"
"31","D08","LENO","LENO_014",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",70,"Y",66.8,66,66,"00858",18.3,"QUERC","Quercus sp.","3 - Heartwood sound","distributed",">=10cm","3"
"32","D08","LENO","LENO_015",2021-08-16,"CDW.2021.LENO",8,"NEON.DOC.001711vF",170,"Y",4.5,15.4,13.7,"00849",7.6,"FRPE","Fraxinus pennsylvanica Marshall","3 - Heartwood sound","distributed",">=10cm","3"
"33","D08","LENO","LENO_015",2021-08-16,"CDW.2021.LENO",8,"NEON.DOC.001711vF",290,"Y",64.7,40,40,"00574",14.1,"QUERC","Quercus sp.","4 - Rotten throughout","distributed",">=10cm","4"
"34","D08","LENO","LENO_002",2021-06-02,"CDW.2021.LENO",8,"NEON.DOC.001711vF",70,"Y",17.6,100,100,"00463",28.7,"QUPH","Quercus phellos L.","1 - Fresh fallen","distributed",">=10cm","1"
"35","D08","LENO","LENO_012",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",210,"Y",2.7,14.1,6.6,"00834",4.5,"2PLANT-H","Unknown Hardwood","4 - Rotten throughout","distributed",">=10cm","4"
"36","D08","LENO","LENO_005",2021-05-26,"CDW.2021.LENO",8,"NEON.DOC.001711vF",30,"Y",34.9,35.6,35.6,"00929",8,"PIGL2","Pinus glabra Walter","3 - Heartwood sound","distributed",">=10cm","3"
