"","domainid","siteid","plotid_parent","tallydate","volumefactor_ingest","particle_count","lidsazimuth","logmaxdiameter","taxonid","decayclass","logid_ingest","logdistance","loglength","acceptedtaxonid","targettaxapresent","diameterClass","decayClassNum"
"1","D08","DELA","DELA_056","2016-07-05T00:00:00.000Z",5,NA,290,19,"2PLANT-H","3 - Heartwood sound","11",5.1,4.1,"2PLANT-H","Y",">=10cm","3"
"2","D08","DELA","DELA_056","2016-07-05T00:00:00.000Z",5,NA,290,47.4,"QUERC","2 - Sound round","184",91.4,4.3,"QUERC","Y",">=10cm","2"
"3","D08","DELA","DELA_056","2016-07-05T00:00:00.000Z",NA,NA,50,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"4","D08","DELA","DELA_056","2016-07-05T00:00:00.000Z",5,NA,170,43,"CARYA","3 - Heartwood sound","183",14,7.8,"CARYA","Y",">=10cm","3"
"5","D08","DELA","DELA_056","2016-07-05T00:00:00.000Z",5,NA,170,37.6,"QUERC","3 - Heartwood sound","201",31,10.2,"QUERC","Y",">=10cm","3"
"6","D08","DELA","DELA_047","2016-07-11T00:00:00.000Z",5,NA,130,39.8,"2PLANT-H","3 - Heartwood sound","227",45.5,8.4,"2PLANT-H","Y",">=10cm","3"
"7","D08","DELA","DELA_047","2016-07-11T00:00:00.000Z",5,NA,130,45.7,"2PLANT-H","2 - Sound round","228",49.8,10.8,"2PLANT-H","Y",">=10cm","2"
"8","D08","DELA","DELA_047","2016-07-11T00:00:00.000Z",5,NA,250,19.9,"2PLANT-H","4 - Rotten throughout","229",27.6,2.5,"2PLANT-H","Y",">=10cm","4"
"9","D08","DELA","DELA_047","2016-07-11T00:00:00.000Z",5,NA,250,41.9,"2PLANT-H","4 - Rotten throughout","230",58,6.2,"2PLANT-H","Y",">=10cm","4"
"10","D08","DELA","DELA_047","2016-07-11T00:00:00.000Z",5,NA,250,40.6,"2PLANT-H","3 - Heartwood sound","231",143.3,8,"2PLANT-H","Y",">=10cm","3"
"11","D08","DELA","DELA_047","2016-07-11T00:00:00.000Z",5,NA,250,84.3,"2PLANT-H","3 - Heartwood sound","232",150,8.7,"2PLANT-H","Y",">=10cm","3"
"12","D08","DELA","DELA_047","2016-07-11T00:00:00.000Z",NA,NA,10,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"13","D08","DELA","DELA_002","2016-07-13T00:00:00.000Z",NA,NA,330,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"14","D08","DELA","DELA_002","2016-07-13T00:00:00.000Z",5,NA,210,13.8,"2PLANT-H","4 - Rotten throughout","344",13.4,2.9,"2PLANT-H","Y",">=10cm","4"
"15","D08","DELA","DELA_002","2016-07-13T00:00:00.000Z",NA,NA,90,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"16","D08","DELA","DELA_037","2016-07-05T00:00:00.000Z",5,NA,0,41.2,"QUERC","2 - Sound round","201",107,8.1,"QUERC","Y",">=10cm","2"
"17","D08","DELA","DELA_037","2016-07-05T00:00:00.000Z",5,NA,120,47.9,"2PLANT-H","3 - Heartwood sound","202",45,16.5,"2PLANT-H","Y",">=10cm","3"
"18","D08","DELA","DELA_037","2016-07-05T00:00:00.000Z",5,NA,120,41.2,"2PLANT-H","4 - Rotten throughout","203",134,11.1,"2PLANT-H","Y",">=10cm","4"
"19","D08","DELA","DELA_037","2016-07-05T00:00:00.000Z",5,NA,240,18.3,"2PLANT-H","4 - Rotten throughout","204",7.5,5.5,"2PLANT-H","Y",">=10cm","4"
"20","D08","DELA","DELA_037","2016-07-05T00:00:00.000Z",5,NA,240,193,"QUERC","1 - Fresh fallen","205",19.4,25.6,"QUERC","Y",">=10cm","1"
"21","D08","DELA","DELA_037","2016-07-05T00:00:00.000Z",5,NA,240,173,"QUERCSPP","1 - Fresh fallen","205",19.5,25.6,"QUERCSPP","Y",">=10cm","1"
"22","D08","DELA","DELA_045","2016-07-05T00:00:00.000Z",5,NA,330,14.5,"CELA","1 - Fresh fallen","206",7.7,19.8,"CELA","Y",">=10cm","1"
"23","D08","DELA","DELA_045","2016-07-05T00:00:00.000Z",5,NA,330,15.9,"QUERC","1 - Fresh fallen","207",9.6,7.3,"QUERC","Y",">=10cm","1"
"24","D08","DELA","DELA_045","2016-07-05T00:00:00.000Z",5,NA,330,37.2,"QUERC","3 - Heartwood sound","208",81,23,"QUERC","Y",">=10cm","3"
"25","D08","DELA","DELA_045","2016-07-05T00:00:00.000Z",5,NA,90,51,"FRPE","3 - Heartwood sound","209",9.6,10,"FRPE","Y",">=10cm","3"
"26","D08","DELA","DELA_045","2016-07-05T00:00:00.000Z",5,NA,90,19.9,"2PLANT-H","4 - Rotten throughout","210",33.6,3.6,"2PLANT-H","Y",">=10cm","4"
"27","D08","DELA","DELA_045","2016-07-05T00:00:00.000Z",5,NA,210,28.2,"2PLANT-H","4 - Rotten throughout","173",19.4,2.4,"2PLANT-H","Y",">=10cm","4"
"28","D08","DELA","DELA_045","2016-07-05T00:00:00.000Z",5,NA,210,23.3,"2PLANT-H","4 - Rotten throughout","172",52.1,3.6,"2PLANT-H","Y",">=10cm","4"
"29","D08","DELA","DELA_045","2016-07-05T00:00:00.000Z",5,NA,210,45.4,"2PLANT-H","4 - Rotten throughout","171",87.5,5.6,"2PLANT-H","Y",">=10cm","4"
"30","D08","DELA","DELA_045","2016-07-05T00:00:00.000Z",5,NA,210,42.1,"CARYASPP","4 - Rotten throughout","182",106.2,10.2,"CARYASPP","Y",">=10cm","4"
"31","D08","DELA","DELA_009","2016-07-13T00:00:00.000Z",NA,NA,160,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"32","D08","DELA","DELA_009","2016-07-13T00:00:00.000Z",5,NA,40,41.2,"2PLANT-H","3 - Heartwood sound","343",27.2,9.1,"2PLANT-H","Y",">=10cm","3"
"33","D08","DELA","DELA_009","2016-07-13T00:00:00.000Z",5,NA,40,12.2,"2PLANT-H","2 - Sound round","342",8.2,3.6,"2PLANT-H","Y",">=10cm","2"
"34","D08","DELA","DELA_009","2016-07-13T00:00:00.000Z",5,NA,40,13.8,"2PLANT-H","4 - Rotten throughout","341",0.3,2.5,"2PLANT-H","Y",">=10cm","4"
"35","D08","DELA","DELA_009","2016-07-13T00:00:00.000Z",5,NA,280,27.1,"2PLANT-H","3 - Heartwood sound","340",20.5,19.7,"2PLANT-H","Y",">=10cm","3"
"36","D08","DELA","DELA_015","2016-07-08T00:00:00.000Z",5,NA,300,19.1,"2PLANT-H","3 - Heartwood sound","224",24,5.5,"2PLANT-H","Y",">=10cm","3"
"37","D08","DELA","DELA_015","2016-07-08T00:00:00.000Z",5,NA,60,38.8,"2PLANT-H","2 - Sound round","225",92.4,1.7,"2PLANT-H","Y",">=10cm","2"
"38","D08","DELA","DELA_015","2016-07-08T00:00:00.000Z",NA,NA,180,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"39","D08","DELA","DELA_012","2016-07-07T00:00:00.000Z",NA,NA,280,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"40","D08","DELA","DELA_012","2016-07-07T00:00:00.000Z",NA,NA,40,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"41","D08","DELA","DELA_012","2016-07-07T00:00:00.000Z",5,NA,160,35.2,"LIST2","1 - Fresh fallen","320",26.4,12.4,"LIST2","Y",">=10cm","1"
"42","D08","DELA","DELA_019","2016-07-07T00:00:00.000Z",NA,NA,230,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"43","D08","DELA","DELA_019","2016-07-07T00:00:00.000Z",5,NA,350,27.4,"QULY","1 - Fresh fallen","158",36.3,19,"QULY","Y",">=10cm","1"
