domainid,siteid,plotid,subplotid,pointid,stemazimuth,stemdistance,taxonid,individualid,growthform,stemdiameter,templateSize,springLength,
D10/13,RMNP,RMNP_045,21,21,32.4,15.8,PICOL2,NEON.PLA.D10.RMNP.03009,sbt,52.2,lg,long_0.31,1
D10/13,RMNP,RMNP_044,39,41,325.1,11.2,PIEN,NEON.PLA.D10.RMNP.02898,sbt,50.7,lg,long_0.31,2
D10/13,RMNP,RMNP_049,41,41,63.5,11.5,PIPOS,NEON.PLA.D10.RMNP.02712,sbt,49.6,md,long_0.26,3
D10/13,RMNP,RMNP_045,21,41,200.1,9.3,PICOL2,NEON.PLA.D10.RMNP.03045,sbt,48.9,md,long_0.26,4
D10/13,RMNP,RMNP_045,21,21,39.3,9.9,PICOL2,NEON.PLA.D10.RMNP.03003,sbt,47.8,md,long_0.26,5
D10/13,RMNP,RMNP_041,21,21,85.2,10.1,PICOL2,NEON.PLA.D10.RMNP.02404,sbt,47.7,md,long_0.26,6
D10/13,RMNP,RMNP_046,21,41,222.3,23.3,PICOL2,NEON.PLA.D10.RMNP.02672,sbt,47,md,long_0.26,7
D10/13,RMNP,RMNP_043,23,25,316.6,12.6,PICOL2,NEON.PLA.D10.RMNP.02315,sbt,45.9,md,long_0.26,8
D10/13,RMNP,RMNP_041,21,41,199.8,9.5,PICOL2,NEON.PLA.D10.RMNP.02406,sbt,44.5,md,long_0.26,9
D10/13,RMNP,RMNP_044,39,41,296.3,17.3,PICOL2,NEON.PLA.D10.RMNP.02892,sbt,44.1,md,long_0.26,10
D10/13,RMNP,RMNP_041,21,41,206,14.1,PICOL2,NEON.PLA.D10.RMNP.02405,sbt,43.2,md,long_0.26,11
D10/13,RMNP,RMNP_041,21,41,236.1,10.8,PICOL2,NEON.PLA.D10.RMNP.02409,sbt,42.6,md,long_0.26,12
D10/13,RMNP,RMNP_044,23,41,175.2,3,PICOL2,NEON.PLA.D10.RMNP.02886,sbt,41.5,md,long_0.26,13
D10/13,RMNP,RMNP_042,21,21,43.8,22,PICOL2,NEON.PLA.D10.RMNP.02179,sbt,41.3,md,long_0.26,14
D10/13,RMNP,RMNP_045,23,41,114.9,22,PICOL2,NEON.PLA.D10.RMNP.02806,sbt,40.7,md,long_0.26,15
D10/13,RMNP,RMNP_044,39,41,348.7,10,PIEN,NEON.PLA.D10.RMNP.02900,sbt,40.6,md,long_0.26,16
D10/13,RMNP,RMNP_041,23,25,278.2,17.6,PICOL2,NEON.PLA.D10.RMNP.02496,sbt,40.1,md,long_0.26,17
D10/13,RMNP,RMNP_046,21,41,269.3,13.2,PICOL2,NEON.PLA.D10.RMNP.02674,sbt,40.1,md,long_0.26,18
D10/13,RMNP,RMNP_047,23,41,134.1,23,PIPOS,NEON.PLA.D10.RMNP.02823,sbt,39.8,md,long_0.26,19
D10/13,RMNP,RMNP_046,21,41,183.6,9.8,POTR5,NEON.PLA.D10.RMNP.02653,sbt,39.5,md,long_0.26,20
D10/13,RMNP,RMNP_044,23,25,304.3,14.9,PICOL2,NEON.PLA.D10.RMNP.02870,sbt,39.5,md,long_0.26,21
D10/13,RMNP,RMNP_041,23,25,311.8,26.1,PICOL2,NEON.PLA.D10.RMNP.02504,sbt,39.4,md,long_0.26,22
D10/13,RMNP,RMNP_043,23,25,337,5.5,PICOL2,NEON.PLA.D10.RMNP.02317,sbt,39,md,long_0.26,23
D10/13,RMNP,RMNP_045,23,41,125.3,24.6,PICOL2,NEON.PLA.D10.RMNP.02808,sbt,38.9,md,long_0.26,24
D10/13,RMNP,RMNP_041,23,25,287.9,8,PICOL2,NEON.PLA.D10.RMNP.02487,sbt,38.1,md,long_0.26,25
D10/13,RMNP,RMNP_043,23,25,319.5,5.7,PICOL2,NEON.PLA.D10.RMNP.02316,sbt,37.6,md,long_0.26,26
D10/13,RMNP,RMNP_043,23,25,314.8,23,PICOL2,NEON.PLA.D10.RMNP.02312,sbt,37.4,md,long_0.26,27
D10/13,RMNP,RMNP_043,23,25,277.7,14.2,PICOL2,NEON.PLA.D10.RMNP.02307,sbt,37.1,md,long_0.26,28
D10/13,RMNP,RMNP_043,23,25,272.9,2.6,PICOL2,NEON.PLA.D10.RMNP.02305,sbt,37,md,long_0.26,29
D10/13,RMNP,RMNP_043,23,25,269.9,18.5,PICOL2,NEON.PLA.D10.RMNP.02309,sbt,35.7,md,long_0.26,30
D10/13,RMNP,RMNP_041,23,25,317.2,22.2,PICOL2,NEON.PLA.D10.RMNP.02502,sbt,35.6,md,long_0.26,31
D10/13,RMNP,RMNP_044,23,25,300.9,8.5,ABLAL,NEON.PLA.D10.RMNP.02867,sbt,35.5,md,long_0.26,32
D10/13,RMNP,RMNP_041,21,41,243.1,10.9,PICOL2,NEON.PLA.D10.RMNP.02410,sbt,35.2,md,long_0.26,33
D10/13,RMNP,RMNP_043,23,41,92,6.7,PICOL2,NEON.PLA.D10.RMNP.02320,sbt,35,md,long_0.26,34
D10/13,RMNP,RMNP_044,23,25,276.5,12,PICOL2,NEON.PLA.D10.RMNP.02868,sbt,35,md,long_0.26,35
D10/13,RMNP,RMNP_041,21,31,302.5,8.2,PICOL2,NEON.PLA.D10.RMNP.02426,sbt,34.8,md,long_0.26,36
D10/13,RMNP,RMNP_043,21,21,78.7,14.7,PICOL2,NEON.PLA.D10.RMNP.02121,sbt,34.6,md,long_0.26,37
D10/13,RMNP,RMNP_041,21,31,324.2,8.3,PICOL2,NEON.PLA.D10.RMNP.02423,sbt,34.5,md,long_0.26,38
D10/13,RMNP,RMNP_041,21,31,60.7,7.7,PICOL2,NEON.PLA.D10.RMNP.02413,sbt,34.3,md,long_0.26,39
D10/13,RMNP,RMNP_043,23,25,305.7,13,PICOL2,NEON.PLA.D10.RMNP.02310,sbt,34.1,md,long_0.26,40
D10/13,RMNP,RMNP_042,39,39,82.5,8.3,PICOL2,NEON.PLA.D10.RMNP.02190,sbt,33.8,md,long_0.26,41
D10/13,RMNP,RMNP_043,21,31,37,12,PICOL2,NEON.PLA.D10.RMNP.02132,sbt,33.7,md,long_0.26,42
D10/13,RMNP,RMNP_043,21,21,57.6,10.5,PICOL2,NEON.PLA.D10.RMNP.02120,sbt,33.6,md,long_0.26,43
D10/13,RMNP,RMNP_043,21,25,298.5,24,PICOL2,NEON.PLA.D10.RMNP.02311,sbt,33.6,md,long_0.26,44
D10/13,RMNP,RMNP_043,21,41,186,5.7,PICOL2,NEON.PLA.D10.RMNP.02311,sbt,33.6,md,long_0.26,45
D10/13,RMNP,RMNP_045,21,21,43.1,10.5,PICOL2,NEON.PLA.D10.RMNP.03004,sbt,33.6,md,long_0.26,46
D10/13,RMNP,RMNP_043,23,25,315.3,16.3,PICOL2,NEON.PLA.D10.RMNP.02313,sbt,33.3,md,long_0.26,47
D10/13,RMNP,RMNP_043,21,21,81.9,7.6,PICOL2,NEON.PLA.D10.RMNP.02116,sbt,33,md,long_0.26,48
D10/13,RMNP,RMNP_041,21,31,27.8,7.9,PICOL2,NEON.PLA.D10.RMNP.02417,sbt,32.7,md,long_0.26,49
D10/13,RMNP,RMNP_041,21,41,255.2,13.9,PICOL2,NEON.PLA.D10.RMNP.02422,sbt,32.7,md,long_0.26,50
D10/13,RMNP,RMNP_045,21,21,54.2,6.4,PICOL2,NEON.PLA.D10.RMNP.02256,sbt,32,md,long_0.26,51
D10/13,RMNP,RMNP_043,23,25,267,13,PICOL2,NEON.PLA.D10.RMNP.02306,sbt,31.1,md,long_0.26,52
D10/13,RMNP,RMNP_041,23,25,273.5,4.3,PICOL2,NEON.PLA.D10.RMNP.02481,mbt,31,md,long_0.26,53
D10/13,RMNP,RMNP_043,21,21,62.7,15.3,PICOL2,NEON.PLA.D10.RMNP.02123,sbt,30.8,md,long_0.26,54
D10/13,RMNP,RMNP_042,21,21,89.8,9.6,PICOL2,NEON.PLA.D10.RMNP.02169,sbt,30.7,md,long_0.26,55
D10/13,RMNP,RMNP_045,21,21,44.8,6.6,PICOL2,NEON.PLA.D10.RMNP.02255,sbt,30.7,md,long_0.26,56
D10/13,RMNP,RMNP_041,21,31,26.6,8.6,PICOL2,NEON.PLA.D10.RMNP.02418,sbt,30.5,md,long_0.26,57
D10/13,RMNP,RMNP_041,23,25,306.3,20,PICOL2,NEON.PLA.D10.RMNP.02505,sbt,30.5,md,long_0.26,58
D10/13,RMNP,RMNP_041,23,25,301.1,16,PICOL2,NEON.PLA.D10.RMNP.02500,sbt,30.4,md,long_0.26,59
D10/13,RMNP,RMNP_041,21,31,10.8,9.6,PICOL2,NEON.PLA.D10.RMNP.02419,sbt,30.3,md,long_0.26,60
D10/13,RMNP,RMNP_045,21,21,40.3,5.9,PICOL2,NEON.PLA.D10.RMNP.02253,sbt,30.2,md,long_0.26,61
D10/13,RMNP,RMNP_043,23,25,343.5,7.2,PICOL2,NEON.PLA.D10.RMNP.02318,sbt,30,md,long_0.26,62
D10/13,RMNP,RMNP_042,21,21,25.2,20.1,PICOL2,NEON.PLA.D10.RMNP.02182,sbt,29.9,md,long_0.26,63
D10/13,RMNP,RMNP_045,21,21,71.6,20.1,PICOL2,NEON.PLA.D10.RMNP.03022,sbt,29.8,md,long_0.26,64
D10/13,RMNP,RMNP_041,23,33,115.5,10,PICOL2,NEON.PLA.D10.RMNP.02508,sbt,29.7,md,long_0.26,65
D10/13,RMNP,RMNP_041,21,31,43.9,9.9,PICOL2,NEON.PLA.D10.RMNP.02414,sbt,29.5,md,long_0.26,66
D10/13,RMNP,RMNP_043,21,21,87.4,4.3,PICOL2,NEON.PLA.D10.RMNP.02115,sbt,29.4,md,long_0.26,67
D10/13,RMNP,RMNP_045,23,41,110.2,4.9,POTR5,NEON.PLA.D10.RMNP.02993,sbt,29,md,long_0.26,68
D10/13,RMNP,RMNP_042,39,39,58.1,18,PICOL2,NEON.PLA.D10.RMNP.02332,sbt,28.9,md,long_0.26,69
