"domainid","siteid","plotid","subplotid","pointid","stemazimuth","stemdistance","taxonid","individualid","growthform","stemdiameter","templateSize","springLength"
"D17","SJER","SJER_045",39,NA,NA,NA,"PISA2","NEON.PLA.D17.SJER.00134","sbt",38,"md","long_0.26"
"D17","SJER","SJER_046",39,NA,NA,NA,"QUDO","NEON.PLA.D17.SJER.00239","sbt",60.9,"lg","long_0.31"
"D17","SJER","SJER_046",39,NA,NA,NA,"QUDO","NEON.PLA.D17.SJER.00238","sbt",47.7,"md","long_0.26"
"D17","SJER","SJER_047",21,NA,NA,NA,"PISA2","NEON.PLA.D17.SJER.00289","sbt",47.7,"md","long_0.26"
"D17","SJER","SJER_047",21,NA,NA,NA,"QUDO","NEON.PLA.D17.SJER.00290","sbt",34.1,"md","long_0.26"
"D17","SJER","SJER_047",39,NA,NA,NA,"PISA2","NEON.PLA.D17.SJER.00155","sbt",65.4,"lg","long_0.31"
"D17","SJER","SJER_049",23,NA,NA,NA,"PISA2","NEON.PLA.D17.SJER.00233","sbt",48.6,"md","long_0.26"
"D17","SJER","SJER_049",23,NA,NA,NA,"QUWI2","NEON.PLA.D17.SJER.00232","mbt",47.6,"md","long_0.26"
"D17","SJER","SJER_049",23,NA,NA,NA,"PISA2","NEON.PLA.D17.SJER.00234","sbt",46.5,"md","long_0.26"
"D17","SJER","SJER_050",21,NA,NA,NA,"QUDO","NEON.PLA.D17.SJER.00246","sbt",58.1,"lg","long_0.31"
"D17","SJER","SJER_050",39,57,166.7,13.2,"PISA2","NEON.PLA.D17.SJER.00255","sbt",50.7,"lg","long_0.31"
"D17","SJER","SJER_050",39,NA,NA,NA,"QUDO","NEON.PLA.D17.SJER.00256","sbt",46.2,"md","long_0.26"
"D17","SJER","SJER_051",41,NA,NA,NA,"PISA2","NEON.PLA.D17.SJER.00272","sbt",63.9,"lg","long_0.31"
"D17","SJER","SJER_059",21,23,327.9,14.6,"PISA2","NEON.PLA.D17.SJER.04115","sbt",60.8,"lg","long_0.31"
