"siteID","taxonID","decayClass","sizeCategory","relativeAbundance","cumulativeAbundance","sampledDiskNum","cumulativeDiskNum"
"YELL","PSME",2,">=10cm",31.18,31.18,10,10
"YELL","PSME",3,">=10cm",21.77,52.95,10,20
"YELL","PICO",2,">=10cm",11.56,64.51,10,30
"YELL","PSME",4,">=10cm",8.06,72.57,10,40
"YELL","PICO",3,">=10cm",7.53,80.1,10,50
"YELL","POTR5",2,">=10cm",4.57,84.67,10,60
"YELL","PICO",4,">=10cm",2.96,87.63,10,70
"YELL","PINACE",4,">=10cm",1.61,89.24,10,80
"YELL","PSME",5,">=10cm",1.34,90.58,10,90
"YELL","PSME",2,"2-5cm",1.34,91.92,5,95
"YELL","PSME",2,"5-10cm",1.08,93,5,100
"YELL","PINACE",2,"2-5cm",0.81,93.81,5,105
"YELL","PSME",1,">=10cm",0.54,94.35,10,115
"YELL","POTR5",4,">=10cm",0.54,94.89,10,125
"YELL","PICO",2,"5-10cm",0.54,95.43,5,130
"YELL","PINACE",3,"2-5cm",0.54,95.97,5,135
"YELL","PICO",1,">=10cm",0.27,96.24,10,145
"YELL","2PLANT-S",2,">=10cm",0.27,96.51,10,155
"YELL","PINACE",3,">=10cm",0.27,96.78,10,165
"YELL","POTR5",3,">=10cm",0.27,97.05,10,175
"YELL","PINACE",5,">=10cm",0.27,97.32,10,185
"YELL","PSME",1,"5-10cm",0.27,97.59,5,190
"YELL","2PLANT-S",2,"5-10cm",0.27,97.86,5,195
"YELL","PINACE",2,"5-10cm",0.27,98.13,5,200
"YELL","POTR5",2,"5-10cm",0.27,98.4,5,205
"YELL","PINACE",3,"5-10cm",0.27,98.67,5,210
"YELL","POTR5",3,"5-10cm",0.27,98.94,5,215
"YELL","PSME",3,"5-10cm",0.27,99.21,5,220
"YELL","PSME",4,"5-10cm",0.27,99.48,5,225
"YELL","PICO",2,"2-5cm",0.27,99.75,5,230
"YELL","POTR5",2,"2-5cm",0.27,100.02,5,235
