"","domainID","siteID","plotID","date","eventID","volumeFactor","samplingProtocolVersion","lidsAzimuth","targetTaxaPresent","logDistance","logMaxDiameter","logMinorDiameter","logID","logLength","taxonID","scientificName","decayClass","plotType","diameterClass","decayClassNum"
"1","D12","YELL","YELL_023",2019-09-30,"CDW.2019.YELL",5,"NEON.DOC.001711vF",80,"Y",70.2,43.5,NA,"02301",22.1,"PSME","Pseudotsuga menziesii (Mirb.) Franco","3 - Heartwood sound","distributed",">=10cm","3"
"2","D12","YELL","YELL_021",2019-09-23,"CDW.2019.YELL",5,"NEON.DOC.001711vF",330,"Y",3.1,8.1,NA,"L06",5.2,"2PLANT-S","Unknown Softwood","4 - Rotten throughout","distributed","5-10cm","4"
"3","D12","YELL","YELL_022",2019-09-24,"CDW.2019.YELL",5,"NEON.DOC.001711vF",110,"Y",22.45,19.9,NA,"02360",3.5,"2PLANT-S","Unknown Softwood","4 - Rotten throughout","distributed",">=10cm","4"
"4","D12","YELL","YELL_009",2019-09-25,"CDW.2019.YELL",5,"NEON.DOC.001711vF",20,"Y",1.4,14.8,NA,"02348",5.45,"PSME","Pseudotsuga menziesii (Mirb.) Franco","3 - Heartwood sound","distributed",">=10cm","3"
"5","D12","YELL","YELL_021",2019-09-23,"CDW.2019.YELL",5,"NEON.DOC.001711vF",330,"Y",3,6.9,NA,"L05",3.4,"2PLANT-S","Unknown Softwood","4 - Rotten throughout","distributed","5-10cm","4"
"6","D12","YELL","YELL_012",2019-09-24,"CDW.2019.YELL",5,"NEON.DOC.001711vF",260,"Y",28.9,24.2,NA,"02366",9.4,"PSME","Pseudotsuga menziesii (Mirb.) Franco","4 - Rotten throughout","distributed",">=10cm","4"
"7","D12","YELL","YELL_009",2019-09-25,"CDW.2019.YELL",5,"NEON.DOC.001711vF",20,"Y",31,19.8,NA,"02341",8.65,"PSME","Pseudotsuga menziesii (Mirb.) Franco","4 - Rotten throughout","distributed",">=10cm","4"
"8","D12","YELL","YELL_007",2019-09-23,"CDW.2019.YELL",5,"NEON.DOC.001711vF",280,"Y",21.7,29.8,NA,"02374",6.4,"2PLANT-S","Unknown Softwood","3 - Heartwood sound","distributed",">=10cm","3"
"9","D12","YELL","YELL_006",2019-10-01,"CDW.2019.YELL",5,"NEON.DOC.001711vF",120,"Y",17.9,33.1,NA,"02078",16.8,"PSME","Pseudotsuga menziesii (Mirb.) Franco","4 - Rotten throughout","distributed",">=10cm","4"
"10","D12","YELL","YELL_005",2019-09-18,"CDW.2019.YELL",5,"NEON.DOC.001711vF",110,"Y",28.6,21.8,NA,"02400",8.2,"2PLANT-S","Unknown Softwood","3 - Heartwood sound","distributed",">=10cm","3"
