"siteid","eventid","date","plotid","plottype","plotsize","tagid","taxonid","growthform","stemdiameter","basalstemdiameter","plantstatus"
"MLBS","vst_MLBS_2017","2017-10-12T00:00:00.000Z","MLBS_068","tower","1600","01134","KALA","sis",3.8,5,"1"
"MLBS","vst_MLBS_2017","2017-10-12T00:00:00.000Z","MLBS_068","tower","1600","01133","QUCO2","sbt",31.3,NA,"1"
"MLBS","vst_MLBS_2017","2017-10-12T00:00:00.000Z","MLBS_068","tower","1600","01135","ACPE","smt",5,NA,"1"
"MLBS","vst_MLBS_2017","2017-10-12T00:00:00.000Z","MLBS_068","tower","1600","01172","ACRU","sbt",38.3,NA,"1"
"MLBS","vst_MLBS_2017","2017-10-12T00:00:00.000Z","MLBS_068","tower","1600","01138","ACPE","smt",5.6,NA,"1"
"MLBS","vst_MLBS_2017","2017-10-12T00:00:00.000Z","MLBS_068","tower","1600","01137","QUAL","sbt",15.2,NA,"10"
"MLBS","vst_MLBS_2017","2017-10-12T00:00:00.000Z","MLBS_068","tower","1600","01140","KALA","sis",2.8,3.7,"1"
"MLBS","vst_MLBS_2017","2017-10-12T00:00:00.000Z","MLBS_068","tower","1600","01139","AMLA","sbt",30.3,NA,"1"
"MLBS","vst_MLBS_2017","2017-10-12T00:00:00.000Z","MLBS_068","tower","1600","01132","NYSY","smt",6.9,NA,"1"
"MLBS","vst_MLBS_2017","2017-10-12T00:00:00.000Z","MLBS_068","tower","1600","01158","ILMO","smt",7.4,NA,"1"
"MLBS","vst_MLBS_2017","2017-10-12T00:00:00.000Z","MLBS_068","tower","1600","01160","ACRU","mbt",21.6,NA,"1"
"MLBS","vst_MLBS_2017","2017-10-12T00:00:00.000Z","MLBS_068","tower","1600","01160A","ACRU","mbt",13.2,NA,"9"
"MLBS","vst_MLBS_2017","2017-10-12T00:00:00.000Z","MLBS_068","tower","1600","01162","ACPE","smt",5.2,NA,"1"
"MLBS","vst_MLBS_2017","2017-10-12T00:00:00.000Z","MLBS_068","tower","1600","01156","AMLA","mbt",28.9,NA,"1"
"MLBS","vst_MLBS_2017","2017-10-12T00:00:00.000Z","MLBS_068","tower","1600","01156A","AMLA","mbt",27.9,NA,"1"
"MLBS","vst_MLBS_2017","2017-10-12T00:00:00.000Z","MLBS_068","tower","1600","01157","NYSY","smt",6.1,NA,"1"
"MLBS","vst_MLBS_2017","2017-10-12T00:00:00.000Z","MLBS_068","tower","1600","01161","NYSY","smt",6.5,NA,"2"
"MLBS","vst_MLBS_2017","2017-10-12T00:00:00.000Z","MLBS_068","tower","1600","01162","ACPE","smt",5.3,NA,"1"
"MLBS","vst_MLBS_2017","2017-10-12T00:00:00.000Z","MLBS_068","tower","1600","01164","KALA","sis",2.9,3.6,"2"
"MLBS","vst_MLBS_2017","2017-10-12T00:00:00.000Z","MLBS_068","tower","1600","01159","NYSY","smt",8.9,NA,"5"
"MLBS","vst_MLBS_2017","2017-10-12T00:00:00.000Z","MLBS_068","tower","1600","01165","QUCO2","sbt",47.8,NA,"1"
"MLBS","vst_MLBS_2017","2017-10-12T00:00:00.000Z","MLBS_068","tower","1600","01167","QURU","sbt",24.1,NA,"1"
"MLBS","vst_MLBS_2017","2017-10-12T00:00:00.000Z","MLBS_068","tower","1600","01178","AMLA","smt",7.7,NA,"10"
"MLBS","vst_MLBS_2017","2017-10-12T00:00:00.000Z","MLBS_068","tower","1600","01179","AMLA","sbt",12,NA,"10"
"MLBS","vst_MLBS_2017","2017-10-12T00:00:00.000Z","MLBS_068","tower","1600","01177","KALA","sis",3.6,4.4,"1"
