"siteid","eventid","date","plotid","plottype","plotsize","tagid","taxonid","growthform","stemdiameter","basalstemdiameter","plantstatus"
"PUUM","vst_PUUM_2018","2018-04-24T00:00:00.000Z","PUUM_036","tower","1600","00395","ACKO","sbt",113.2,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-24T00:00:00.000Z","PUUM_036","tower","1600","00396","CIGL","sbt",31.3,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-24T00:00:00.000Z","PUUM_036","tower","1600","00397","CIGL","mbt",27.8,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-24T00:00:00.000Z","PUUM_036","tower","1600","00397A","CIGL","mbt",28.2,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-24T00:00:00.000Z","PUUM_036","tower","1600","00398","CIGL","sbt",31,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-24T00:00:00.000Z","PUUM_036","tower","1600","00399","CIGL","sbt",26.7,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-24T00:00:00.000Z","PUUM_036","tower","1600","00400","MEPO5","sbt",14.8,NA,"1"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00604","ILAN","mbt",12.1,NA,"1"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00601","CIGL","sbt",26.7,NA,"2"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00602","MEPO5","sbt",41.1,NA,"6"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00603","MEPO5","sbt",38.3,NA,"1"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00604a","ILAN","mbt",10.1,NA,"1"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00604b","ILAN","mbt",5.8,NA,"1"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00605","ILAN","sbt",23.3,NA,"1"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00606","CIGL","sbt",31.7,NA,"1"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00607","MYLE2","sbt",10.5,NA,"1"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00608","MEPO5","sbt",25.1,NA,"1"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00609","MYLE2","sbt",12.7,NA,"1"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00610","ILAN","mbt",12.5,NA,"1"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00610a","ILAN","mbt",12,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-24T00:00:00.000Z","PUUM_048","tower","400","00433","COOC3","smt",1.8,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-24T00:00:00.000Z","PUUM_048","tower","400","00423","STTA","sis",4.5,13.3,"6"
"PUUM","vst_PUUM_2018","2018-04-24T00:00:00.000Z","PUUM_048","tower","400","00423","STTA","sis",2.4,3.5,"6"
"PUUM","vst_PUUM_2018","2018-04-24T00:00:00.000Z","PUUM_048","tower","400","00434","MEPO5","mbt",12.9,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-24T00:00:00.000Z","PUUM_048","tower","400","00434a","MEPO5","mbt",9.7,NA,"2"
"PUUM","vst_PUUM_2018","2018-04-24T00:00:00.000Z","PUUM_048","tower","400","00432","COPRO","smt",3.3,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-24T00:00:00.000Z","PUUM_048","tower","400","00437","STTA","sis",3.4,4.8,"1"
"PUUM","vst_PUUM_2018","2018-04-24T00:00:00.000Z","PUUM_048","tower","400","00437","STTA","sis",1.4,3.2,"1"
"PUUM","vst_PUUM_2018","2018-04-24T00:00:00.000Z","PUUM_048","tower","400","00437","STTA","sis",1.1,3.1,"1"
"PUUM","vst_PUUM_2018","2018-04-24T00:00:00.000Z","PUUM_048","tower","400","00440","ILAN","smt",4.3,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-24T00:00:00.000Z","PUUM_048","tower","400","00441","MEPO5","sbt",18.4,NA,"1"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00540","MEPO5","sbt",54.5,NA,"1"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00541","MEPO5","sbt",46.5,NA,"6"
