"D_m","F=5","F=8","F=10","F=15","F=20"
0.5,2.5,3.1,3.5,4.3,4.9
1,3.5,4.4,4.9,6,7
2,4.9,6.2,7,8.5,9.9
4,7,8.8,9.9,12.1,13.9
6,8.5,10.8,12.1,14.8,17.1
8,9.9,12.5,13.9,17.1,19.7
10,11,13.9,15.6,19.1,22.1
15,13.5,17.1,19.1,23.4,27
20,15.6,19.7,22.1,27,31.2
25,17.4,22.1,24.7,30.2,34.9
30,19.1,24.2,27,33.1,38.2
35,20.6,26.1,29.2,35.7,41.3
40,22.1,27.9,31.2,38.2,44.1
45,23.4,29.6,33.1,40.5,46.8
50,24.7,31.2,34.9,42.7,49.3
60,27,34.2,38.2,46.8,54
70,29.2,36.9,41.3,50.5,58.3
80,31.2,39.4,44.1,54,62.4
90,33.1,41.8,46.8,57.3,66.2
100,34.9,44.1,49.3,60.4,69.7
110,36.6,46.3,51.7,63.3,73.1
120,38.2,48.3,54,66.2,76.4
130,39.8,50.3,56.2,68.9,79.5
140,41.3,52.2,58.3,71.5,82.5
150,42.7,54,60.4,74,85.4
160,44.1,55.8,62.4,76.4,88.2
170,45.5,57.5,64.3,78.7,90.9
180,46.8,59.2,66.2,81,93.6
190,48.1,60.8,68,83.2,96.1
200,49.3,62.4,69.7,85.4,98.6
210,50.5,63.9,71.5,87.5,101.1
220,51.7,65.4,73.1,89.6,103.4
230,52.9,66.9,74.8,91.6,105.8
240,54,68.3,76.4,93.6,108
250,55.1,69.7,78,95.5,110.3
260,56.2,71.1,79.5,97.4,112.4
270,57.3,72.5,81,99.2,114.6
280,58.3,73.8,82.5,101.1,116.7
290,59.4,75.1,84,102.8,118.8
300,60.4,76.4,85.4,104.6,120.8
