"D_m","F=3","F=5","F=8","F=10","F=15","F=20"
0.5,1.9,2.5,3.1,3.5,4.3,4.9
1,2.7,3.5,4.4,4.9,6,7
2,3.8,4.9,6.2,7,8.5,9.9
4,5.4,7,8.8,9.9,12.1,13.9
6,6.6,8.5,10.8,12.1,14.8,17.1
8,7.6,9.9,12.5,13.9,17.1,19.7
10,8.5,11,13.9,15.6,19.1,22.1
15,10.5,13.5,17.1,19.1,23.4,27
20,12.1,15.6,19.7,22.1,27,31.2
25,13.5,17.4,22.1,24.7,30.2,34.9
30,14.8,19.1,24.2,27,33.1,38.2
35,16,20.6,26.1,29.2,35.7,41.3
40,17.1,22.1,27.9,31.2,38.2,44.1
45,18.1,23.4,29.6,33.1,40.5,46.8
50,19.1,24.7,31.2,34.9,42.7,49.3
60,20.9,27,34.2,38.2,46.8,54
70,22.6,29.2,36.9,41.3,50.5,58.3
80,24.2,31.2,39.4,44.1,54,62.4
90,25.6,33.1,41.8,46.8,57.3,66.2
100,27,34.9,44.1,49.3,60.4,69.7
