"RDa","RDb","RDab","rdEquiv"
1,2,"1, 2",2.2
1,3,"1, 3",3.2
1,4,"1, 4",4.1
1,5,"1, 5",5.1
1,6,"1, 6",6.1
1,7,"1, 7",7.1
1,8,"1, 8",8.1
1,9,"1, 9",9.1
1,10,"1, 10",10
1,12,"1, 12",12
1,14,"1, 14",14
1,16,"1, 16",16
1,18,"1, 18",18
1,20,"1, 20",20
1,22,"1, 22",22
1,24,"1, 24",24
1,26,"1, 26",26
1,28,"1, 28",28
1,30,"1, 30",30
1,32,"1, 32",32
1,34,"1, 34",34
1,36,"1, 36",36
1,38,"1, 38",38
1,40,"1, 40",40
1,42,"1, 42",42
1,44,"1, 44",44
2,3,"2, 3",3.6
2,4,"2, 4",4.5
2,5,"2, 5",5.4
2,6,"2, 6",6.3
2,7,"2, 7",7.3
2,8,"2, 8",8.2
2,9,"2, 9",9.2
2,10,"2, 10",10.2
2,12,"2, 12",12.2
2,14,"2, 14",14.1
2,16,"2, 16",16.1
2,18,"2, 18",18.1
2,20,"2, 20",20.1
2,22,"2, 22",22.1
2,24,"2, 24",24.1
2,26,"2, 26",26.1
2,28,"2, 28",28.1
2,30,"2, 30",30.1
2,32,"2, 32",32.1
2,34,"2, 34",34.1
2,36,"2, 36",36.1
2,38,"2, 38",38.1
2,40,"2, 40",40
2,42,"2, 42",42
2,44,"2, 44",44
3,4,"3, 4",5
3,5,"3, 5",5.8
3,6,"3, 6",6.7
3,7,"3, 7",7.6
3,8,"3, 8",8.5
3,9,"3, 9",9.5
3,10,"3, 10",10.4
3,12,"3, 12",12.4
3,14,"3, 14",14.3
3,16,"3, 16",16.3
3,18,"3, 18",18.2
3,20,"3, 20",20.2
3,22,"3, 22",22.2
3,24,"3, 24",24.2
3,26,"3, 26",26.2
3,28,"3, 28",28.2
3,30,"3, 30",30.1
3,32,"3, 32",32.1
3,34,"3, 34",34.1
3,36,"3, 36",36.1
3,38,"3, 38",38.1
3,40,"3, 40",40.1
3,42,"3, 42",42.1
3,44,"3, 44",44.1
4,5,"4, 5",6.4
4,6,"4, 6",7.2
4,7,"4, 7",8.1
4,8,"4, 8",8.9
4,9,"4, 9",9.8
4,10,"4, 10",10.8
4,12,"4, 12",12.6
4,14,"4, 14",14.6
4,16,"4, 16",16.5
4,18,"4, 18",18.4
4,20,"4, 20",20.4
4,22,"4, 22",22.4
4,24,"4, 24",24.3
4,26,"4, 26",26.3
4,28,"4, 28",28.3
4,30,"4, 30",30.3
4,32,"4, 32",32.2
4,34,"4, 34",34.2
4,36,"4, 36",36.2
4,38,"4, 38",38.2
4,40,"4, 40",40.2
4,42,"4, 42",42.2
4,44,"4, 44",44.2
5,6,"5, 6",7.8
5,7,"5, 7",8.6
5,8,"5, 8",9.4
5,9,"5, 9",10.3
5,10,"5, 10",11.2
5,12,"5, 12",13
5,14,"5, 14",14.9
5,16,"5, 16",16.8
5,18,"5, 18",18.7
5,20,"5, 20",20.6
5,22,"5, 22",22.6
5,24,"5, 24",24.5
5,26,"5, 26",26.5
5,28,"5, 28",28.4
5,30,"5, 30",30.4
5,32,"5, 32",32.4
5,34,"5, 34",34.4
5,36,"5, 36",36.3
5,38,"5, 38",38.3
5,40,"5, 40",40.3
5,42,"5, 42",42.3
5,44,"5, 44",44.3
6,7,"6, 7",9.2
6,8,"6, 8",10
6,9,"6, 9",10.8
6,10,"6, 10",11.7
6,12,"6, 12",13.4
6,14,"6, 14",15.2
6,16,"6, 16",17.1
6,18,"6, 18",19
6,20,"6, 20",20.9
6,22,"6, 22",22.8
6,24,"6, 24",24.7
6,26,"6, 26",26.7
6,28,"6, 28",28.6
6,30,"6, 30",30.6
6,32,"6, 32",32.6
6,34,"6, 34",34.5
6,36,"6, 36",36.5
6,38,"6, 38",38.5
6,40,"6, 40",40.4
