"RD_cm","F=3","F=5","F=8","F=10","F=15","F=20"
2,0.55,0.33,0.21,0.16,0.11,0.08
3,1.23,0.74,0.46,0.37,0.25,0.19
4,2.19,1.32,0.82,0.66,0.44,0.33
5,3.43,2.06,1.29,1.03,0.69,0.51
6,4.93,2.96,1.85,1.48,0.99,0.74
7,6.72,4.03,2.52,2.02,1.34,1.01
8,8.77,5.26,3.29,2.63,1.75,1.32
10,13.71,8.22,5.14,4.11,2.74,2.06
12,19.74,11.84,7.4,5.92,3.95,2.96
14,26.87,16.12,10.08,8.06,5.37,4.03
16,35.09,21.06,13.16,10.53,7.02,5.26
20,54.83,32.9,20.56,16.45,10.97,8.22
25,85.67,51.4,32.13,25.7,17.13,12.85
30,123.37,74.02,46.26,37.01,24.67,18.51
35,167.92,100.75,62.97,50.38,33.58,25.19
40,219.32,131.59,82.25,65.8,43.86,32.9
50,342.69,205.62,128.51,102.81,68.54,51.4
60,493.48,296.09,185.06,148.04,98.7,74.02
70,671.68,403.01,251.88,201.5,134.34,100.75
80,877.3,526.38,328.99,263.19,175.46,131.59
90,1110.33,666.2,416.37,333.1,222.07,166.55
100,1370.78,822.47,514.04,411.23,274.16,205.62
120,1973.92,1184.35,740.22,592.18,394.78,296.09
140,2686.73,1612.04,1007.52,806.02,537.35,403.01
160,3509.19,2105.52,1315.95,1052.76,701.84,526.38
180,4441.32,2664.79,1665.5,1332.4,888.26,666.2
200,5483.11,3289.87,2056.17,1644.93,1096.62,822.47
