"siteID","eventID","date","plotID","plotType","individualID","taxonID","growthForm","stemDiameter","basalStemDiameter","plantStatus"
"YELL","vst_YELL_2019",2019-08-15,"YELL_006","distributed","NEON.PLA.D12.YELL.00104","PSME","single bole tree",31,NA,"Live"
"YELL","vst_YELL_2019",2019-08-15,"YELL_006","distributed","NEON.PLA.D12.YELL.00105","PSME","single bole tree",33,NA,"Live"
"YELL","vst_YELL_2018",2018-05-21,"YELL_006","distributed","NEON.PLA.D12.YELL.00105","PSME","single bole tree",32.5,NA,"Live"
"YELL","vst_YELL_2018",2018-05-21,"YELL_006","distributed","NEON.PLA.D12.YELL.00112","PSME","single bole tree",40.4,NA,"Live"
"YELL","vst_YELL_2018",2018-05-21,"YELL_006","distributed","NEON.PLA.D12.YELL.00113","PSME","single bole tree",12.7,NA,"Standing dead"
"YELL","vst_YELL_2018",2018-05-21,"YELL_006","distributed","NEON.PLA.D12.YELL.00111","PSME","single bole tree",28.6,NA,"Live"
"YELL","vst_YELL_2019",2019-08-15,"YELL_006","distributed","NEON.PLA.D12.YELL.00112","PSME","single bole tree",41.4,NA,"Live"
"YELL","vst_YELL_2019",2019-08-15,"YELL_006","distributed","NEON.PLA.D12.YELL.00113","PSME","single bole tree",12.6,NA,"Standing dead"
"YELL","vst_YELL_2018",2018-05-21,"YELL_006","distributed","NEON.PLA.D12.YELL.00114","PSME","single bole tree",49.1,NA,"Live"
"YELL","vst_YELL_2019",2019-08-15,"YELL_006","distributed","NEON.PLA.D12.YELL.00114","PSME","single bole tree",49.8,NA,"Live"
"YELL","vst_YELL_2018",2018-05-21,"YELL_006","distributed","NEON.PLA.D12.YELL.00109","PSME","single bole tree",14.5,NA,"Standing dead"
"YELL","vst_YELL_2018",2018-05-21,"YELL_006","distributed","NEON.PLA.D12.YELL.00106","PSME","single bole tree",64.3,NA,"Live"
"YELL","vst_YELL_2019",2019-08-15,"YELL_006","distributed","NEON.PLA.D12.YELL.00106","PSME","single bole tree",65.1,NA,"Standing dead"
"YELL","vst_YELL_2019",2019-08-15,"YELL_006","distributed","NEON.PLA.D12.YELL.00107","PSME","single bole tree",48.1,NA,"Live"
"YELL","vst_YELL_2018",2018-05-21,"YELL_006","distributed","NEON.PLA.D12.YELL.00108","PSME","single bole tree",49.1,NA,"Standing dead"
"YELL","vst_YELL_2019",2019-08-15,"YELL_006","distributed","NEON.PLA.D12.YELL.00109","PSME","single bole tree",14.7,NA,"Standing dead"
"YELL","vst_YELL_2018",2018-05-21,"YELL_006","distributed","NEON.PLA.D12.YELL.00110","PSME","single bole tree",37,NA,"Standing dead"
"YELL","vst_YELL_2019",2019-08-15,"YELL_006","distributed","NEON.PLA.D12.YELL.00110","PSME","single bole tree",37,NA,"Standing dead"
"YELL","vst_YELL_2019",2019-08-15,"YELL_006","distributed","NEON.PLA.D12.YELL.00111","PSME","single bole tree",29.7,NA,"Live"
"YELL","vst_YELL_2019",2019-08-15,"YELL_006","distributed","NEON.PLA.D12.YELL.00108","PSME","single bole tree",48.9,NA,"Dead, broken bole"
"YELL","vst_YELL_2019",2019-08-26,"YELL_007","distributed","NEON.PLA.D12.YELL.00411","PSME","single bole tree",20,NA,"Live"
"YELL","vst_YELL_2019",2019-08-26,"YELL_007","distributed","NEON.PLA.D12.YELL.00421","PSME","single bole tree",42.4,NA,"Live"
"YELL","vst_YELL_2019",2019-08-26,"YELL_007","distributed","NEON.PLA.D12.YELL.00409","PSME","multi-bole tree",30.3,NA,"Live"
"YELL","vst_YELL_2019",2019-08-26,"YELL_007","distributed","NEON.PLA.D12.YELL.00409A","PSME","multi-bole tree",16.6,NA,"Live"
"YELL","vst_YELL_2019",2019-08-26,"YELL_007","distributed","NEON.PLA.D12.YELL.00406","PSME","single bole tree",28.6,NA,"Live"
"YELL","vst_YELL_2019",2019-08-26,"YELL_007","distributed","NEON.PLA.D12.YELL.00410","PSME","single bole tree",32.7,NA,"Live"
"YELL","vst_YELL_2019",2019-08-26,"YELL_007","distributed","NEON.PLA.D12.YELL.00419","PSME","single bole tree",18.2,NA,"Live"
"YELL","vst_YELL_2019",2019-08-26,"YELL_007","distributed","NEON.PLA.D12.YELL.00408","PSME","single bole tree",25.5,NA,"Standing dead"
"YELL","vst_YELL_2019",2019-08-26,"YELL_007","distributed","NEON.PLA.D12.YELL.00407","PSME","single bole tree",35.8,NA,"Live"
"YELL","vst_YELL_2019",2019-08-26,"YELL_007","distributed","NEON.PLA.D12.YELL.00412","PSME","single bole tree",29.5,NA,"Live"
"YELL","vst_YELL_2019",2019-08-26,"YELL_007","distributed","NEON.PLA.D12.YELL.00418","PSME","single bole tree",42.2,NA,"Live"
"YELL","vst_YELL_2019",2019-08-26,"YELL_007","distributed","NEON.PLA.D12.YELL.00420","PSME","single bole tree",23.3,NA,"Live"
