SourceFile,FileName,FileSize,Model,DateTimeOriginal,ImageSize,Quality,FocalLength,ShutterSpeed,Aperture,ISO,WhiteBalance,Flash
LAJA07/LAJA_047/understory/D04_7494.NEF,D04_7494.NEF,54 MB,NIKON D800,2017:04:07 07:49:21,7424x4924,RAW,16.0 mm,1/80,8.0,100,Auto1,"Off, Did not fire"
LAJA07/LAJA_047/understory/D04_7495.NEF,D04_7495.NEF,51 MB,NIKON D800,2017:04:07 07:50:47,7424x4924,RAW,16.0 mm,1/80,8.0,100,Auto1,"Off, Did not fire"
LAJA07/LAJA_047/understory/D04_7499.NEF,D04_7499.NEF,50 MB,NIKON D800,2017:04:07 07:52:55,7424x4924,RAW,16.0 mm,1/40,8.0,100,Auto1,"Off, Did not fire"
LAJA07/LAJA_047/understory/D04_7500.NEF,D04_7500.NEF,53 MB,NIKON D800,2017:04:07 07:54:26,7424x4924,RAW,16.0 mm,1/80,8.0,100,Auto1,"Off, Did not fire"
LAJA07/LAJA_047/understory/D04_7501.NEF,D04_7501.NEF,53 MB,NIKON D800,2017:04:07 07:55:32,7424x4924,RAW,16.0 mm,1/80,8.0,100,Auto1,"Off, Did not fire"
LAJA07/LAJA_047/understory/D04_7502.NEF,D04_7502.NEF,52 MB,NIKON D800,2017:04:07 07:56:38,7424x4924,RAW,16.0 mm,1/80,8.0,100,Auto1,"Off, Did not fire"
LAJA07/LAJA_047/understory/D04_7503.NEF,D04_7503.NEF,51 MB,NIKON D800,2017:04:07 07:58:11,7424x4924,RAW,16.0 mm,1/100,8.0,100,Auto1,"Off, Did not fire"
LAJA07/LAJA_047/understory/D04_7504.NEF,D04_7504.NEF,51 MB,NIKON D800,2017:04:07 07:59:20,7424x4924,RAW,16.0 mm,1/100,8.0,100,Auto1,"Off, Did not fire"
LAJA07/LAJA_047/understory/D04_7507.NEF,D04_7507.NEF,52 MB,NIKON D800,2017:04:07 08:01:00,7424x4924,RAW,16.0 mm,1/100,8.0,100,Auto1,"Off, Did not fire"
LAJA07/LAJA_047/understory/D04_7511.NEF,D04_7511.NEF,53 MB,NIKON D800,2017:04:07 08:03:31,7424x4924,RAW,16.0 mm,1/100,8.0,100,Auto1,"Off, Did not fire"
LAJA07/LAJA_047/understory/D04_7512.NEF,D04_7512.NEF,53 MB,NIKON D800,2017:04:07 08:04:35,7424x4924,RAW,16.0 mm,1/100,8.0,100,Auto1,"Off, Did not fire"
LAJA07/LAJA_047/understory/D04_7514.NEF,D04_7514.NEF,51 MB,NIKON D800,2017:04:07 08:05:58,7424x4924,RAW,16.0 mm,1/100,8.0,100,Auto1,"Off, Did not fire"
LAJA07/LAJA_054/understory/D04_7466.NEF,D04_7466.NEF,52 MB,NIKON D800,2017:04:07 07:15:35,7424x4924,RAW,16.0 mm,1/50,8.0,100,Auto1,"Off, Did not fire"
LAJA07/LAJA_054/understory/D04_7467.NEF,D04_7467.NEF,51 MB,NIKON D800,2017:04:07 07:17:05,7424x4924,RAW,16.0 mm,1/60,8.0,100,Auto1,"Off, Did not fire"
LAJA07/LAJA_054/understory/D04_7468.NEF,D04_7468.NEF,51 MB,NIKON D800,2017:04:07 07:18:23,7424x4924,RAW,16.0 mm,1/50,8.0,100,Auto1,"Off, Did not fire"
LAJA07/LAJA_054/understory/D04_7473.NEF,D04_7473.NEF,53 MB,NIKON D800,2017:04:07 07:23:53,7424x4924,RAW,16.0 mm,1/60,8.0,100,Auto1,"Off, Did not fire"
LAJA07/LAJA_054/understory/D04_7477.NEF,D04_7477.NEF,53 MB,NIKON D800,2017:04:07 07:25:53,7424x4924,RAW,16.0 mm,1/60,8.0,100,Auto1,"Off, Did not fire"
LAJA07/LAJA_054/understory/D04_7478.NEF,D04_7478.NEF,54 MB,NIKON D800,2017:04:07 07:27:06,7424x4924,RAW,16.0 mm,1/60,8.0,100,Auto1,"Off, Did not fire"
LAJA07/LAJA_054/understory/D04_7479.NEF,D04_7479.NEF,52 MB,NIKON D800,2017:04:07 07:29:24,7424x4924,RAW,16.0 mm,1/60,8.0,100,Auto1,"Off, Did not fire"
LAJA07/LAJA_054/understory/D04_7483.NEF,D04_7483.NEF,54 MB,NIKON D800,2017:04:07 07:32:26,7424x4924,RAW,16.0 mm,1/60,8.0,100,Auto1,"Off, Did not fire"
LAJA07/LAJA_054/understory/D04_7487.NEF,D04_7487.NEF,52 MB,NIKON D800,2017:04:07 07:35:18,7424x4924,RAW,16.0 mm,1/80,8.0,100,Auto1,"Off, Did not fire"
LAJA07/LAJA_054/understory/D04_7490.NEF,D04_7490.NEF,51 MB,NIKON D800,2017:04:07 07:37:30,7424x4924,RAW,16.0 mm,1/80,8.0,100,Auto1,"Off, Did not fire"
LAJA07/LAJA_054/understory/D04_7491.NEF,D04_7491.NEF,53 MB,NIKON D800,2017:04:07 07:38:53,7424x4924,RAW,16.0 mm,1/80,8.0,100,Auto1,"Off, Did not fire"
LAJA07/LAJA_054/understory/D04_7493.NEF,D04_7493.NEF,53 MB,NIKON D800,2017:04:07 07:41:05,7424x4924,RAW,16.0 mm,1/80,8.0,100,Auto1,"Off, Did not fire"
LAJA07/LAJA_065/understory/D04_7515.NEF,D04_7515.NEF,55 MB,NIKON D800,2017:04:07 08:12:41,7424x4924,RAW,16.0 mm,1/100,8.0,100,Auto1,"Off, Did not fire"
LAJA07/LAJA_065/understory/D04_7517.NEF,D04_7517.NEF,55 MB,NIKON D800,2017:04:07 08:14:07,7424x4924,RAW,16.0 mm,1/100,8.0,100,Auto1,"Off, Did not fire"
