SourceFile,FileName,FileSize,Model,DateTimeOriginal,ImageSize,Quality,FocalLength,ShutterSpeed,Aperture,ISO,WhiteBalance,Flash
SJER04/SJER_049/overstory/D17_0425.NEF,D17_0425.NEF,27 MB,NIKON D750,2016:12:13 19:52:39,6032x4032,RAW,16.0 mm,1/30,8.0,640,Auto1,"Off, Did not fire"
SJER04/SJER_049/overstory/D17_0426.NEF,D17_0426.NEF,27 MB,NIKON D750,2016:12:13 19:53:09,6032x4032,RAW,16.0 mm,1/30,8.0,500,Auto1,"Off, Did not fire"
SJER04/SJER_049/overstory/D17_0427.NEF,D17_0427.NEF,28 MB,NIKON D750,2016:12:13 19:53:45,6032x4032,RAW,16.0 mm,1/30,8.0,640,Auto1,"Off, Did not fire"
SJER04/SJER_049/overstory/D17_0428.NEF,D17_0428.NEF,28 MB,NIKON D750,2016:12:13 19:54:25,6032x4032,RAW,16.0 mm,1/30,8.0,640,Auto1,"Off, Did not fire"
SJER04/SJER_049/overstory/D17_0430.NEF,D17_0430.NEF,28 MB,NIKON D750,2016:12:13 19:55:31,6032x4032,RAW,16.0 mm,1/50,8.0,640,Auto1,"Off, Did not fire"
SJER04/SJER_049/overstory/D17_0431.NEF,D17_0431.NEF,28 MB,NIKON D750,2016:12:13 19:56:06,6032x4032,RAW,16.0 mm,1/50,8.0,640,Auto1,"Off, Did not fire"
SJER04/SJER_049/overstory/D17_0432.NEF,D17_0432.NEF,28 MB,NIKON D750,2016:12:13 19:57:07,6032x4032,RAW,16.0 mm,1/40,8.0,640,Auto1,"Off, Did not fire"
SJER04/SJER_049/overstory/D17_0433.NEF,D17_0433.NEF,29 MB,NIKON D750,2016:12:13 19:57:29,6032x4032,RAW,16.0 mm,1/40,8.0,640,Auto1,"Off, Did not fire"
SJER04/SJER_049/overstory/D17_0434.NEF,D17_0434.NEF,30 MB,NIKON D750,2016:12:13 19:57:59,6032x4032,RAW,16.0 mm,1/40,8.0,640,Auto1,"Off, Did not fire"
SJER04/SJER_049/overstory/D17_0437.NEF,D17_0437.NEF,28 MB,NIKON D750,2016:12:13 19:59:30,6032x4032,RAW,16.0 mm,1/50,8.0,400,Auto1,"Off, Did not fire"
SJER04/SJER_049/overstory/D17_0438.NEF,D17_0438.NEF,29 MB,NIKON D750,2016:12:13 20:00:03,6032x4032,RAW,16.0 mm,1/50,8.0,400,Auto1,"Off, Did not fire"
SJER04/SJER_049/overstory/D17_0439.NEF,D17_0439.NEF,29 MB,NIKON D750,2016:12:13 20:00:45,6032x4032,RAW,16.0 mm,1/50,9.0,400,Auto1,"Off, Did not fire"
