"siteid","taxonid","decayClass","sizeCategory","relativeAbundance","cumulativeAbundance","sampledDiskNum","cumulativeDiskNum"
"PUUM","MEPO5",2,">=10cm",31.91,31.91,10,10
"PUUM","2PLANT-H",2,">=10cm",23.4,55.31,10,20
"PUUM","ACKO",2,">=10cm",14.89,70.2,10,30
"PUUM","CIBOT",1,">=10cm",6.38,76.58,10,40
"PUUM","MEPO5",2,"2-5cm",6.38,82.96,5,45
"PUUM","2PLANT-H",2,"2-5cm",4.26,87.22,5,50
"PUUM","CIGL",2,">=10cm",2.13,89.35,10,60
"PUUM","MEPO5",1,"2-5cm",2.13,91.48,5,65
"PUUM","CHTR2",1,"5-10cm",2.13,93.61,5,70
"PUUM","ACKO",2,"5-10cm",2.13,95.74,5,75
"PUUM","CHTR2",2,"5-10cm",2.13,97.87,5,80
"PUUM","MEPO5",2,"5-10cm",2.13,100,5,85
