"","X","domainid","siteid","plotid_parent","tallydate","yearboutbegan","eventid","volumefactor","samplingprotocolversion","lidsazimuth","targettaxapresent","logdistance","logmaxdiameter","minorlogdiameter","logid","loglength","taxonid","scientificname","decayclass","diameterClass","decayClassNum"
"1",1,"D20","PUUM","PUUM_010","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",10,"Y",41.1,46.5,NA,"06785",6.5,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"2",2,"D20","PUUM","PUUM_020","2020-07-20T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",210,"Y",23.7,26.2,24,"06567",9.1,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"3",3,"D20","PUUM","PUUM_007","2020-08-05T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",10,"Y",13.1,29,NA,"06535",3.5,"CIBOT","Cibotium sp.",NA,">=10cm",NA
"4",4,"D20","PUUM","PUUM_004","2020-08-11T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",100,"Y",7.3,12.5,NA,"06615",8.5,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"5",5,"D20","PUUM","PUUM_014","2020-07-28T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",270,"Y",14.4,27.52,NA,"06683",13.5,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"6",6,"D20","PUUM","PUUM_006","2020-07-27T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",260,"Y",55,48.5,NA,"06578",4,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"7",7,"D20","PUUM","PUUM_017","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",90,"Y",0.8,22.5,21,"06626",2.6,"CIBOT","Cibotium sp.",NA,">=10cm",NA
"8",8,"D20","PUUM","PUUM_005","2020-07-27T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",110,"Y",76.7,43,39.5,"06741",4.2,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"9",9,"D20","PUUM","PUUM_006","2020-07-27T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",140,"Y",24,28.5,26,"06542",6.9,"MEPO5","Metrosideros sp.","2 - Sound round",">=10cm",2
"10",10,"D20","PUUM","PUUM_018","2020-07-20T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",280,"Y",44.5,36,NA,"06685",9.8,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"11",11,"D20","PUUM","PUUM_006","2020-07-27T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",260,"Y",13.4,29,21.5,"06561",2.5,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"12",12,"D20","PUUM","PUUM_005","2020-07-27T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",110,"Y",23.2,52.5,NA,"06740",9.3,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"13",13,"D20","PUUM","PUUM_014","2020-07-28T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",30,"Y",32.9,92,85.7,"06730",10.2,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"14",14,"D20","PUUM","PUUM_006","2020-07-27T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",260,"Y",26,64.5,62,"06565",10,"MEPO5","Metrosideros polymorpha Gaudich.","3 - Heartwood sound",">=10cm",3
"15",15,"D20","PUUM","PUUM_019","2020-08-12T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",270,"Y",84.3,44.5,NA,"06509",3.9,"CIBOT","Cibotium sp.",NA,">=10cm",NA
"16",16,"D20","PUUM","PUUM_006","2020-07-27T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",140,"Y",51,41.5,41.5,"06539",10,"MEPO5","Metrosideros sp.","3 - Heartwood sound",">=10cm",3
"17",17,"D20","PUUM","PUUM_016","2020-08-12T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",200,"Y",23,23,19.5,"06512",4.3,"2PLANT-H","Unknown Hardwood","4 - Rotten throughout",">=10cm",4
"18",18,"D20","PUUM","PUUM_020","2020-07-20T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",330,"Y",8.7,20.5,20,"06563",3,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"19",19,"D20","PUUM","PUUM_013","2020-07-23T00:00:00.000Z",2020,"CDW.2020.PUUM",5,"NEON.DOC.001711vF",110,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,"D20","PUUM","PUUM_019","2020-08-12T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",270,"Y",30.1,36,34,"06372",3.7,"CIBOT","Cibotium sp.",NA,">=10cm",NA
"21",21,"D20","PUUM","PUUM_004","2020-08-11T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",220,"Y",24.2,18.5,NA,"06609",16.9,"MEPO5","Metrosideros polymorpha Gaudich.","3 - Heartwood sound",">=10cm",3
