undeMoss,wiscMoss
Abies balsamea,Abietinella abietina (Hedw.) Fleisch.
Acer rubrum,Acaulon muticum var. rufescens (Jaeg.) Crum
Acer saccharum,Amblyodon dealbatus (Hedw.) BSG
Actaea pachypoda,Amblystegium serpens var. juratzkanum (Schimp.) Rau & Herv.
Actaea rubra,Amblystegium serpens (Hedw.) BSG
Alnus incana,Amblystegium trichopodium (Schultz) Hartm.
Amelanchier arborea,Amblystegium varium (Hedw.) Lindb.
Anemone quinquefolia,Amphidium lapponicum (Hedw.) Schimp.
Aralia nudicaulis,Amphidium mougeotii (BSG) Schimp.
Arisaema triphyllum,Anacamptodon splachnoides (Fröl. ex Brid.) Brid.
Athyrium filix-femina,Andreaea rupestris Hedw.
Brachyelytrum aristosum--Brachyelytrum erectum,Anomobryum filiforme (Dicks.) Solms in Rabenh.
Calamagrostis canadensis,Anomodon attenuatus (Hedw.) Hüb.
Carex,Anomodon minor (Hedw.) Fürnr.
Carex arctata,Anomodon rostratus (Hedw.) Schimp.
Carex canescens,Anomodon rugelii (C. Müll.) Keissl.
Carex communis,Anomodon viticulosus (Hedw.) Hook. & Tayl.
Carex disperma,Aphanorrhegma serratum (J. Hook. & Wils. in Drumm.) Sull.
Carex gracillima,Astomum muhlenbergianum (Sw.) Grout
Carex gynandra,Atrichum angustatum (Brid.) BSG
Carex intumescens,Atrichum crispum (James) Sull.
Carex lasiocarpa,Atrichum oerstedianum (C. Müll.) Mitt.
Carex magellanica ssp. irrigua,Atrichum tenellum (Röhl.) BSG
Carex pensylvanica,Atrichum undulatum (Hedw.) P.-Beauv.
Carex tuckermanii,Aulacomnium androgynum (Hedw.) Schwaegr.
Carex--brn bract,Aulacomnium heterostichum (Hedw.) BSG
Carex--dangling,Aulacomnium palustre (Hedw.) Schwaegr.
Carex--different sp,Barbula convoluta Hedw.
Carex--fine-leaved,Barbula unguiculata Hedw.
Carex--round beak,Bartramia pomiformis Hedw.
Caulophyllum thalictroides,Blindia acuta (Hedw.) BSG
Cinna latifolia,Brachythecium acuminatum (Hedw.) Aust.
Circaea alpina,Brachythecium calcareum Kindb.
Clinopodium vulgare,Brachythecium campestre (C. Müll.) BSG
Clintonia borealis,Brachythecium curtum (Lindb.) Limpr.
Coptis trifolia,Brachythecium digastrum C. Müll. & Kindb. in Mac. & Kindb.
Cornus,Brachythecium oxycladon (Brid.) Jaeg. & Sauerb.
Cornus alternifolia,Brachythecium plumosum (Hedw.) BSG
