"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"ABBY_001",40,160,280,""
"ABBY_002",270,30,150,""
"ABBY_003",280,40,160,""
"ABBY_004",340,100,220,""
"ABBY_005",290,50,170,""
"ABBY_006",250,10,130,""
"ABBY_007",70,190,310,""
"ABBY_008",20,140,260,""
"ABBY_009",190,310,70,""
"ABBY_010",70,190,310,""
"ABBY_011",20,140,260,""
"ABBY_012",190,310,70,""
"ABBY_013",260,20,140,""
"ABBY_014",350,110,230,""
"ABBY_016",110,230,350,""
"ABBY_017",350,110,230,""
"ABBY_018",20,140,260,""
"ABBY_019",180,300,60,""
"ABBY_023",200,320,80,""
"ABBY_025",340,100,220,""
