"plotID","plotType","lidsAngle1","lidsAngle2","lidsAngle3"
"ABBY_001","distributed",220,340,100
"ABBY_002","distributed",110,230,350
"ABBY_003","distributed",220,340,100
"ABBY_004","distributed",70,190,310
"ABBY_005","distributed",230,350,110
"ABBY_006","distributed",230,350,110
"ABBY_007","distributed",230,350,110
"ABBY_008","distributed",160,280,40
"ABBY_009","distributed",40,160,280
"ABBY_010","distributed",230,350,110
"ABBY_011","distributed",160,280,40
"ABBY_012","distributed",40,160,280
"ABBY_013","distributed",0,120,240
"ABBY_014","distributed",160,280,40
"ABBY_016","distributed",100,220,340
"ABBY_017","distributed",240,0,120
"ABBY_018","distributed",250,10,130
"ABBY_019","distributed",170,290,50
"ABBY_023","distributed",350,110,230
"ABBY_025","distributed",270,30,150
"ABBY_061","tower",50,170,290
"ABBY_062","tower",70,190,310
"ABBY_063","tower",230,350,110
"ABBY_064","tower",310,70,190
"ABBY_065","tower",190,310,70
"ABBY_067","tower",210,330,90
"ABBY_068","tower",60,180,300
"ABBY_069","tower",340,100,220
"ABBY_070","tower",210,330,90
"ABBY_073","tower",150,270,30
"ABBY_074","tower",130,250,10
"ABBY_075","tower",20,140,260
"ABBY_076","tower",160,280,40
"BARR_001","distributed",190,310,70
"BARR_002","distributed",80,200,320
"BARR_003","distributed",60,180,300
"BARR_004","distributed",180,300,60
"BARR_005","distributed",10,130,250
"BARR_006","distributed",220,340,100
"BARR_007","distributed",130,250,10
"BARR_008","distributed",160,280,40
"BARR_009","distributed",270,30,150
"BARR_011","distributed",160,280,40
"BARR_012","distributed",270,30,150
"BARR_013","distributed",190,310,70
"BARR_014","distributed",120,240,0
"BARR_015","distributed",270,30,150
"BARR_016","distributed",170,290,50
"BARR_017","distributed",210,330,90
"BARR_018","distributed",100,220,340
"BARR_019","distributed",190,310,70
"BARR_020","distributed",210,330,90
"BARR_022","distributed",190,310,70
"BARR_051","tower",50,170,290
"BARR_052","tower",10,130,250
"BARR_053","tower",120,240,0
"BARR_054","tower",200,320,80
"BARR_055","tower",130,250,10
"BARR_056","tower",50,170,290
"BARR_057","tower",260,20,140
"BARR_058","tower",140,260,20
"BARR_059","tower",310,70,190
"BARR_060","tower",260,20,140
"BARR_061","tower",140,260,20
"BARR_062","tower",310,70,190
"BARR_063","tower",230,350,110
"BARR_064","tower",260,20,140
"BARR_065","tower",30,150,270
"BARR_066","tower",80,200,320
"BARR_067","tower",290,50,170
"BARR_068","tower",40,160,280
"BARR_069","tower",230,350,110
"BARR_070","tower",290,50,170
"BARR_071","tower",40,160,280
"BARR_072","tower",230,350,110
"BARR_073","tower",20,140,260
"BARR_074","tower",250,10,130
"BARR_075","tower",60,180,300
"BARR_076","tower",200,320,80
"BARR_077","tower",150,270,30
"BARR_078","tower",40,160,280
"BARR_079","tower",130,250,10
"BARR_080","tower",150,270,30
"BART_001","distributed",220,340,100
"BART_002","distributed",30,150,270
"BART_003","distributed",310,70,190
"BART_004","distributed",100,220,340
"BART_005","distributed",280,40,160
"BART_006","distributed",140,260,20
"BART_007","distributed",330,90,210
"BART_010","distributed",330,90,210
"BART_011","distributed",220,340,100
"BART_012","distributed",210,330,90
"BART_013","distributed",130,250,10
"BART_015","distributed",270,30,150
"BART_016","distributed",320,80,200
"BART_018","distributed",320,80,200
"BART_019","distributed",140,260,20
"BART_023","distributed",230,350,110
"BART_024","distributed",110,230,350
"BART_025","distributed",110,230,350
"BART_026","distributed",310,70,190
"BART_027","distributed",0,120,240
"BART_032","tower",70,190,310
"BART_033","tower",170,290,50
"BART_034","tower",240,0,120
"BART_036","tower",300,60,180
"BART_037","tower",290,50,170
"BART_039","tower",270,30,150
"BART_040","tower",290,50,170
"BART_041","tower",190,310,70
"BART_042","tower",270,30,150
"BART_044","tower",160,280,40
"BART_046","tower",210,330,90
"BART_047","tower",340,100,220
"BART_050","tower",340,100,220
"BART_051","tower",110,230,350
"BART_070","tower",40,160,280
"BART_071","tower",90,210,330
"BART_072","tower",320,80,200
"BART_073","tower",10,130,250
"BART_074","tower",230,350,110
"BART_075","tower",0,120,240
"BLAN_001","distributed",10,130,250
"BLAN_003","distributed",210,330,90
"BLAN_004","distributed",0,120,240
"BLAN_005","distributed",250,10,130
"BLAN_006","distributed",180,300,60
"BLAN_007","distributed",120,240,0
"BLAN_008","distributed",270,30,150
"BLAN_009","distributed",40,160,280
"BLAN_010","distributed",120,240,0
"BLAN_011","distributed",270,30,150
"BLAN_012","distributed",40,160,280
"BLAN_013","distributed",10,130,250
"BLAN_014","distributed",160,280,40
"BLAN_015","distributed",190,310,70
"BLAN_016","distributed",350,110,230
"BLAN_017","distributed",90,210,330
"BLAN_018","distributed",10,130,250
"BLAN_019","distributed",200,320,80
"BLAN_020","distributed",90,210,330
"BLAN_068","distributed",330,90,210
"BLAN_031","tower",130,250,10
"BLAN_032","tower",180,300,60
"BLAN_033","tower",90,210,330
"BLAN_034","tower",300,60,180
"BLAN_035","tower",210,330,90
"BLAN_036","tower",300,60,180
"BLAN_037","tower",100,220,340
"BLAN_038","tower",190,310,70
"BLAN_039","tower",220,340,100
"BLAN_040","tower",100,220,340
"BLAN_042","tower",220,340,100
"BLAN_043","tower",240,0,120
"BLAN_044","tower",90,210,330
"BLAN_045","tower",340,100,220
"BLAN_046","tower",190,310,70
"BLAN_047","tower",230,350,110
"BLAN_048","tower",30,150,270
"BLAN_049","tower",270,30,150
"BLAN_050","tower",230,350,110
"BLAN_051","tower",30,150,270
"BLAN_052","tower",270,30,150
"BLAN_053","tower",270,30,150
"BLAN_054","tower",350,110,230
"BLAN_055","tower",100,220,340
"BLAN_056","tower",160,280,40
"BLAN_057","tower",200,320,80
"BLAN_059","tower",20,140,260
"BLAN_060","tower",200,320,80
"BLAN_063","tower",130,250,10
"BLAN_064","tower",190,310,70
"BONA_001","distributed",100,220,340
"BONA_002","distributed",320,80,200
"BONA_003","distributed",80,200,320
"BONA_004","distributed",130,250,10
"BONA_005","distributed",270,30,150
"BONA_006","distributed",230,350,110
"BONA_007","distributed",280,40,160
"BONA_008","distributed",0,120,240
"BONA_009","distributed",70,190,310
"BONA_010","distributed",280,40,160
"BONA_011","distributed",0,120,240
"BONA_012","distributed",70,190,310
"BONA_013","distributed",10,130,250
"BONA_014","distributed",210,330,90
"BONA_016","distributed",270,30,150
"BONA_018","distributed",260,20,140
"BONA_021","distributed",260,20,140
"BONA_022","distributed",170,290,50
"BONA_023","distributed",160,280,40
"BONA_026","distributed",110,230,350
"BONA_070","tower",50,170,290
"BONA_071","tower",60,180,300
"BONA_072","tower",60,180,300
"BONA_073","tower",90,210,330
"BONA_074","tower",50,170,290
"BONA_075","tower",200,320,80
"BONA_076","tower",140,260,20
"BONA_077","tower",240,0,120
"BONA_078","tower",150,270,30
"BONA_079","tower",170,290,50
"BONA_080","tower",240,0,120
"BONA_081","tower",150,270,30
"BONA_082","tower",170,290,50
"BONA_083","tower",330,90,210
"BONA_084","tower",310,70,190
"BONA_086","tower",140,260,20
"BONA_087","tower",90,210,330
"BONA_088","tower",270,30,150
"BONA_089","tower",120,240,0
"BONA_093","tower",230,350,110
"CLBJ_031","distributed",330,90,210
"CLBJ_032","distributed",250,10,130
"CLBJ_033","distributed",70,190,310
"CLBJ_034","distributed",230,350,110
"CLBJ_035","distributed",20,140,260
"CLBJ_036","distributed",350,110,230
"CLBJ_037","distributed",260,20,140
"CLBJ_038","distributed",20,140,260
"CLBJ_039","distributed",260,20,140
"CLBJ_040","distributed",260,20,140
"CLBJ_041","distributed",20,140,260
"CLBJ_042","distributed",260,20,140
"CLBJ_043","distributed",220,340,100
"CLBJ_044","distributed",20,140,260
"CLBJ_045","distributed",250,10,130
"CLBJ_046","distributed",210,330,90
"CLBJ_047","distributed",240,0,120
"CLBJ_049","distributed",160,280,40
"CLBJ_051","distributed",70,190,310
"CLBJ_052","distributed",160,280,40
"CLBJ_001","tower",190,310,70
"CLBJ_002","tower",190,310,70
"CLBJ_003","tower",250,10,130
"CLBJ_004","tower",220,340,100
"CLBJ_005","tower",160,280,40
"CLBJ_006","tower",320,80,200
"CLBJ_007","tower",90,210,330
"CLBJ_008","tower",310,70,190
"CLBJ_009","tower",100,220,340
"CLBJ_010","tower",90,210,330
"CLBJ_011","tower",310,70,190
"CLBJ_012","tower",100,220,340
"CLBJ_013","tower",210,330,90
"CLBJ_014","tower",220,340,100
"CLBJ_015","tower",110,230,350
"CLBJ_016","tower",140,260,20
"CLBJ_017","tower",60,180,300
"CLBJ_018","tower",30,150,270
"CLBJ_019","tower",260,20,140
"CLBJ_020","tower",60,180,300
"CLBJ_021","tower",30,150,270
"CLBJ_022","tower",260,20,140
"CLBJ_023","tower",110,230,350
"CLBJ_024","tower",170,290,50
"CLBJ_025","tower",70,190,310
"CLBJ_026","tower",280,40,160
"CLBJ_027","tower",40,160,280
"CLBJ_028","tower",330,90,210
"CLBJ_029","tower",250,10,130
"CLBJ_030","tower",40,160,280
"CPER_001","distributed",140,260,20
"CPER_002","distributed",170,290,50
"CPER_003","distributed",300,60,180
"CPER_004","distributed",350,110,230
"CPER_005","distributed",210,330,90
"CPER_006","distributed",170,290,50
"CPER_007","distributed",30,150,270
"CPER_008","distributed",270,30,150
"CPER_009","distributed",180,300,60
"CPER_010","distributed",30,150,270
"CPER_011","distributed",270,30,150
"CPER_012","distributed",180,300,60
"CPER_013","distributed",30,150,270
"CPER_014","distributed",330,90,210
"CPER_015","distributed",120,240,0
"CPER_016","distributed",180,300,60
"CPER_017","distributed",40,160,280
"CPER_018","distributed",290,50,170
"CPER_019","distributed",30,150,270
"CPER_020","distributed",40,160,280
"CPER_045","tower",230,350,110
"CPER_046","tower",70,190,310
"CPER_047","tower",70,190,310
"CPER_048","tower",10,130,250
"CPER_049","tower",80,200,320
"CPER_050","tower",70,190,310
"CPER_051","tower",10,130,250
"CPER_052","tower",80,200,320
"CPER_053","tower",90,210,330
"CPER_054","tower",160,280,40
"CPER_055","tower",10,130,250
"CPER_056","tower",80,200,320
"CPER_057","tower",90,210,330
"CPER_058","tower",190,310,70
"CPER_059","tower",180,300,60
"CPER_060","tower",90,210,330
"CPER_061","tower",190,310,70
"CPER_062","tower",180,300,60
"CPER_063","tower",310,70,190
"CPER_064","tower",350,110,230
"CPER_065","tower",200,320,80
"CPER_066","tower",220,340,100
"CPER_067","tower",340,100,220
"CPER_068","tower",280,40,160
"CPER_069","tower",50,170,290
"CPER_070","tower",340,100,220
"CPER_071","tower",280,40,160
"CPER_072","tower",50,170,290
"CPER_073","tower",250,10,130
"CPER_074","tower",250,10,130
"DCFS_001","distributed",80,200,320
"DCFS_002","distributed",0,120,240
"DCFS_003","distributed",190,310,70
"DCFS_004","distributed",250,10,130
"DCFS_005","distributed",100,220,340
"DCFS_006","distributed",220,340,100
"DCFS_007","distributed",140,260,20
"DCFS_008","distributed",150,270,30
"DCFS_009","distributed",250,10,130
"DCFS_010","distributed",140,260,20
"DCFS_011","distributed",150,270,30
"DCFS_012","distributed",250,10,130
"DCFS_013","distributed",320,80,200
"DCFS_014","distributed",40,160,280
"DCFS_015","distributed",170,290,50
"DCFS_016","distributed",110,230,350
"DCFS_017","distributed",280,40,160
"DCFS_018","distributed",250,10,130
"DCFS_019","distributed",20,140,260
"DCFS_020","distributed",280,40,160
"DCFS_061","tower",100,220,340
"DCFS_062","tower",290,50,170
"DCFS_063","tower",140,260,20
"DCFS_064","tower",40,160,280
"DCFS_065","tower",20,140,260
"DCFS_066","tower",60,180,300
"DCFS_067","tower",340,100,220
"DCFS_068","tower",0,120,240
"DCFS_069","tower",150,270,30
"DCFS_070","tower",340,100,220
"DCFS_071","tower",0,120,240
"DCFS_072","tower",150,270,30
"DCFS_073","tower",160,280,40
"DCFS_074","tower",10,130,250
"DCFS_075","tower",340,100,220
"DCFS_076","tower",180,300,60
"DCFS_077","tower",300,60,180
"DCFS_078","tower",150,270,30
"DCFS_079","tower",50,170,290
"DCFS_080","tower",300,60,180
"DCFS_081","tower",150,270,30
"DCFS_082","tower",50,170,290
