"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"BART_032",240,0,120,""
"BART_033",290,50,170,""
"BART_034",190,310,70,""
"BART_036",20,140,260,""
"BART_037",290,50,170,""
"BART_039",310,70,190,""
"BART_040",290,50,170,""
"BART_041",150,270,30,""
"BART_042",310,70,190,""
"BART_044",190,310,70,""
"BART_046",330,90,210,""
"BART_047",50,170,290,""
"BART_050",50,170,290,""
"BART_051",330,90,210,""
"BART_070",210,330,90,""
"BART_071",120,240,0,""
"BART_072",260,20,140,""
"BART_073",120,240,0,""
"BART_074",240,0,120,""
"BART_075",150,270,30,""
