"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"GUAN_001",300,60,180,""
"GUAN_002",10,130,250,""
"GUAN_003",120,240,0,""
"GUAN_004",60,180,300,""
"GUAN_005",270,30,150,""
"GUAN_006",10,130,250,""
"GUAN_007",80,200,320,""
"GUAN_008",10,130,250,""
"GUAN_009",210,330,90,""
"GUAN_010",80,200,320,""
"GUAN_011",10,130,250,""
"GUAN_012",210,330,90,""
"GUAN_013",200,320,80,""
"GUAN_014",310,70,190,""
"GUAN_015",190,310,70,""
"GUAN_016",310,70,190,""
"GUAN_017",100,220,340,""
"GUAN_018",310,70,190,""
"GUAN_019",200,320,80,""
"GUAN_020",100,220,340,""
