"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"RMNP_001",290,50,170,""
"RMNP_002",50,170,290,""
"RMNP_003",250,10,130,""
"RMNP_004",350,110,230,""
"RMNP_005",140,260,20,""
"RMNP_006",120,240,0,""
"RMNP_007",0,120,240,""
"RMNP_008",330,90,210,""
"RMNP_009",300,60,180,""
"RMNP_010",0,120,240,""
"RMNP_011",330,90,210,""
"RMNP_012",300,60,180,""
"RMNP_013",290,50,170,""
"RMNP_014",20,140,260,""
"RMNP_015",230,350,110,""
"RMNP_016",0,120,240,""
"RMNP_017",10,130,250,""
"RMNP_018",210,330,90,""
"RMNP_019",0,120,240,""
"RMNP_020",10,130,250,""
