"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"UNDE_037",330,90,210,""
"UNDE_038",300,60,180,""
"UNDE_043",200,320,80,""
"UNDE_044",210,330,90,""
"UNDE_045",190,310,70,""
"UNDE_047",30,150,270,""
"UNDE_048",310,70,190,""
"UNDE_049",0,120,240,""
"UNDE_050",30,150,270,""
"UNDE_052",0,120,240,""
"UNDE_054",70,190,310,""
"UNDE_055",230,350,110,""
"UNDE_056",340,100,220,""
"UNDE_057",120,240,0,""
"UNDE_058",310,70,190,""
"UNDE_059",130,250,10,""
"UNDE_060",120,240,0,""
"UNDE_061",310,70,190,""
"UNDE_065",130,250,10,""
"UNDE_078",210,330,90,""
