"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"DEJU_001",170,290,50,""
"DEJU_002",310,70,190,""
"DEJU_003",100,220,340,""
"DEJU_004",50,170,290,""
"DEJU_005",300,60,180,""
"DEJU_006",120,240,0,""
"DEJU_007",150,270,30,""
"DEJU_008",280,40,160,""
"DEJU_009",240,0,120,""
"DEJU_010",150,270,30,""
"DEJU_014",80,200,320,""
"DEJU_015",210,330,90,""
"DEJU_016",40,160,280,""
"DEJU_017",60,180,300,""
"DEJU_018",210,330,90,""
"DEJU_019",280,40,160,""
"DEJU_020",60,180,300,""
"DEJU_021",210,330,90,""
"DEJU_023",130,250,10,""
"DEJU_024",240,0,120,""
