"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"OSBS_001",180,300,60,""
"OSBS_002",10,130,250,""
"OSBS_003",310,70,190,""
"OSBS_004",260,20,140,""
"OSBS_005",60,180,300,""
"OSBS_006",60,180,300,""
"OSBS_007",180,300,60,""
"OSBS_008",210,330,90,""
"OSBS_009",230,350,110,""
"OSBS_010",180,300,60,""
"OSBS_011",210,330,90,""
"OSBS_012",230,350,110,""
"OSBS_015",340,100,220,""
"OSBS_016",200,320,80,""
"OSBS_022",280,40,160,""
"OSBS_023",200,320,80,""
"OSBS_024",290,50,170,""
"OSBS_048",140,260,20,""
"OSBS_051",140,260,20,""
