"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"HEAL_045",160,280,40,""
"HEAL_046",110,230,350,""
"HEAL_047",170,290,50,""
"HEAL_048",290,50,170,""
"HEAL_049",50,170,290,""
"HEAL_050",170,290,50,""
"HEAL_051",290,50,170,""
"HEAL_052",50,170,290,""
"HEAL_053",300,60,180,""
"HEAL_054",100,220,340,""
"HEAL_055",310,70,190,""
"HEAL_056",190,310,70,""
"HEAL_057",60,180,300,""
"HEAL_058",300,60,180,""
"HEAL_059",150,270,30,""
"HEAL_060",60,180,300,""
"HEAL_061",300,60,180,""
"HEAL_062",150,270,30,""
"HEAL_063",110,230,350,""
"HEAL_064",280,40,160,""
"HEAL_065",310,70,190,""
"HEAL_066",10,130,250,""
"HEAL_067",50,170,290,""
"HEAL_068",260,20,140,""
"HEAL_069",120,240,0,""
"HEAL_070",50,170,290,""
"HEAL_071",260,20,140,""
"HEAL_072",120,240,0,""
"HEAL_073",230,350,110,""
"HEAL_074",190,310,70,""
