"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"KONZ_042",240,0,120,""
"KONZ_043",320,80,200,""
"KONZ_044",80,200,320,""
"KONZ_045",210,330,90,""
"KONZ_046",330,90,210,""
"KONZ_047",230,350,110,""
"KONZ_048",280,40,160,""
"KONZ_049",140,260,20,""
"KONZ_050",230,350,110,""
"KONZ_051",280,40,160,""
"KONZ_052",140,260,20,""
"KONZ_053",140,260,20,""
"KONZ_054",60,180,300,""
"KONZ_055",70,190,310,""
"KONZ_056",260,20,140,""
"KONZ_057",90,210,330,""
"KONZ_058",190,310,70,""
"KONZ_059",70,190,310,""
"KONZ_060",90,210,330,""
"KONZ_061",190,310,70,""
"KONZ_062",70,190,310,""
"KONZ_063",10,130,250,""
"KONZ_064",320,80,200,""
"KONZ_065",350,110,230,""
"KONZ_066",210,330,90,""
"KONZ_067",20,140,260,""
"KONZ_068",250,10,130,""
"KONZ_069",280,40,160,""
"KONZ_070",20,140,260,""
"KONZ_071",250,10,130,""
