"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"SJER_045",200,320,80,""
"SJER_046",260,20,140,""
"SJER_047",190,310,70,""
"SJER_048",350,110,230,""
"SJER_049",50,170,290,""
"SJER_050",190,310,70,""
"SJER_051",350,110,230,""
"SJER_052",50,170,290,""
"SJER_053",40,160,280,""
"SJER_054",20,140,260,""
"SJER_055",20,140,260,""
"SJER_056",180,300,60,""
"SJER_057",130,250,10,""
"SJER_058",270,30,150,""
"SJER_059",70,190,310,""
"SJER_060",130,250,10,""
"SJER_061",270,30,150,""
"SJER_062",70,190,310,""
"SJER_063",110,230,350,""
"SJER_064",70,190,310,""
