"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"MLBS_001",10,130,250,""
"MLBS_002",20,140,260,""
"MLBS_003",220,340,100,""
"MLBS_004",140,260,20,""
"MLBS_005",320,80,200,""
"MLBS_006",130,250,10,""
"MLBS_007",210,330,90,""
"MLBS_008",10,130,250,""
"MLBS_009",200,320,80,""
"MLBS_010",210,330,90,""
"MLBS_011",10,130,250,""
"MLBS_012",200,320,80,""
"MLBS_013",160,280,40,""
"MLBS_014",160,280,40,""
"MLBS_015",320,80,200,""
"MLBS_016",130,250,10,""
"MLBS_017",150,270,30,""
"MLBS_018",110,230,350,""
"MLBS_019",30,150,270,""
"MLBS_020",150,270,30,""
