"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"SRER_001",260,20,140,""
"SRER_002",200,320,80,""
"SRER_003",110,230,350,""
"SRER_004",340,100,220,""
"SRER_005",270,30,150,""
"SRER_006",240,0,120,""
"SRER_007",40,160,280,""
"SRER_008",50,170,290,""
"SRER_009",110,230,350,""
"SRER_010",40,160,280,""
"SRER_011",50,170,290,""
"SRER_012",110,230,350,""
"SRER_013",150,270,30,""
"SRER_014",30,150,270,""
"SRER_015",320,80,200,""
"SRER_016",290,50,170,""
"SRER_017",350,110,230,""
"SRER_018",0,120,240,""
"SRER_019",230,350,110,""
"SRER_020",350,110,230,""
