"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"CPER_045",0,120,240,""
"CPER_046",290,50,170,""
"CPER_047",20,140,260,""
"CPER_048",340,100,220,""
"CPER_049",150,270,30,""
"CPER_050",20,140,260,""
"CPER_051",340,100,220,""
"CPER_052",150,270,30,""
"CPER_053",310,70,190,""
"CPER_054",150,270,30,""
"CPER_055",320,80,200,""
"CPER_056",100,220,340,""
"CPER_057",200,320,80,""
"CPER_058",260,20,140,""
"CPER_059",190,310,70,""
"CPER_060",200,320,80,""
"CPER_061",260,20,140,""
"CPER_062",190,310,70,""
"CPER_063",270,30,150,""
"CPER_064",280,40,160,""
"CPER_065",140,260,20,""
"CPER_066",250,10,130,""
"CPER_067",230,350,110,""
"CPER_068",330,90,210,""
"CPER_069",80,200,320,""
"CPER_070",230,350,110,""
"CPER_071",330,90,210,""
"CPER_072",80,200,320,""
"CPER_073",110,230,350,""
"CPER_074",0,120,240,""
