"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"SOAP_031",190,310,70,""
"SOAP_043",90,210,330,""
"SOAP_044",350,110,230,""
"SOAP_045",60,180,300,""
"SOAP_046",270,30,150,""
"SOAP_047",170,290,50,""
"SOAP_048",230,350,110,""
"SOAP_049",260,20,140,""
"SOAP_050",170,290,50,""
"SOAP_051",230,350,110,""
"SOAP_052",260,20,140,""
"SOAP_053",120,240,0,""
"SOAP_054",140,260,20,""
"SOAP_055",90,210,330,""
"SOAP_056",310,70,190,""
"SOAP_057",250,10,130,""
"SOAP_058",250,10,130,""
"SOAP_059",350,110,230,""
"SOAP_060",250,10,130,""
"SOAP_061",250,10,130,""
