"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"PUUM_001",40,160,280,""
"PUUM_002",170,290,50,""
"PUUM_003",110,230,350,""
"PUUM_004",100,220,340,""
"PUUM_005",350,110,230,""
"PUUM_006",260,20,140,""
"PUUM_007",10,130,250,""
"PUUM_008",310,70,190,""
"PUUM_009",160,280,40,""
"PUUM_010",10,130,250,""
"PUUM_011",310,70,190,""
"PUUM_012",160,280,40,""
"PUUM_013",350,110,230,""
"PUUM_014",150,270,30,""
"PUUM_015",50,170,290,""
"PUUM_016",200,320,80,""
"PUUM_017",210,330,90,""
"PUUM_018",280,40,160,""
"PUUM_019",150,270,30,""
"PUUM_020",210,330,90,""
