"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"SCBI_002",160,280,40,""
"SCBI_003",310,70,190,""
"SCBI_004",230,350,110,""
"SCBI_005",30,150,270,""
"SCBI_006",100,220,340,""
"SCBI_007",230,350,110,""
"SCBI_008",120,240,0,""
"SCBI_010",230,350,110,""
"SCBI_011",120,240,0,""
"SCBI_012",270,30,150,""
"SCBI_013",160,280,40,""
"SCBI_014",0,120,240,""
"SCBI_015",30,150,270,""
"SCBI_016",340,100,220,""
"SCBI_017",50,170,290,""
"SCBI_018",240,0,120,""
"SCBI_033",130,250,10,""
"SCBI_034",120,240,0,""
"SCBI_035",200,320,80,""
"SCBI_038",160,280,40,""
