"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"OAES_001",20,140,260,""
"OAES_002",150,270,30,""
"OAES_003",50,170,290,""
"OAES_004",210,330,90,""
"OAES_005",60,180,300,""
"OAES_006",120,240,0,""
"OAES_007",210,330,90,""
"OAES_008",150,270,30,""
"OAES_009",30,150,270,""
"OAES_010",210,330,90,""
"OAES_011",150,270,30,""
"OAES_012",30,150,270,""
"OAES_013",150,270,30,""
"OAES_014",100,220,340,""
"OAES_015",350,110,230,""
"OAES_021",220,340,100,""
"OAES_022",80,200,320,""
"OAES_023",300,60,180,""
"OAES_024",10,130,250,""
"OAES_025",340,100,220,""
