plotID,lidsAngle1,lidsAngle2,lidsAngle3
BLAN_001,210,330,90
BLAN_003,220,340,100
BLAN_004,310,70,190
BLAN_005,130,250,10
BLAN_006,120,240,0
BLAN_007,200,320,80
BLAN_008,50,170,290
BLAN_009,200,320,80
BLAN_010,200,320,80
BLAN_011,50,170,290
BLAN_012,200,320,80
BLAN_013,60,180,300
BLAN_014,50,170,290
BLAN_015,270,30,150
BLAN_016,50,170,290
BLAN_017,130,250,10
BLAN_018,260,20,140
BLAN_019,140,260,20
BLAN_020,130,250,10
BLAN_068,80,200,320
BLAN_031,30,150,270
BLAN_032,300,60,180
BLAN_033,190,310,70
BLAN_034,240,0,120
BLAN_035,320,80,200
BLAN_036,210,330,90
BLAN_037,200,320,80
BLAN_038,270,30,150
BLAN_039,250,10,130
BLAN_040,200,320,80
BLAN_042,250,10,130
BLAN_043,20,140,260
BLAN_044,310,70,190
BLAN_045,200,320,80
BLAN_046,60,180,300
BLAN_047,290,50,170
BLAN_048,260,20,140
BLAN_049,10,130,250
BLAN_050,290,50,170
BLAN_051,260,20,140
BLAN_052,10,130,250
BLAN_053,0,120,240
BLAN_054,130,250,10
BLAN_055,50,170,290
BLAN_056,20,140,260
BLAN_057,200,320,80
BLAN_059,310,70,190
BLAN_060,200,320,80
BLAN_063,280,40,160
BLAN_064,300,60,180
MOAB_001,20,140,260
MOAB_002,0,120,240
MOAB_003,250,10,130
MOAB_004,150,270,30
MOAB_005,320,80,200
MOAB_006,130,250,10
MOAB_007,120,240,0
MOAB_009,90,210,330
MOAB_010,120,240,0
MOAB_011,190,310,70
MOAB_012,90,210,330
MOAB_013,40,160,280
MOAB_014,280,40,160
MOAB_015,70,190,310
MOAB_016,340,100,220
MOAB_017,150,270,30
MOAB_018,50,170,290
MOAB_019,270,30,150
MOAB_024,130,250,10
MOAB_025,250,10,130
MOAB_044,200,320,80
MOAB_045,160,280,40
MOAB_046,320,80,200
MOAB_047,270,30,150
MOAB_048,40,160,280
MOAB_049,0,120,240
MOAB_050,270,30,150
MOAB_051,40,160,280
MOAB_052,0,120,240
MOAB_053,200,320,80
MOAB_054,70,190,310
MOAB_055,40,160,280
MOAB_056,90,210,330
MOAB_057,290,50,170
MOAB_058,150,270,30
MOAB_059,130,250,10
MOAB_060,290,50,170
MOAB_061,150,270,30
MOAB_062,130,250,10
MOAB_063,310,70,190
MOAB_064,100,220,340
MOAB_065,320,80,200
MOAB_066,0,120,240
MOAB_067,110,230,350
MOAB_068,10,130,250
MOAB_069,320,80,200
MOAB_070,110,230,350
MOAB_071,10,130,250
MOAB_072,320,80,200
MOAB_073,40,160,280
ONAQ_002,340,100,220
ONAQ_003,70,190,310
ONAQ_004,100,220,340
ONAQ_005,190,310,70
ONAQ_007,120,240,0
ONAQ_008,350,110,230
ONAQ_009,170,290,50
ONAQ_010,120,240,0
ONAQ_011,350,110,230
ONAQ_012,170,290,50
ONAQ_014,20,140,260
ONAQ_015,340,100,220
ONAQ_016,210,330,90
ONAQ_017,70,190,310
ONAQ_018,190,310,70
ONAQ_019,340,100,220
ONAQ_020,70,190,310
ONAQ_021,190,310,70
ONAQ_023,40,160,280
ONAQ_025,50,170,290
