"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"DSNY_041",10,130,250,""
"DSNY_042",340,100,220,""
"DSNY_043",80,200,320,""
"DSNY_044",190,310,70,""
"DSNY_045",210,330,90,""
"DSNY_046",100,220,340,""
"DSNY_047",210,330,90,""
"DSNY_048",70,190,310,""
"DSNY_049",100,220,340,""
"DSNY_050",210,330,90,""
"DSNY_051",70,190,310,""
"DSNY_052",100,220,340,""
"DSNY_053",310,70,190,""
"DSNY_054",150,270,30,""
"DSNY_055",180,300,60,""
"DSNY_056",210,330,90,""
"DSNY_057",280,40,160,""
"DSNY_058",20,140,260,""
"DSNY_059",170,290,50,""
"DSNY_060",280,40,160,""
"DSNY_061",20,140,260,""
"DSNY_062",170,290,50,""
"DSNY_063",320,80,200,""
"DSNY_064",260,20,140,""
"DSNY_065",290,50,170,""
"DSNY_066",260,20,140,""
"DSNY_067",90,210,330,""
"DSNY_068",230,350,110,""
"DSNY_069",110,230,350,""
"DSNY_070",90,210,330,""
