"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"GRSM_001",290,50,170,""
"GRSM_002",200,320,80,""
"GRSM_003",310,70,190,""
"GRSM_004",350,110,230,""
"GRSM_005",20,140,260,""
"GRSM_006",220,340,100,""
"GRSM_007",0,120,240,""
"GRSM_008",80,200,320,""
"GRSM_009",260,20,140,""
"GRSM_010",0,120,240,""
"GRSM_011",80,200,320,""
"GRSM_012",260,20,140,""
"GRSM_013",50,170,290,""
"GRSM_014",290,50,170,""
"GRSM_015",280,40,160,""
"GRSM_016",40,160,280,""
"GRSM_017",280,40,160,""
"GRSM_018",130,250,10,""
"GRSM_019",40,160,280,""
"GRSM_025",60,180,300,""
