"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"JORN_042",90,210,330,""
"JORN_043",220,340,100,""
"JORN_044",50,170,290,""
"JORN_045",60,180,300,""
"JORN_046",130,250,10,""
"JORN_047",60,180,300,""
"JORN_048",120,240,0,""
"JORN_049",0,120,240,""
"JORN_050",60,180,300,""
"JORN_051",120,240,0,""
"JORN_052",0,120,240,""
"JORN_053",280,40,160,""
"JORN_054",340,100,220,""
"JORN_055",200,320,80,""
"JORN_056",60,180,300,""
"JORN_057",340,100,220,""
"JORN_058",10,130,250,""
"JORN_059",270,30,150,""
"JORN_060",340,100,220,""
"JORN_061",10,130,250,""
"JORN_062",270,30,150,""
"JORN_063",130,250,10,""
"JORN_064",220,340,100,""
"JORN_065",190,310,70,""
"JORN_066",230,350,110,""
"JORN_067",300,60,180,""
"JORN_068",300,60,180,""
"JORN_069",230,350,110,""
"JORN_070",300,60,180,""
"JORN_071",300,60,180,""
