"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"TEAK_001",50,170,290,""
"TEAK_002",160,280,40,""
"TEAK_003",140,260,20,""
"TEAK_004",130,250,10,""
"TEAK_005",200,320,80,""
"TEAK_006",90,210,330,""
"TEAK_007",290,50,170,""
"TEAK_008",270,30,150,""
"TEAK_009",210,330,90,""
"TEAK_010",290,50,170,""
"TEAK_011",270,30,150,""
"TEAK_012",210,330,90,""
"TEAK_013",140,260,20,""
"TEAK_014",70,190,310,""
"TEAK_015",310,70,190,""
"TEAK_016",90,210,330,""
"TEAK_017",270,30,150,""
"TEAK_018",170,290,50,""
"TEAK_019",180,300,60,""
"TEAK_024",70,190,310,""
