"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"RMNP_041",80,200,320,""
"RMNP_042",0,120,240,""
"RMNP_043",90,210,330,""
"RMNP_044",100,220,340,""
"RMNP_045",160,280,40,""
"RMNP_046",80,200,320,""
"RMNP_047",120,240,0,""
"RMNP_048",90,210,330,""
"RMNP_049",320,80,200,""
