"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"SERC_043",190,310,70,""
"SERC_044",270,30,150,""
"SERC_045",300,60,180,""
"SERC_047",130,250,10,""
"SERC_048",190,310,70,""
"SERC_049",210,330,90,""
"SERC_050",130,250,10,""
"SERC_051",190,310,70,""
"SERC_052",210,330,90,""
"SERC_053",220,340,100,""
"SERC_054",260,20,140,""
"SERC_055",90,210,330,""
"SERC_056",340,100,220,""
"SERC_057",300,60,180,""
"SERC_058",140,260,20,""
"SERC_059",180,300,60,""
"SERC_060",300,60,180,""
"SERC_061",140,260,20,""
"SERC_062",180,300,60,""
"SERC_067",50,170,290,""
