"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"PUUM_031",280,40,160,""
"PUUM_032",170,290,50,""
"PUUM_033",310,70,190,""
"PUUM_034",180,300,60,""
"PUUM_035",80,200,320,""
"PUUM_036",210,330,90,""
"PUUM_037",330,90,210,""
"PUUM_038",280,40,160,""
"PUUM_039",280,40,160,""
"PUUM_040",330,90,210,""
"PUUM_041",280,40,160,""
"PUUM_042",280,40,160,""
"PUUM_043",100,220,340,""
"PUUM_044",170,290,50,""
"PUUM_045",210,330,90,""
"PUUM_046",270,30,150,""
"PUUM_047",230,350,110,""
"PUUM_048",10,130,250,""
"PUUM_049",40,160,280,""
"PUUM_050",230,350,110,""
