"plotID","plotType","lidsAngle1","lidsAngle2","lidsAngle3"
"ABBY_001","distributed",40,160,280
"ABBY_002","distributed",270,30,150
"ABBY_003","distributed",280,40,160
"ABBY_004","distributed",340,100,220
"ABBY_005","distributed",290,50,170
"ABBY_006","distributed",250,10,130
"ABBY_007","distributed",70,190,310
"ABBY_008","distributed",20,140,260
"ABBY_009","distributed",190,310,70
"ABBY_010","distributed",70,190,310
"ABBY_011","distributed",20,140,260
"ABBY_012","distributed",190,310,70
"ABBY_013","distributed",260,20,140
"ABBY_014","distributed",350,110,230
"ABBY_016","distributed",110,230,350
"ABBY_017","distributed",350,110,230
"ABBY_018","distributed",20,140,260
"ABBY_019","distributed",180,300,60
"ABBY_023","distributed",200,320,80
"ABBY_025","distributed",340,100,220
"ABBY_061","tower",50,170,290
"ABBY_062","tower",310,70,190
"ABBY_063","tower",70,190,310
"ABBY_064","tower",130,250,10
"ABBY_065","tower",330,90,210
"ABBY_067","tower",30,150,270
"ABBY_068","tower",250,10,130
"ABBY_069","tower",60,180,300
"ABBY_070","tower",30,150,270
"ABBY_073","tower",190,310,70
"ABBY_074","tower",50,170,290
"ABBY_075","tower",190,310,70
"ABBY_076","tower",20,140,260
"BARR_001","distributed",270,30,150
"BARR_002","distributed",70,190,310
"BARR_003","distributed",110,230,350
"BARR_004","distributed",260,20,140
"BARR_005","distributed",280,40,160
"BARR_006","distributed",120,240,0
"BARR_007","distributed",260,20,140
"BARR_008","distributed",180,300,60
"BARR_009","distributed",90,210,330
"BARR_011","distributed",180,300,60
"BARR_012","distributed",90,210,330
"BARR_013","distributed",210,330,90
"BARR_014","distributed",250,10,130
"BARR_015","distributed",90,210,330
"BARR_016","distributed",100,220,340
"BARR_017","distributed",110,230,350
"BARR_018","distributed",300,60,180
"BARR_019","distributed",310,70,190
"BARR_020","distributed",110,230,350
"BARR_022","distributed",310,70,190
"BARR_051","tower",10,130,250
"BARR_052","tower",240,0,120
"BARR_053","tower",120,240,0
"BARR_054","tower",300,60,180
"BARR_055","tower",110,230,350
"BARR_056","tower",180,300,60
"BARR_057","tower",200,320,80
"BARR_058","tower",140,260,20
"BARR_059","tower",260,20,140
"BARR_060","tower",200,320,80
"BARR_061","tower",140,260,20
"BARR_062","tower",260,20,140
"BARR_063","tower",320,80,200
"BARR_064","tower",60,180,300
"BARR_065","tower",260,20,140
"BARR_066","tower",190,310,70
"BARR_067","tower",170,290,50
"BARR_068","tower",210,330,90
"BARR_069","tower",20,140,260
"BARR_070","tower",170,290,50
"BARR_071","tower",210,330,90
"BARR_072","tower",20,140,260
"BARR_073","tower",110,230,350
"BARR_074","tower",280,40,160
"BARR_075","tower",210,330,90
"BARR_076","tower",140,260,20
"BARR_077","tower",190,310,70
"BARR_078","tower",50,170,290
"BARR_079","tower",190,310,70
"BARR_080","tower",190,310,70
"BART_001","distributed",260,20,140
"BART_002","distributed",70,190,310
"BART_003","distributed",200,320,80
"BART_004","distributed",0,120,240
"BART_005","distributed",80,200,320
"BART_006","distributed",260,20,140
"BART_007","distributed",50,170,290
"BART_010","distributed",50,170,290
"BART_011","distributed",290,50,170
