"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"UNDE_001",290,50,170,""
"UNDE_002",30,150,270,""
"UNDE_003",250,10,130,""
"UNDE_006",350,110,230,""
"UNDE_007",120,240,0,""
"UNDE_008",320,80,200,""
"UNDE_010",120,240,0,""
"UNDE_011",320,80,200,""
"UNDE_012",280,40,160,""
"UNDE_013",220,340,100,""
"UNDE_014",60,180,300,""
"UNDE_015",40,160,280,""
"UNDE_016",20,140,260,""
"UNDE_017",10,130,250,""
"UNDE_018",180,300,60,""
"UNDE_019",60,180,300,""
"UNDE_020",10,130,250,""
"UNDE_027",200,320,80,""
"UNDE_032",80,200,320,""
"UNDE_034",30,150,270,""
